target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	187	2.20476
rna-XM_035809311.1	7960	7761	763	4.83118
rna-XM_035809312.1	2231	2032	10	0.241837
rna-XM_035809927.1	1635	1436	49	1.67683
rna-XM_035843980.1	1957	1758	71.4346	1.99681
rna-XM_035843291.1	2870	2671	2496	45.9216
rna-XM_035843288.1	8290	8091	47880	290.803
rna-XM_035842700.1	6972	6773	7463	54.1476
rna-XM_035844125.1	7002	6803	2465.66	17.8106
rna-XR_004833096.1	2378	2179	5.56697	0.125548
rna-XM_035844220.1	1276	1077	22	1.00381
rna-XR_004833035.1	888	689	0	0
rna-XM_035843555.1	7535	7336	17419	116.684
rna-XM_035843558.1	1785	1586	469.237	14.539
rna-XR_004833034.1	1816	1617	141.301	4.29421
rna-XM_035844186.1	2399	2200	17	0.379728
rna-XM_035843121.1	9611	9412	14	0.0730958
rna-XM_035843648.1	681	482	0	0
rna-XM_035844039.1	1277	1078	1	0.0455856
rna-XM_035843054.1	2787	2588	1692	32.1279
rna-XM_035843051.1	4058	3859	1013	12.8997
rna-XM_035842353.1	3636	3437	3556	50.8427
rna-XM_035842345.1	2562	2363	1356.77	28.2157
rna-XM_035842347.1	2561	2362	736.546	15.3238
rna-XR_004832958.1	1734	1535	130.296	4.17129
rna-XR_004832955.1	2424	2225	5223.7	115.37
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	0	0
rna-XM_035843374.1	8247	8048	3177	19.3988
rna-XM_035843375.1	7869	7670	13	0.0832903
rna-XM_035843378.1	5092	4893	2245	22.5469
rna-XM_035843376.1	1108	909	0	0
rna-XM_035844147.1	4071	3872	1030.56	13.0793
rna-XM_035844146.1	5380	5181	11006	104.391
rna-XR_004833092.1	1294	1095	15.2758	0.685546
rna-XR_004833093.1	941	742	2.05174	0.135883
rna-XM_035843651.1	2352	2153	8.85435	0.202097
rna-XM_035843693.1	1602	1403	11	0.385284
rna-XM_035843699.1	1894	1695	604.972	17.5393
rna-XM_035843654.1	519	320	86.7669	13.3245
rna-XR_004833074.1	339	140	63	22.1136
rna-XM_035843941.1	1880	1681	369.537	10.8028
rna-XR_004833047.1	1692	1493	0	0
rna-XM_035843767.1	721	522	0	0
rna-XM_035843655.1	1210	1011	4.87366	0.236892
rna-XM_035843037.1	997	798	0	0
rna-XM_035843038.1	487	288	0	0
gene-LOC118432129	2806	2607	16.3456	0.308111
rna-XM_035843033.1	1491	1292	43.8804	1.66899
rna-XM_035843036.1	844	645	5.45374	0.41551
rna-XM_035843039.1	476	277	14.4105	2.55651
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	21.5117	1.44414
rna-XM_035843035.1	906	707	0	0
rna-XM_035843041.1	487	288	0	0
rna-XM_035844128.1	2060	1861	38.7403	1.02297
rna-XM_035843657.1	1111	912	153.464	8.26907
rna-XM_035843624.1	2698	2499	45.4762	0.894262
rna-XM_035844189.1	1731	1532	6	0.192459
rna-XM_035843659.1	2798	2599	2	0.0378155
rna-XM_035844048.1	3748	3549	1	0.0138465
rna-XM_035844265.1	409	210	0	0
rna-XM_035844256.1	799	600	0	0
rna-XM_035844245.1	1615	1416	43.6478	1.51477
rna-XM_035844269.1	405	206	64.6701	15.427
rna-XM_035844248.1	719	520	519.56	49.0997
rna-XM_035844262.1	841	642	0	0
rna-XM_035843660.1	1019	820	0	0
rna-XR_004833110.1	1293	1094	0	0
rna-XM_035844231.1	2144	1945	310.392	7.8422
rna-XM_035843661.1	2803	2604	1135.26	21.424
rna-XM_035844249.1	1418	1219	1056.94	42.608
rna-XM_035843662.1	5465	5266	364.275	3.39934
rna-XR_004833109.1	363	164	0	0
rna-XM_035844246.1	2248	2049	1092.84	26.2096
rna-XM_035844230.1	4579	4380	16475	184.841
rna-XR_004833108.1	1249	1050	628.513	29.4152
rna-XM_035844234.1	2145	1946	6	0.151515
rna-XM_035844235.1	2197	1998	2	0.0491905
rna-XM_035844236.1	2061	1862	2382	62.8649
rna-XM_035844229.1	2417	2218	118	2.61437
rna-XM_035844247.1	1181	982	24	1.20101
rna-XM_035844228.1	4695	4496	1424.33	15.5679
rna-XM_035844232.1	2074	1875	2499.02	65.4961
rna-Trnaa-agc-3	73	3.5471	0	0
rna-XM_035844243.1	812	613	0	0
rna-XM_035843667.1	1246	1047	5.53181	0.259637
rna-XM_035844259.1	823	624	8.16291	0.642846
rna-XM_035844258.1	894	695	0	0
rna-XM_035844266.1	416	217	0.52994	0.120009
rna-XM_035843668.1	2536	2337	28.1281	0.591464
gene-LOC118432614	1378	1179	0	0
rna-XM_035844238.1	905	706	0.564429	0.0392872
rna-XM_035844237.1	1349	1150	265.025	11.3249
rna-XM_035843669.1	949	750	540.952	35.4441
rna-Trnaa-agc-4	73	3.5471	0	0
rna-XM_035844241.1	1241	1042	0	0
rna-XM_035844253.1	966	767	7.27536	0.466128
rna-XM_035844261.1	502	303	6.55018	1.06232
rna-XM_035844267.1	606	407	0.000275839	3.33048e-05
rna-XM_035844270.1	1373	1174	0	0
rna-XM_035844240.1	1400	1201	10.0377	0.410714
rna-XM_035844257.1	841	642	0	0
rna-XM_035844268.1	603	404	0.492329	0.0598854
rna-XM_035844242.1	1362	1163	2.77073	0.117074
rna-XM_035844252.1	965	766	27.2425	1.74769
rna-XM_035844260.1	894	695	0	0
rna-XM_035844263.1	602	403	6.04631	0.737279
rna-XM_035843670.1	2044	1845	0	0
rna-XM_035844239.1	1379	1180	17.3721	0.723464
gene-LOC118432631	619	420	0	0
rna-XM_035844255.1	793	594	5.84257	0.483352
rna-XM_035844029.1	560	361	0	0
rna-XM_035843671.1	3400	3201	0	0
rna-XR_004833040.1	873	674	0	0
rna-XM_035843643.1	2059	1860	0	0
rna-XM_035843672.1	735	536	0	0
rna-XM_035844288.1	1096	897	29.5632	1.61959
rna-XM_035843674.1	501	302	0	0
rna-XM_035842344.1	826	627	44.0951	3.45597
rna-XM_035843568.1	1595	1396	10.3491	0.364302
rna-XM_035843566.1	1992	1793	384.162	10.5288
rna-XR_004833113.1	1795	1596	0	0
rna-XR_004833111.1	154	7.38779	2.6	17.2944
rna-XR_004833114.1	3891	3692	47.7974	0.636194
rna-XM_035843563.1	3856	3657	436.237	5.86198
rna-XM_035843565.1	2398	2199	672.996	15.0395
rna-XM_035843569.1	2245	2046	119.424	2.86836
rna-XM_035844043.1	928	729	19.0609	1.28488
rna-XM_035844073.1	1785	1586	36.9774	1.14572
rna-XR_004832965.1	870	671	0	0
rna-XM_035843340.1	2045	1846	64.9788	1.72976
rna-XM_035844184.1	1632	1433	4	0.13717
rna-XM_035842343.1	5554	5355	0	0
rna-XM_035844127.1	7039	6840	5	0.035922
rna-XM_035843637.1	3606	3407	1	0.0144236
rna-XM_035843642.1	1130	931	0	0
rna-XM_035843639.1	1743	1544	0	0
rna-XM_035842412.1	1090	891	0	0
rna-XR_004832964.1	471	272	8	1.44533
rna-XM_035842427.1	1472	1273	29.4407	1.13649
rna-XM_035843675.1	1038	839	0	0
rna-XM_035843676.1	3452	3253	0	0
rna-XM_035843895.1	1922	1723	6.57374	0.187488
rna-XR_004833062.1	984	785	0	0
rna-XR_004833054.1	760	561	15.071	1.32016
rna-XM_035843678.1	927	728	0	0
rna-XM_035843680.1	1143	944	0	0
rna-XM_035843890.1	1915	1716	338.589	9.69622
rna-XM_035843886.1	937	738	31.4682	2.09537
rna-XM_035843869.1	1049	850	2	0.115627
rna-XM_035843681.1	7270	7071	3	0.0208491
rna-XM_035843682.1	1344	1145	0	0
rna-XM_035843683.1	10252	10053	0	0
rna-XM_035843684.1	1136	937	0	0
rna-XM_035843856.1	2402	2203	0	0
rna-XM_035843685.1	1665	1466	0	0
rna-XM_035843686.1	3033	2834	0	0
rna-XM_035843688.1	2386	2187	1	0.0224697
rna-Trnas-aga-4	82	3.75521	0	0
rna-XM_035843689.1	2448	2249	1	0.0218503
rna-XM_035843690.1	5148	4949	4062	40.3338
rna-XM_035843882.1	4833	4634	250.561	2.65707
rna-XR_004833064.1	2504	2305	268.439	5.72297
rna-XM_035843868.1	1557	1358	28.7949	1.04199
rna-XM_035843860.1	1779	1580	1.50975	0.0469564
rna-XR_004833059.1	2173	1974	215.84	5.37318
rna-XM_035843691.1	6438	6239	209.018	1.64632
rna-XM_035843881.1	1137	938	1241	65.0153
rna-XM_035843853.1	4413	4214	153	1.7842
rna-XM_035843692.1	2610	2411	1	0.0203821
rna-XM_035843694.1	2010	1811	53.3905	1.44875
rna-XR_004833066.1	1044	845	0	0
rna-XM_035843878.1	1019	820	177.761	10.6529
rna-XM_035843888.1	664	465	52.4175	5.53949
rna-XR_004833057.1	1137	938	0	0
rna-XM_035843865.1	2966	2767	175.08	3.10938
rna-XR_004833056.1	1838	1639	33.6334	1.00841
rna-XR_004833071.1	986	787	36.6665	2.28951
rna-XM_035843892.1	628	429	0	0
rna-XR_004833051.1	1094	895	0	0
rna-XM_035843695.1	1102	903	121.348	6.60374
rna-XM_035843696.1	2580	2381	0	0
rna-XM_035843893.1	535	336	14.2839	2.08908
rna-XM_035843875.1	1192	993	32.8894	1.62762
rna-XM_035843697.1	360	161	0	0
rna-XM_035843700.1	747	548	0	0
rna-XM_035843701.1	1397	1198	0	0
rna-XM_035843702.1	471	272	0	0
rna-XM_035843703.1	1061	862	9	0.513076
rna-XR_004833055.1	735	536	0	0
rna-XM_035843857.1	2817	2618	21.375	0.40122
rna-XM_035843704.1	1527	1328	21.4263	0.792857
rna-XM_035843705.1	1692	1493	0	0
rna-XM_035843706.1	1302	1103	2.12884	0.0948449
rna-XM_035843707.1	813	614	0	0
rna-XM_035843709.1	1236	1037	0	0
rna-XM_035843711.1	588	389	0	0
rna-XM_035843887.1	1243	1044	3	0.141211
rna-XM_035843712.1	693	494	0	0
rna-XM_035843889.1	673	474	0	0
rna-XM_035843713.1	1779	1580	13	0.404327
rna-XM_035843861.1	1943	1744	10.133	0.285522
rna-XM_035843870.1	1772	1573	4	0.124962
rna-XM_035843714.1	734	535	21	1.92891
rna-XM_035843715.1	1104	905	0	0
rna-XR_004833063.1	373	174	5.72677	1.61736
rna-XM_035843716.1	3573	3374	3	0.0436941
rna-XM_035843859.1	2068	1869	0	0
rna-XM_035843880.1	1623	1424	9.07391	0.313135
rna-XM_035843717.1	1735	1536	1	0.031993
rna-XM_035843867.1	2601	2402	11.2958	0.231095
rna-XR_004833067.1	738	539	0	0
rna-XM_035843719.1	636	437	1	0.112451
rna-XM_035843894.1	569	370	0	0
rna-XM_035843722.1	2325	2126	1	0.0231144
rna-XM_035843723.1	628	429	5	0.572742
rna-XM_035843885.1	3020	2821	210.139	3.66059
rna-XM_035843724.1	711	512	22.4768	2.15731
rna-XM_035843725.1	861	662	0	0
rna-XM_035843726.1	1170	971	1	0.0506089
gene-LOC118432198	1634	1435	3	0.102734
rna-XM_035843727.1	1182	983	0	0
