Orthogroup	APOSJ_ok	BRAFL
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	bflo_10712, bflo_10733
OG0000000	APOSJ_43984, APOSJ_47154	bflo_24421, bflo_24425, bflo_09165
OG0000000	APOSJ_18686	bflo_10072
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	bflo_10147
OG0000000	APOSJ_32352	bflo_16599
OG0000000	APOSJ_18136	bflo_24252
OG0000000	APOSJ_34245	bflo_10637
OG0000000	APOSJ_60507	bflo_19045
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	bflo_00191
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	bflo_00195
OG0000000	APOSJ_40396	bflo_00197
OG0000000	APOSJ_37520	bflo_00617, bflo_23916
OG0000000	APOSJ_38857, APOSJ_38860	bflo_00176
OG0000000	APOSJ_32562, APOSJ_32561	bflo_10639
OG0000000	APOSJ_47531, APOSJ_29010	bflo_26449, bflo_00194, bflo_00920
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	bflo_14857
OG0000000	APOSJ_56734	bflo_10437
OG0000000	APOSJ_31415	bflo_10148
OG0000000	APOSJ_02527	bflo_18457
OG0000001	APOSJ_37929, APOSJ_51222, APOSJ_62226, APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	APOSJ_40516, APOSJ_28860	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000001	APOSJ_36722	bflo_13782
OG0000001	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498	bflo_24437, bflo_24440
OG0000002	APOSJ_36413	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	bflo_03228, bflo_21287, bflo_03227, bflo_23657
OG0000002	APOSJ_21931	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984
OG0000003	APOSJ_24854	bflo_02237
OG0000003	APOSJ_33006	bflo_23600
OG0000003	APOSJ_07491	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	APOSJ_47753	bflo_26114
OG0000003	APOSJ_41438	bflo_15766
OG0000003	APOSJ_59054	bflo_24151
OG0000003	APOSJ_11759	bflo_26929, bflo_27439
OG0000003	APOSJ_20460	bflo_26004
OG0000004	APOSJ_50666, APOSJ_27471	bflo_21581, bflo_07267
OG0000004	APOSJ_28748, APOSJ_28747	bflo_07498, bflo_20660
OG0000004	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802	bflo_05437
OG0000004	APOSJ_47570, APOSJ_25218, APOSJ_47569, APOSJ_47568, APOSJ_25219, APOSJ_25220, APOSJ_47571, APOSJ_25221, APOSJ_11346, APOSJ_57308, APOSJ_32767, APOSJ_20314, APOSJ_14748, APOSJ_03228, APOSJ_25008	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206
OG0000004	APOSJ_42139	bflo_21552, bflo_15225, bflo_07952, bflo_07948, bflo_07951
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667	bflo_13407
OG0000005	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095	bflo_10917
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	bflo_10484
OG0000006	APOSJ_14510	bflo_07660
OG0000006	APOSJ_43757	bflo_14856, bflo_15258
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	bflo_16305
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	bflo_10066, bflo_10065
OG0000006	APOSJ_52128	bflo_23572
OG0000006	APOSJ_22887	bflo_23665, bflo_23603
OG0000006	APOSJ_25002	bflo_06220
OG0000006	APOSJ_24425, APOSJ_24424	bflo_08237
OG0000006	APOSJ_38154	bflo_08431
OG0000006	APOSJ_46492	bflo_15412
OG0000007	APOSJ_59584	bflo_13266
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	bflo_05651
OG0000007	APOSJ_59909	bflo_16444, bflo_15598
OG0000007	APOSJ_46494	bflo_25603
OG0000007	APOSJ_04151	bflo_10207
OG0000007	APOSJ_32909	bflo_13761
OG0000007	APOSJ_33751	bflo_13084
OG0000007	APOSJ_45510, APOSJ_50337	bflo_12369, bflo_21087
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	bflo_23309
OG0000007	APOSJ_06582, APOSJ_20594	bflo_23091
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	bflo_23283
OG0000007	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121	bflo_09771
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	bflo_24497
OG0000007	APOSJ_55940, APOSJ_55941	bflo_11392
OG0000008	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	APOSJ_51676	bflo_01785
OG0000008	APOSJ_06622, APOSJ_23604	bflo_17089
OG0000008	APOSJ_50496	bflo_12140
OG0000009	APOSJ_09416, APOSJ_58001, APOSJ_01900, APOSJ_01898	bflo_13612, bflo_25945
OG0000009	APOSJ_18180, APOSJ_18179	bflo_13658
OG0000009	APOSJ_08607, APOSJ_33774, APOSJ_21638	bflo_25982
OG0000010	APOSJ_03628	bflo_05472, bflo_03815, bflo_02970, bflo_07912, bflo_08373
OG0000010	APOSJ_36301, APOSJ_36300, APOSJ_03568, APOSJ_03074	bflo_15348, bflo_17410, bflo_07653, bflo_07652, bflo_08405, bflo_08413, bflo_08396, bflo_08404, bflo_07883
OG0000011	APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471	bflo_20761, bflo_05867
OG0000011	APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509, APOSJ_52676	bflo_04324, bflo_26561, bflo_24248, bflo_06820
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	APOSJ_08662	bflo_00214
OG0000012	APOSJ_20422	bflo_14731, bflo_13607, bflo_24594
OG0000012	APOSJ_39914	bflo_23543
OG0000013	APOSJ_50056, APOSJ_01943	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	APOSJ_28331, APOSJ_28332	bflo_04326, bflo_04339, bflo_04331
OG0000014	APOSJ_23867, APOSJ_22503	bflo_06816
OG0000015	APOSJ_09441, APOSJ_10165	bflo_14872
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	bflo_14874
OG0000016	APOSJ_40020	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	APOSJ_31207	bflo_12769
OG0000016	APOSJ_21975	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656
OG0000016	APOSJ_58384	bflo_01790
OG0000016	APOSJ_11248	bflo_20387
OG0000017	APOSJ_32437, APOSJ_32436, APOSJ_43655, APOSJ_43652, APOSJ_43651, APOSJ_43650, APOSJ_43653, APOSJ_43649, APOSJ_52033, APOSJ_20546, APOSJ_34527, APOSJ_34526, APOSJ_34525, APOSJ_05990	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215
OG0000019	APOSJ_25021	bflo_04872, bflo_04871, bflo_24292
OG0000019	APOSJ_50969, APOSJ_54491, APOSJ_65164, APOSJ_10516, APOSJ_17340, APOSJ_10420, APOSJ_51391, APOSJ_51392, APOSJ_58483	bflo_10160, bflo_26497, bflo_00628
OG0000019	APOSJ_49365	bflo_26518, bflo_26519, bflo_04870
OG0000020	APOSJ_03215	bflo_19465
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	bflo_17473, bflo_27211
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	bflo_24908
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	bflo_01292
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	bflo_16368
OG0000020	APOSJ_51246, APOSJ_35639	bflo_14118
OG0000020	APOSJ_16758	bflo_07448
OG0000020	APOSJ_38030, APOSJ_38032	bflo_18684
OG0000020	APOSJ_64610, APOSJ_31490	bflo_14450
OG0000020	APOSJ_45120	bflo_00687
OG0000021	APOSJ_47375, APOSJ_47376	bflo_11723
OG0000021	APOSJ_50915	bflo_07173
OG0000021	APOSJ_56015, APOSJ_08859	bflo_20505, bflo_09681
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	bflo_14957, bflo_14617, bflo_14568
OG0000023	APOSJ_12541	bflo_10816, bflo_10061
OG0000023	APOSJ_48375, APOSJ_27694, APOSJ_27692	bflo_25079
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	APOSJ_20171	bflo_03801, bflo_20063, bflo_12134, bflo_20667, bflo_16641, bflo_17014, bflo_22812
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042
OG0000026	APOSJ_14352, APOSJ_14353	bflo_26853, bflo_07376
OG0000026	APOSJ_35516, APOSJ_06323, APOSJ_55016, APOSJ_59562, APOSJ_59558, APOSJ_59559, APOSJ_38381	bflo_11639, bflo_01043, bflo_01924, bflo_05121, bflo_13696, bflo_05113, bflo_05112, bflo_05117, bflo_05111, bflo_05116, bflo_20425, bflo_14521, bflo_14522, bflo_14520, bflo_10763, bflo_10764, bflo_10766, bflo_10762, bflo_10765, bflo_22374, bflo_15273, bflo_21047, bflo_12073, bflo_00016
OG0000026	APOSJ_00259, APOSJ_43475	bflo_06473
OG0000027	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014	bflo_13627, bflo_13309, bflo_13311, bflo_13310
OG0000028	APOSJ_13359, APOSJ_13358	bflo_06341
OG0000028	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817	bflo_01235, bflo_02042
OG0000029	APOSJ_13377	bflo_25831
OG0000029	APOSJ_45558	bflo_00316, bflo_26576
OG0000030	APOSJ_46611, APOSJ_46610	bflo_25955
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	bflo_23616
OG0000030	APOSJ_24666, APOSJ_08058	bflo_23730
OG0000030	APOSJ_13201	bflo_09719
OG0000030	APOSJ_45466	bflo_22462
OG0000031	APOSJ_37355	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662
OG0000031	APOSJ_56428	bflo_02624
OG0000031	APOSJ_58452	bflo_02501
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	bflo_06021
OG0000031	APOSJ_07842, APOSJ_07841	bflo_06369
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	bflo_15458
OG0000031	APOSJ_03114, APOSJ_03115	bflo_02405
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	bflo_23561, bflo_23038, bflo_01635
OG0000032	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184	bflo_01430
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843	bflo_20326
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	bflo_03308, bflo_13145
OG0000034	APOSJ_60565, APOSJ_21305	bflo_05871
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	bflo_03310
OG0000034	APOSJ_63084, APOSJ_59127	bflo_08443
OG0000034	APOSJ_09729	bflo_15884
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	bflo_03379
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	bflo_02157
OG0000035	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491	bflo_10387, bflo_26954
OG0000035	APOSJ_11969, APOSJ_09937	bflo_10385
OG0000035	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	bflo_09767, bflo_09277
OG0000035	APOSJ_14503	bflo_10386
OG0000036	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	bflo_12806, bflo_12805
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	bflo_18550, bflo_02879
