Orthogroup	XENTR	AENJA_ok
OG0000000	XENTR08878	AENJA_00110
OG0000000	XENTR18832, XENTR01079, XENTR01080	AENJA_23461
OG0000000	XENTR18066, XENTR08976, XENTR07932	AENJA_26081
OG0000000	XENTR18621	AENJA_24355
OG0000000	XENTR07929	AENJA_09148
OG0000000	XENTR13401, XENTR10509, XENTR10508, XENTR13402	AENJA_23544
OG0000000	XENTR10492, XENTR10560	AENJA_09172
OG0000000	XENTR07734, XENTR13891	AENJA_01537
OG0000000	XENTR17298, XENTR05705	AENJA_00111, AENJA_09519
OG0000000	XENTR12445	AENJA_07481
OG0000000	XENTR07618	AENJA_25905
OG0000000	XENTR07167, XENTR10848, XENTR03338	AENJA_15854
OG0000000	XENTR04390, XENTR05494	AENJA_12748
OG0000000	XENTR10849, XENTR03337	AENJA_15855
OG0000000	XENTR04389	AENJA_12751
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	AENJA_05807
OG0000000	XENTR08542, XENTR10851, XENTR07169, XENTR03335	AENJA_15859
OG0000000	XENTR10852, XENTR03334, XENTR08541	AENJA_15861
OG0000000	XENTR06295, XENTR04184	AENJA_22692
OG0000000	XENTR03185	AENJA_20015
OG0000000	XENTR04388, XENTR00687, XENTR13779	AENJA_21459
OG0000000	XENTR03327, XENTR07175	AENJA_01755
OG0000000	XENTR14936, XENTR09546	AENJA_10279
OG0000000	XENTR01972, XENTR09547, XENTR08722	AENJA_05264
OG0000000	XENTR12981	AENJA_18954
OG0000000	XENTR06679	AENJA_18955
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	AENJA_17575
OG0000002	XENTR12747	AENJA_19547, AENJA_15292
OG0000002	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	XENTR17667	AENJA_05471, AENJA_03252
OG0000004	XENTR07291	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459
OG0000004	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024	AENJA_18812, AENJA_09022
OG0000005	XENTR05002, XENTR05003	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	XENTR16849, XENTR09568	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	XENTR06019	AENJA_18510
OG0000006	XENTR00026	AENJA_22158
OG0000006	XENTR03474, XENTR03473, XENTR14730	AENJA_13126
OG0000006	XENTR03090, XENTR09060	AENJA_02691
OG0000006	XENTR03954, XENTR14945	AENJA_20911
OG0000006	XENTR00399, XENTR09859	AENJA_07226
OG0000006	XENTR09947, XENTR11692	AENJA_22522
OG0000006	XENTR11329	AENJA_09814
OG0000006	XENTR15046	AENJA_00662
OG0000006	XENTR13548	AENJA_07549, AENJA_15373
OG0000006	XENTR04854, XENTR07280, XENTR07527	AENJA_18450
OG0000006	XENTR07719	AENJA_01590
OG0000006	XENTR12339, XENTR03854, XENTR12781	AENJA_09210
OG0000007	XENTR04989, XENTR07641	AENJA_18325
OG0000007	XENTR10435	AENJA_18163
OG0000007	XENTR12787, XENTR08906, XENTR06676	AENJA_00810
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	AENJA_25020
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	AENJA_23908
OG0000007	XENTR03222	AENJA_19234
OG0000007	XENTR07642	AENJA_18326
OG0000007	XENTR11347, XENTR18406	AENJA_06479, AENJA_16018
OG0000007	XENTR04990, XENTR05942	AENJA_18328
OG0000007	XENTR09461, XENTR01137	AENJA_09687
OG0000007	XENTR03031, XENTR06562	AENJA_07358
OG0000007	XENTR16583	AENJA_11277
OG0000007	XENTR07405, XENTR01816	AENJA_22886
OG0000007	XENTR09232, XENTR15271	AENJA_16981
OG0000008	XENTR11531, XENTR11530, XENTR00356	AENJA_15934, AENJA_26738
OG0000008	XENTR07747	AENJA_24404, AENJA_14450
OG0000008	XENTR00105	AENJA_00959
OG0000009	XENTR08209	AENJA_26815, AENJA_17953
OG0000009	XENTR08321, XENTR13550	AENJA_22152
OG0000010	XENTR08588	AENJA_06639
OG0000010	XENTR04584, XENTR06998, XENTR03807	AENJA_00347
OG0000011	XENTR06336, XENTR06335	AENJA_26050
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	AENJA_02869
OG0000014	XENTR09147, XENTR00681	AENJA_25536
OG0000015	XENTR15573, XENTR12597, XENTR03461, XENTR00415	AENJA_19636
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	AENJA_18653
OG0000015	XENTR13566, XENTR03288, XENTR15069	AENJA_17614, AENJA_19630
OG0000016	XENTR10586, XENTR06233	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	XENTR01362, XENTR01363, XENTR07382	AENJA_11513
OG0000016	XENTR12717	AENJA_26671, AENJA_26677
OG0000016	XENTR17802	AENJA_02781
OG0000016	XENTR18390	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	AENJA_07360, AENJA_25137
OG0000018	XENTR19110	AENJA_03018, AENJA_12247
OG0000019	XENTR07225, XENTR02749, XENTR04194	AENJA_24818, AENJA_20016
OG0000019	XENTR03535	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000020	XENTR18565	AENJA_21688, AENJA_05309
OG0000020	XENTR14576	AENJA_15791
OG0000020	XENTR00311	AENJA_12903
OG0000020	XENTR13299	AENJA_09502
OG0000020	XENTR05411	AENJA_18052
OG0000020	XENTR15461, XENTR03248, XENTR03249	AENJA_23718, AENJA_02408
OG0000020	XENTR04697	AENJA_16929
OG0000020	XENTR07864, XENTR11783	AENJA_04727
OG0000020	XENTR08063	AENJA_10912
OG0000020	XENTR15846	AENJA_14659
OG0000020	XENTR15636	AENJA_12495
OG0000021	XENTR17791, XENTR16377	AENJA_14639
OG0000021	XENTR12641, XENTR02936	AENJA_16593
OG0000021	XENTR18096, XENTR01150	AENJA_24950
OG0000021	XENTR13705, XENTR13394, XENTR13393	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	XENTR00007	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	AENJA_06341
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	XENTR13097	AENJA_07520, AENJA_17438
OG0000023	XENTR05209, XENTR05210	AENJA_19909
OG0000023	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	AENJA_03895
OG0000024	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488	AENJA_19836, AENJA_22674, AENJA_01541
OG0000026	XENTR07244, XENTR03079	AENJA_21657
OG0000030	XENTR18219	AENJA_17283
OG0000030	XENTR14147	AENJA_12274
OG0000031	XENTR05405, XENTR03766	AENJA_09856
OG0000031	XENTR08553, XENTR05384, XENTR03164	AENJA_09858
OG0000031	XENTR03163	AENJA_20966
OG0000031	XENTR09319	AENJA_08759
OG0000031	XENTR00229	AENJA_10722
OG0000031	XENTR02595, XENTR11133	AENJA_02955
OG0000031	XENTR12584, XENTR00918	AENJA_05740
OG0000031	XENTR00006, XENTR16792, XENTR04300	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	XENTR09425	AENJA_15028
OG0000032	XENTR06599	AENJA_06514
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	XENTR17016	AENJA_12718, AENJA_12280, AENJA_12491
OG0000032	XENTR03433	AENJA_12283
OG0000034	XENTR04943	AENJA_21749
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	AENJA_26717
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	AENJA_02791
OG0000034	XENTR15456	AENJA_23686
OG0000034	XENTR10156	AENJA_13785
OG0000034	XENTR16254	AENJA_15701
OG0000034	XENTR08340	AENJA_16616
OG0000035	XENTR05239	AENJA_01174
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	AENJA_22033
OG0000035	XENTR07648	AENJA_08825
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	AENJA_12732
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	AENJA_12364, AENJA_26037
OG0000035	XENTR13293, XENTR09857	AENJA_21683
OG0000036	XENTR07761, XENTR12415, XENTR07272	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	XENTR01038, XENTR15969	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	AENJA_20944
OG0000037	XENTR16580, XENTR14770, XENTR03861	AENJA_05483, AENJA_06274
OG0000037	XENTR10865, XENTR10696	AENJA_13632
OG0000037	XENTR18131	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	XENTR13297	AENJA_00416
OG0000038	XENTR04197, XENTR04200	AENJA_26313
OG0000038	XENTR04205	AENJA_16130
OG0000039	XENTR17227	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	AENJA_07945
OG0000039	XENTR17697	AENJA_07277
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	AENJA_07541, AENJA_11361
OG0000041	XENTR14135	AENJA_08471
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	AENJA_24560
OG0000041	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	AENJA_03404, AENJA_03405
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	AENJA_12079
OG0000044	XENTR04256	AENJA_24602
OG0000046	XENTR04959	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	XENTR17142, XENTR08235, XENTR05674, XENTR16277	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000048	XENTR01169	AENJA_11619
OG0000048	XENTR18412	AENJA_23226
OG0000048	XENTR04117	AENJA_09360
OG0000048	XENTR05160	AENJA_16735, AENJA_16736
OG0000049	XENTR00212, XENTR08482	AENJA_20702
OG0000049	XENTR07031, XENTR06401	AENJA_25756
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	AENJA_01528, AENJA_02355, AENJA_00087
OG0000052	XENTR09745, XENTR16766, XENTR16795	AENJA_07437
OG0000054	XENTR04962, XENTR04961	AENJA_06676, AENJA_23371
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	AENJA_20268
OG0000056	XENTR00781	AENJA_05228
OG0000057	XENTR04236, XENTR01413, XENTR01414	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	XENTR03679	AENJA_11025
OG0000058	XENTR11839	AENJA_23345
OG0000058	XENTR16040, XENTR02416, XENTR06707	AENJA_12354
OG0000059	XENTR09381	AENJA_13132
OG0000059	XENTR06961, XENTR16370	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	XENTR09513	AENJA_17233
OG0000060	XENTR11489, XENTR04114, XENTR08957	AENJA_23597
OG0000061	XENTR00116, XENTR05367	AENJA_07301
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	AENJA_07183
OG0000061	XENTR10609, XENTR10747	AENJA_26614, AENJA_08766
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	XENTR09512	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	XENTR10234, XENTR04709, XENTR00319	AENJA_20321
OG0000063	XENTR11311	AENJA_03789
OG0000063	XENTR04708, XENTR15638	AENJA_04323
OG0000063	XENTR08048, XENTR02007, XENTR01303	AENJA_26394
OG0000066	XENTR18882	AENJA_12655, AENJA_09505
OG0000067	XENTR13783, XENTR04874	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000069	XENTR15529	AENJA_15982
OG0000070	XENTR15503, XENTR11143, XENTR02048	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	XENTR03548, XENTR18546	AENJA_13128
OG0000072	XENTR01057	AENJA_02450
OG0000072	XENTR13152	AENJA_25944, AENJA_05445
OG0000074	XENTR10798, XENTR10797, XENTR11114	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	XENTR14396	AENJA_24714
OG0000074	XENTR07269, XENTR06689	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	XENTR02757, XENTR11353, XENTR12610	AENJA_23745
OG0000075	XENTR04178	AENJA_18278
OG0000075	XENTR09250	AENJA_05831
OG0000075	XENTR01223, XENTR05975	AENJA_21406
OG0000075	XENTR10723	AENJA_12918
OG0000075	XENTR05986, XENTR05987	AENJA_12839
OG0000077	XENTR06888, XENTR17790, XENTR02687	AENJA_13107
OG0000077	XENTR01904, XENTR08754, XENTR13403	AENJA_07475
OG0000077	XENTR13588	AENJA_04661
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	AENJA_06551
OG0000078	XENTR19100	AENJA_26653
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	AENJA_16186
OG0000079	XENTR08294, XENTR08293, XENTR03649	AENJA_02482
OG0000079	XENTR01194	AENJA_17442
OG0000079	XENTR15371	AENJA_10507
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	AENJA_04625, AENJA_04630, AENJA_04629
OG0000082	XENTR01624, XENTR01625	AENJA_25747
OG0000083	XENTR04370, XENTR12084, XENTR05647	AENJA_21795
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	AENJA_24814
OG0000084	XENTR08804, XENTR16312, XENTR13487	AENJA_24184
OG0000085	XENTR01729, XENTR03138	AENJA_05556
OG0000085	XENTR04052, XENTR12507	AENJA_06487
OG0000085	XENTR15005	AENJA_24493
OG0000085	XENTR00809	AENJA_20539
OG0000085	XENTR12352, XENTR12351	AENJA_08917
OG0000087	XENTR17246	AENJA_23251
OG0000087	XENTR13447, XENTR13446	AENJA_19109
OG0000087	XENTR07023	AENJA_19775
OG0000087	XENTR10385	AENJA_03163
OG0000087	XENTR06016	AENJA_19935
OG0000087	XENTR00988	AENJA_04374, AENJA_10299
