Orthogroup	PFLAV	DROME
OG0000000	TCONS_00026365.p1	DROME16218, DROME16219
OG0000000	TCONS_00019737.p1	DROME04813
OG0000000	TCONS_00027826.p1	DROME14805, DROME14806
OG0000000	TCONS_00026612.p1	DROME15463, DROME15462
OG0000000	TCONS_00026711.p1	DROME11250
OG0000000	TCONS_00026377.p1	DROME14878
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	DROME21328, DROME21327
OG0000000	TCONS_00015367.p1	DROME20419
OG0000000	TCONS_00017786.p1	DROME03422
OG0000000	TCONS_00020801.p1	DROME12799
OG0000000	TCONS_00026487.p1	DROME16097
OG0000000	TCONS_00010493.p1	DROME01107
OG0000000	TCONS_00020105.p1	DROME17319
OG0000000	TCONS_00032259.p1	DROME13389, DROME13388
OG0000000	TCONS_00043772.p1	DROME11314
OG0000000	TCONS_00032261.p1	DROME13405
OG0000000	TCONS_00043771.p1	DROME13415
OG0000000	TCONS_00032269.p1	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	TCONS_00032266.p1	DROME15339, DROME15340
OG0000000	TCONS_00032262.p1	DROME13413
OG0000000	TCONS_00032264.p1	DROME13414
OG0000000	TCONS_00019139.p1	DROME10025
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	DROME16399
OG0000000	TCONS_00027510.p1	DROME17718
OG0000000	TCONS_00032270.p1	DROME15341, DROME15342, DROME15343
OG0000000	TCONS_00042478.p1	DROME03546, DROME03545
OG0000000	TCONS_00031629.p1	DROME04989
OG0000000	TCONS_00026601.p1	DROME16202
OG0000000	TCONS_00026600.p1, TCONS_00009627.p1, TCONS_00009628.p1	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	TCONS_00027439.p1	DROME04936, DROME08706, DROME19770
OG0000002	TCONS_00009919.p1	DROME21552, DROME21551
OG0000002	TCONS_00048938.p1	DROME14626, DROME12189, DROME02894
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000006	TCONS_00042787.p1	DROME08113
OG0000006	TCONS_00021207.p1	DROME01994, DROME01995, DROME01996
OG0000006	TCONS_00016646.p1	DROME07928
OG0000006	TCONS_00056934.p1	DROME00146
OG0000006	TCONS_00021581.p1	DROME00104
OG0000006	TCONS_00003496.p1	DROME19258, DROME19257, DROME19259
OG0000006	TCONS_00012810.p1	DROME21396
OG0000006	TCONS_00021507.p1	DROME15583
OG0000006	TCONS_00027932.p1	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	TCONS_00027931.p1	DROME07420
OG0000006	TCONS_00045950.p1	DROME19786
OG0000006	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	DROME00664
OG0000006	TCONS_00030792.p1	DROME18045, DROME18046, DROME18044
OG0000006	TCONS_00011489.p1	DROME00147, DROME00148
OG0000006	TCONS_00011491.p1	DROME19780, DROME19779, DROME19781
OG0000006	TCONS_00011052.p1	DROME21674, DROME21675, DROME21673
OG0000007	TCONS_00008966.p1	DROME12545
OG0000007	TCONS_00029574.p1	DROME16994, DROME16993
OG0000007	TCONS_00009611.p1	DROME17568, DROME17567
OG0000007	TCONS_00052518.p1	DROME07864
OG0000007	TCONS_00026068.p1, TCONS_00051149.p1	DROME09292
OG0000007	TCONS_00029831.p1	DROME18346
OG0000007	TCONS_00055417.p1	DROME14142
OG0000007	TCONS_00011336.p1	DROME19603, DROME19602
OG0000007	TCONS_00014249.p1	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	TCONS_00009689.p1	DROME21792, DROME00712, DROME00713
OG0000010	TCONS_00017958.p1	DROME14854, DROME14851, DROME14852
OG0000010	TCONS_00018480.p1	DROME09654
OG0000010	TCONS_00018080.p1	DROME12016
OG0000012	TCONS_00004701.p1, TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	DROME14687, DROME14686
OG0000012	TCONS_00014468.p1	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820
OG0000014	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1, TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1, TCONS_00000124.p1, TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1, TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	DROME05409, DROME03987
OG0000014	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1	DROME14595, DROME14594
OG0000015	TCONS_00043495.p1	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	TCONS_00042561.p1, TCONS_00043863.p1	DROME11913, DROME20981, DROME20982
OG0000015	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	TCONS_00012620.p1, TCONS_00013829.p1	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	TCONS_00003602.p1	DROME01609
