Motif	Factor	Evidence	Curated
GM.5.0.Sox.0001	TCONS_00025066	Orthologs	N
GM.5.0.Sox.0001	TCONS_00045275	Orthologs	N
GM.5.0.Sox.0001	TCONS_00021994	Orthologs	N
GM.5.0.Sox.0001	TCONS_00021998	Orthologs	N
GM.5.0.Sox.0001	TCONS_00007046	Orthologs	N
GM.5.0.Sox.0001	TCONS_00045354	Orthologs	N
GM.5.0.Sox.0001	TCONS_00027467	Orthologs	N
GM.5.0.Sox.0001	TCONS_00013871	Orthologs	N
GM.5.0.Homeodomain.0001	TCONS_00046367	Orthologs	N
GM.5.0.Mixed.0001	TCONS_00011911	Orthologs	N
GM.5.0.Mixed.0001	TCONS_00027129	Orthologs	N
GM.5.0.Mixed.0001	TCONS_00043432	Orthologs	N
GM.5.0.Nuclear_receptor.0001	TCONS_00003991	Orthologs	N
GM.5.0.Nuclear_receptor.0001	TCONS_00020355	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026598	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027287	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027293	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027286	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027292	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027285	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027291	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026487	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026505	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00020801	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00043771	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032269	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032267	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032266	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032262	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032264	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032259	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032261	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00043772	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032260	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032270	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00032272	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00018945	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00018960	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031629	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00019139	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00020105	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00042478	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00020805	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027510	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026910	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027826	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026836	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026711	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026612	Orthologs	N
