Orthogroup	PFLAV	BRALA
OG0000000	TCONS_00026365.p1	BRALA16375, BRALA16376
OG0000000	TCONS_00019737.p1	BRALA00047
OG0000000	TCONS_00027826.p1	BRALA19584, BRALA19585, BRALA25857
OG0000000	TCONS_00026910.p1	BRALA17283
OG0000000	TCONS_00026612.p1	BRALA24482
OG0000000	TCONS_00026711.p1	BRALA16262
OG0000000	TCONS_00026377.p1	BRALA16263
OG0000000	TCONS_00027287.p1, TCONS_00027293.p1	BRALA16378, BRALA16379
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	BRALA18359
OG0000000	TCONS_00018852.p1	BRALA29522
OG0000000	TCONS_00015367.p1	BRALA21349
OG0000000	TCONS_00017786.p1	BRALA24707
OG0000000	TCONS_00020801.p1	BRALA18600
OG0000000	TCONS_00026487.p1	BRALA28387
OG0000000	TCONS_00010493.p1	BRALA21476
OG0000000	TCONS_00020105.p1	BRALA00440
OG0000000	TCONS_00032259.p1	BRALA00115
OG0000000	TCONS_00043772.p1	BRALA11736
OG0000000	TCONS_00032260.p1	BRALA00116
OG0000000	TCONS_00043771.p1	BRALA11734
OG0000000	TCONS_00032269.p1	BRALA00119, BRALA00120, BRALA00121
OG0000000	TCONS_00032264.p1	BRALA00118
OG0000000	TCONS_00019139.p1	BRALA00439, BRALA26541
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	BRALA00079
OG0000000	TCONS_00027510.p1	BRALA34448
OG0000000	TCONS_00032270.p1	BRALA00125, BRALA00124
OG0000000	TCONS_00042478.p1	BRALA11733
OG0000000	TCONS_00031629.p1	BRALA00135
OG0000000	TCONS_00026601.p1	BRALA30674
OG0000000	TCONS_00026600.p1	BRALA30673
OG0000000	TCONS_00009628.p1	BRALA17840
OG0000001	TCONS_00012440.p1	BRALA22546
OG0000001	TCONS_00027439.p1	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000001	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	BRALA14819
OG0000001	TCONS_00034555.p1	BRALA20490
OG0000001	TCONS_00007091.p1	BRALA27259
