Orthogroup	YEAST	ASTMX
OG0000000	YEAST00701	ASTMX22979, ASTMX02793, ASTMX22512, ASTMX17483, ASTMX11444, ASTMX18513, ASTMX02535, ASTMX04736, ASTMX19308, ASTMX03273, ASTMX22570, ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970, ASTMX12494, ASTMX05790, ASTMX17479, ASTMX20577, ASTMX08977, ASTMX08271, ASTMX14561, ASTMX07042, ASTMX10847, ASTMX20299, ASTMX10234, ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165, ASTMX16946, ASTMX11106, ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164, ASTMX06178, ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110, ASTMX17422, ASTMX12684, ASTMX17005, ASTMX01447, ASTMX00835, ASTMX16253
OG0000007	YEAST01568, YEAST05134	ASTMX04966, ASTMX11650
OG0000011	YEAST02600, YEAST01619	ASTMX02959, ASTMX22966, ASTMX22692, ASTMX07900, ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041, ASTMX20794, ASTMX21233, ASTMX01926, ASTMX21375, ASTMX22962, ASTMX22920, ASTMX22970, ASTMX23073, ASTMX20022, ASTMX23051
OG0000013	YEAST04082	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801, ASTMX03251, ASTMX15832, ASTMX12908, ASTMX11632, ASTMX01423, ASTMX16397
OG0000016	YEAST03839, YEAST02807, YEAST03817	ASTMX03544, ASTMX11482, ASTMX09207, ASTMX09206
OG0000016	YEAST03870, YEAST01103	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393
OG0000031	YEAST05574	ASTMX05563
OG0000031	YEAST02238	ASTMX03913, ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065, ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712, ASTMX12572, ASTMX06525, ASTMX05128, ASTMX18163, ASTMX11402, ASTMX09693, ASTMX17541, ASTMX00710, ASTMX00969, ASTMX17640, ASTMX03912, ASTMX00105, ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725, ASTMX00107, ASTMX04176, ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637, ASTMX03166
OG0000034	YEAST04436, YEAST05550, YEAST05115	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519, ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446, ASTMX15312, ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372, ASTMX09860, ASTMX06813, ASTMX07013, ASTMX12428, ASTMX02190, ASTMX01548, ASTMX02136, ASTMX10911
