Orthogroup	ASTMX	MOUSE
OG0000000	ASTMX02793	MOUSE46731
OG0000000	ASTMX17483	MOUSE35499
OG0000000	ASTMX11444	MOUSE22971
OG0000000	ASTMX18513	MOUSE40493
OG0000000	ASTMX02535	MOUSE21445
OG0000000	ASTMX19308	MOUSE40450
OG0000000	ASTMX03273	MOUSE21440
OG0000000	ASTMX13971	MOUSE46719
OG0000000	ASTMX13970	MOUSE46718
OG0000000	ASTMX12494	MOUSE47799
OG0000000	ASTMX05790	MOUSE46854
OG0000000	ASTMX17479	MOUSE36974
OG0000000	ASTMX20577, ASTMX08977	MOUSE25533
OG0000000	ASTMX08271	MOUSE37056
OG0000000	ASTMX14561	MOUSE09344
OG0000000	ASTMX07042	MOUSE50563
OG0000000	ASTMX10847	MOUSE50880
OG0000000	ASTMX20299	MOUSE20961
OG0000000	ASTMX10234	MOUSE24692
OG0000000	ASTMX20165	MOUSE39799
OG0000000	ASTMX16946	MOUSE38794
OG0000000	ASTMX11106	MOUSE36509
OG0000000	ASTMX01438	MOUSE26494
OG0000000	ASTMX16053	MOUSE05221
OG0000000	ASTMX01903	MOUSE39801
OG0000000	ASTMX06178	MOUSE38795
OG0000000	ASTMX16048	MOUSE05214, MOUSE05213
OG0000000	ASTMX20108	MOUSE14888
OG0000000	ASTMX05323	MOUSE26490, MOUSE26491
OG0000000	ASTMX16049	MOUSE05215
OG0000000	ASTMX01436, ASTMX16050	MOUSE05216
OG0000000	ASTMX20109, ASTMX05322	MOUSE14889
OG0000000	ASTMX05321, ASTMX20111	MOUSE14890, MOUSE14891
OG0000000	ASTMX16051	MOUSE05218
OG0000000	ASTMX01437	MOUSE05217
OG0000000	ASTMX20161	MOUSE39807
OG0000000	ASTMX20110	MOUSE14885
OG0000000	ASTMX17422	MOUSE35589, MOUSE35590
OG0000000	ASTMX01447	MOUSE05644
OG0000000	ASTMX00835, ASTMX16253	MOUSE06967
OG0000000	ASTMX20873	MOUSE36056
OG0000000	ASTMX04077, ASTMX07972	MOUSE09425
OG0000000	ASTMX05835, ASTMX11919	MOUSE46881
OG0000000	ASTMX08519	MOUSE07113
OG0000000	ASTMX09510, ASTMX01253	MOUSE28108
OG0000000	ASTMX05324, ASTMX20107	MOUSE14887
OG0000000	ASTMX12036	MOUSE39814, MOUSE26488
OG0000000	ASTMX16047	MOUSE05211
OG0000000	ASTMX01905	MOUSE39816
OG0000000	ASTMX20159	MOUSE39817
OG0000000	ASTMX08795	MOUSE54681
OG0000000	ASTMX17999	MOUSE19588
OG0000000	ASTMX15569	MOUSE38796
OG0000000	ASTMX20156	MOUSE39822
OG0000000	ASTMX12031	MOUSE26482, MOUSE26483
OG0000000	ASTMX17267	MOUSE12761
OG0000000	ASTMX11612	MOUSE36110
OG0000000	ASTMX17266	MOUSE12760
OG0000000	ASTMX02801	MOUSE21123
OG0000000	ASTMX07975	MOUSE17205
OG0000000	ASTMX09511	MOUSE28110
OG0000000	ASTMX08520	MOUSE07114
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435
OG0000001	ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884	MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000001	ASTMX07756	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	ASTMX13878	MOUSE31557, MOUSE31558
OG0000002	ASTMX20124	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000002	ASTMX19248	MOUSE45935
OG0000002	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	ASTMX12464	MOUSE43163, MOUSE43162
OG0000002	ASTMX20125	MOUSE33129
OG0000004	ASTMX09901	MOUSE12693, MOUSE12692
OG0000004	ASTMX21576	MOUSE06318, MOUSE06317, MOUSE06316
OG0000004	ASTMX22075	MOUSE31437
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716	MOUSE46906, MOUSE46905
OG0000004	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044	MOUSE41373, MOUSE41374
OG0000004	ASTMX18447	MOUSE30144
OG0000004	ASTMX15865, ASTMX13574	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	ASTMX14148, ASTMX14149	MOUSE18207
OG0000005	ASTMX13051	MOUSE20384, MOUSE20383
OG0000005	ASTMX18005	MOUSE20203
OG0000005	ASTMX12914, ASTMX04261, ASTMX08691	MOUSE53215, MOUSE53214
OG0000005	ASTMX01192	MOUSE16622, MOUSE16621
OG0000005	ASTMX08164	MOUSE16620
OG0000005	ASTMX03244	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	ASTMX20216	MOUSE48684, MOUSE48683
OG0000006	ASTMX00775	MOUSE11220
OG0000006	ASTMX00495, ASTMX16379	MOUSE33561, MOUSE33562
OG0000006	ASTMX16363	MOUSE36359
OG0000006	ASTMX04345	MOUSE45321
OG0000006	ASTMX11700	MOUSE29952, MOUSE29953
OG0000006	ASTMX03791, ASTMX03123	MOUSE24072, MOUSE24070, MOUSE24071
OG0000006	ASTMX12191, ASTMX07931	MOUSE54497
OG0000006	ASTMX15917	MOUSE31158
OG0000006	ASTMX06292	MOUSE02096, MOUSE02095, MOUSE02097
OG0000006	ASTMX15319	MOUSE27112, MOUSE27111
OG0000006	ASTMX03256	MOUSE28165
OG0000006	ASTMX09680	MOUSE07632, MOUSE07631
OG0000006	ASTMX14682, ASTMX19702	MOUSE38532, MOUSE38531
OG0000006	ASTMX21126, ASTMX03352	MOUSE10280
OG0000006	ASTMX06644	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	MOUSE19675
OG0000006	ASTMX03759	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501
OG0000006	ASTMX02775	MOUSE21233, MOUSE21234
OG0000006	ASTMX15412	MOUSE09568, MOUSE09567
OG0000006	ASTMX14827	MOUSE08011
OG0000006	ASTMX08479, ASTMX15103	MOUSE11795, MOUSE11796, MOUSE11797
OG0000006	ASTMX11575, ASTMX03265	MOUSE02988, MOUSE02987
OG0000006	ASTMX10604	MOUSE03398
