Orthogroup	AENJA_ok	ORYLA
OG0000000	AENJA_00110	ORYLA04928
OG0000000	AENJA_23461	ORYLA07037, ORYLA08538
OG0000000	AENJA_26081	ORYLA05297
OG0000000	AENJA_24355	ORYLA07510, ORYLA04677
OG0000000	AENJA_23544	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	AENJA_09172	ORYLA18170
OG0000000	AENJA_01537	ORYLA02858, ORYLA12900
OG0000000	AENJA_00111, AENJA_09519	ORYLA03677
OG0000000	AENJA_25905	ORYLA11446
OG0000000	AENJA_15854	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	AENJA_12748	ORYLA04170, ORYLA18990
OG0000000	AENJA_15858	ORYLA15771
OG0000000	AENJA_15855	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	AENJA_12751	ORYLA09108
OG0000000	AENJA_05807	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	AENJA_15859	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	AENJA_15861	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	AENJA_22692	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	AENJA_20015	ORYLA08225, ORYLA06162
OG0000000	AENJA_21459	ORYLA01029, ORYLA04459
OG0000000	AENJA_05805	ORYLA04630
OG0000000	AENJA_01755	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	AENJA_10279	ORYLA05044, ORYLA00932
OG0000000	AENJA_05264	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	AENJA_18954	ORYLA11797, ORYLA10603
OG0000000	AENJA_18955	ORYLA10060
OG0000001	AENJA_17575	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000002	AENJA_19547, AENJA_15292	ORYLA00438
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	ORYLA12350
OG0000002	AENJA_00531	ORYLA03052, ORYLA16692
