Orthogroup	CAPO3	ASTMX
OG0000003	CAPO301945	ASTMX16763, ASTMX08462, ASTMX04234, ASTMX21256, ASTMX08463
OG0000005	CAPO308356, CAPO307946	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021, ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164, ASTMX10242, ASTMX03244
OG0000006	CAPO302620	ASTMX10604
OG0000007	CAPO304209	ASTMX18062, ASTMX21262, ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	CAPO303284	ASTMX04966, ASTMX11650
OG0000007	CAPO300935	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	CAPO305123	ASTMX10986, ASTMX01681, ASTMX08450
OG0000012	CAPO302923, CAPO302931	ASTMX22063, ASTMX16492, ASTMX06265
OG0000015	CAPO302521	ASTMX21958, ASTMX03764, ASTMX21759, ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097, ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947, ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333, ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	CAPO300049	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	CAPO304360	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393
OG0000016	CAPO306803	ASTMX00540
OG0000016	CAPO303259	ASTMX02874
OG0000016	CAPO300936	ASTMX17395, ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361
OG0000023	CAPO307690	ASTMX09201, ASTMX18896, ASTMX02982, ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414, ASTMX11687, ASTMX14286, ASTMX19623, ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000029	CAPO307131	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545, ASTMX19971, ASTMX06514, ASTMX07156, ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708
OG0000030	CAPO300110	ASTMX06934
OG0000030	CAPO305356, CAPO301638, CAPO307563	ASTMX13784, ASTMX06816, ASTMX18369, ASTMX02378, ASTMX18821, ASTMX11357, ASTMX13717, ASTMX04112, ASTMX02697, ASTMX07740, ASTMX14326, ASTMX22293, ASTMX01510
OG0000031	CAPO303729	ASTMX09693, ASTMX17541
OG0000031	CAPO302122	ASTMX00710, ASTMX00969, ASTMX17640
OG0000035	CAPO307346, CAPO308354	ASTMX17732, ASTMX22713, ASTMX21245, ASTMX07147, ASTMX00613, ASTMX06338, ASTMX07340, ASTMX07227, ASTMX07114, ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545, ASTMX15322, ASTMX15321, ASTMX20966
OG0000039	CAPO306958, CAPO306959	ASTMX03851
OG0000041	CAPO308025, CAPO306861	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919, ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232, ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000043	CAPO308256	ASTMX12801, ASTMX22617
OG0000048	CAPO305301	ASTMX04189
OG0000048	CAPO304823	ASTMX00590
OG0000049	CAPO304018	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857, ASTMX00928, ASTMX08370, ASTMX07196, ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786, ASTMX20103
OG0000051	CAPO307809, CAPO301249	ASTMX08001, ASTMX02511
OG0000054	CAPO302015	ASTMX04679
OG0000054	CAPO303797	ASTMX05759, ASTMX21204
OG0000056	CAPO305974, CAPO306012, CAPO306941	ASTMX02386, ASTMX17742, ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363, ASTMX18310
OG0000058	CAPO305595	ASTMX10002
OG0000058	CAPO307225	ASTMX01061
OG0000060	CAPO305373	ASTMX04292, ASTMX07603, ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000062	CAPO300910	ASTMX18475, ASTMX22952, ASTMX03300, ASTMX18476, ASTMX18478, ASTMX18474, ASTMX18479, ASTMX22500, ASTMX18477, ASTMX11236, ASTMX20466, ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342, ASTMX01260
OG0000063	CAPO300270	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324, ASTMX11259, ASTMX01032, ASTMX13777, ASTMX12583, ASTMX10350, ASTMX13375, ASTMX12584
OG0000066	CAPO308057	ASTMX01776
OG0000069	CAPO301523, CAPO305173	ASTMX20491
OG0000082	CAPO304738	ASTMX06917
OG0000082	CAPO306626	ASTMX17888
OG0000082	CAPO300843	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980
OG0000085	CAPO303061	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	CAPO303047	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760, ASTMX17475, ASTMX20829, ASTMX09647, ASTMX22578, ASTMX19538, ASTMX01137, ASTMX09823, ASTMX11049, ASTMX21189, ASTMX20129, ASTMX09759, ASTMX09890, ASTMX10718, ASTMX08704, ASTMX02521, ASTMX05460
OG0000089	CAPO300386, CAPO300810, CAPO302098	ASTMX10521, ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992
OG0000091	CAPO301134	ASTMX03395
OG0000096	CAPO301431	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	CAPO303349	ASTMX08845
OG0000096	CAPO307955	ASTMX18278, ASTMX15892
OG0000096	CAPO307522	ASTMX09859
OG0000096	CAPO300294	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	CAPO307017	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959
OG0000101	CAPO306858	ASTMX00206, ASTMX00424, ASTMX01330, ASTMX08413, ASTMX14248, ASTMX12706, ASTMX02894
OG0000103	CAPO302453	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972, ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000106	CAPO300017	ASTMX14703, ASTMX18591, ASTMX08015, ASTMX03154, ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462
OG0000107	CAPO301524	ASTMX08032
OG0000110	CAPO300387	ASTMX08227, ASTMX03691, ASTMX16247, ASTMX08508
OG0000114	CAPO302440	ASTMX20865
OG0000116	CAPO305622	ASTMX01410
OG0000119	CAPO304642	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636, ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905, ASTMX00656, ASTMX18233
OG0000122	CAPO307824	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832, ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000124	CAPO302553	ASTMX10640, ASTMX14745, ASTMX06441
OG0000126	CAPO301836	ASTMX18095, ASTMX08006, ASTMX06040
OG0000126	CAPO302484	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	CAPO306676	ASTMX09154
OG0000126	CAPO300572	ASTMX06187, ASTMX17244, ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000128	CAPO306991, CAPO304956	ASTMX05854
OG0000129	CAPO303361	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539, ASTMX16528, ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614, ASTMX22248, ASTMX21316, ASTMX21317
OG0000137	CAPO305369	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486, ASTMX04665, ASTMX08942, ASTMX01570, ASTMX22671, ASTMX10792, ASTMX08181
OG0000142	CAPO302031, CAPO302030	ASTMX02569, ASTMX02645, ASTMX11196, ASTMX15663, ASTMX04648, ASTMX18481, ASTMX09137, ASTMX22061, ASTMX14163, ASTMX21325
OG0000147	CAPO305863	ASTMX22882, ASTMX19061
OG0000147	CAPO308132	ASTMX01265, ASTMX04843
OG0000147	CAPO304230	ASTMX18633, ASTMX08515
OG0000149	CAPO305206, CAPO306214	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364, ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915, ASTMX19335
OG0000157	CAPO305956	ASTMX15736, ASTMX02435, ASTMX11937, ASTMX12482, ASTMX15735, ASTMX02436
OG0000157	CAPO302981	ASTMX10540
OG0000157	CAPO305824	ASTMX15837, ASTMX21399, ASTMX15330, ASTMX08384, ASTMX08312, ASTMX17465, ASTMX21400, ASTMX10886
OG0000158	CAPO302924	ASTMX02401, ASTMX13165
OG0000160	CAPO301680	ASTMX15798
OG0000167	CAPO301364, CAPO303476	ASTMX08175, ASTMX06436, ASTMX06435, ASTMX01762, ASTMX06698, ASTMX15256, ASTMX16065, ASTMX10803, ASTMX11328, ASTMX15230, ASTMX12913, ASTMX04282, ASTMX11778, ASTMX05313, ASTMX17463, ASTMX14044, ASTMX20835, ASTMX12921
OG0000171	CAPO304813	ASTMX05924, ASTMX13384, ASTMX18495, ASTMX13035, ASTMX04406, ASTMX02030, ASTMX01513, ASTMX18079, ASTMX09651
OG0000174	CAPO304629	ASTMX14035, ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671, ASTMX18749, ASTMX17715
OG0000175	CAPO303513	ASTMX21016, ASTMX15252
OG0000175	CAPO303920	ASTMX05265, ASTMX22048
OG0000179	CAPO300694	ASTMX05937, ASTMX14451
OG0000179	CAPO303342	ASTMX13630, ASTMX02170
OG0000181	CAPO301108	ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806
OG0000181	CAPO302034	ASTMX02628, ASTMX03065
OG0000181	CAPO307692	ASTMX07281, ASTMX11712, ASTMX06485
OG0000181	CAPO300374	ASTMX09488
OG0000183	CAPO305638	ASTMX10680, ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109
OG0000183	CAPO305829	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505
OG0000184	CAPO304928	ASTMX12437, ASTMX12438
OG0000192	CAPO301980	ASTMX14856
OG0000193	CAPO302628	ASTMX03473, ASTMX20971, ASTMX11214, ASTMX09632, ASTMX05862, ASTMX20972, ASTMX06947, ASTMX14897, ASTMX03474, ASTMX13316, ASTMX19987
OG0000194	CAPO305195	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331
OG0000195	CAPO305454	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669
OG0000201	CAPO307729	ASTMX19802, ASTMX14681, ASTMX19801, ASTMX15505
OG0000201	CAPO300462	ASTMX16004, ASTMX17974
OG0000203	CAPO302139	ASTMX16274, ASTMX00845, ASTMX01226, ASTMX00857, ASTMX05697, ASTMX05660, ASTMX08043, ASTMX20187, ASTMX06010, ASTMX05240, ASTMX05701, ASTMX05700, ASTMX19932, ASTMX11805, ASTMX19931, ASTMX05273, ASTMX00753
OG0000204	CAPO303090	ASTMX05231, ASTMX02270, ASTMX08546, ASTMX02616, ASTMX01734, ASTMX00447, ASTMX00221, ASTMX00441, ASTMX21977, ASTMX00222, ASTMX00448, ASTMX00240
OG0000207	CAPO304105, CAPO304106, CAPO304714	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362
OG0000211	CAPO306209	ASTMX14936, ASTMX14468, ASTMX02506, ASTMX08965, ASTMX12406, ASTMX15733, ASTMX12502, ASTMX00388, ASTMX07887
