Orthogroup	SACKO_ok	ASTMX
OG0000000	SACKO_12749	ASTMX02793
OG0000000	SACKO_19677	ASTMX17483, ASTMX11444
OG0000000	SACKO_25619	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	SACKO_25616	ASTMX19308, ASTMX03273
OG0000000	SACKO_25266	ASTMX22570
OG0000000	SACKO_05553	ASTMX13970
OG0000000	SACKO_16683	ASTMX05790, ASTMX17479
OG0000000	SACKO_08208, SACKO_08197	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	SACKO_32730, SACKO_17792	ASTMX14561, ASTMX07042
OG0000000	SACKO_19489	ASTMX10847
OG0000000	SACKO_31887	ASTMX20299
OG0000000	SACKO_24012	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	SACKO_11590	ASTMX16946, ASTMX11106
OG0000000	SACKO_24040	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	SACKO_11588	ASTMX06178
OG0000000	SACKO_24002	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	SACKO_24024	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162
OG0000000	SACKO_24025	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	SACKO_26673	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	SACKO_06485	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	SACKO_31872	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	SACKO_24017	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	SACKO_11599	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	SACKO_22872	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	SACKO_31901	ASTMX11612, ASTMX02802
OG0000000	SACKO_31899	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	SACKO_11978	ASTMX09511
OG0000000	SACKO_12011	ASTMX08520
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000001	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719	ASTMX14986, ASTMX22661, ASTMX20102, ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473
