Orthogroup	AENJA_ok	SCHMD
OG0000000	AENJA_00110	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	AENJA_23461	SCHMD09645
OG0000000	AENJA_23544	SCHMD20523, SCHMD24588
OG0000000	AENJA_09172	SCHMD03805
OG0000000	AENJA_06471	SCHMD20256, SCHMD22099
OG0000000	AENJA_01537	SCHMD09133, SCHMD27825
OG0000000	AENJA_01531	SCHMD03766
OG0000000	AENJA_05531	SCHMD28523
OG0000000	AENJA_15854	SCHMD18969
OG0000000	AENJA_15858, AENJA_15855	SCHMD08046
OG0000000	AENJA_05807	SCHMD22390, SCHMD21735
OG0000000	AENJA_22692	SCHMD21303
OG0000000	AENJA_05805	SCHMD11888, SCHMD08259
OG0000000	AENJA_01755	SCHMD24693
OG0000000	AENJA_10279	SCHMD05281, SCHMD04291
OG0000000	AENJA_05264, AENJA_18954, AENJA_18955	SCHMD13268
OG0000002	AENJA_00531, AENJA_22262, AENJA_16411	SCHMD15297
OG0000003	AENJA_04022	SCHMD14034
OG0000003	AENJA_21338	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	AENJA_03277, AENJA_12218, AENJA_18598, AENJA_15443, AENJA_04134, AENJA_02043	SCHMD00325
OG0000004	AENJA_08681, AENJA_23847	SCHMD20392, SCHMD06188
OG0000005	AENJA_12565	SCHMD06848
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345	SCHMD15919
OG0000006	AENJA_18239	SCHMD07888, SCHMD24507
OG0000006	AENJA_21365	SCHMD09008
OG0000006	AENJA_13126	SCHMD00178
OG0000006	AENJA_02691	SCHMD18704
OG0000006	AENJA_07226, AENJA_22522, AENJA_09814, AENJA_09813, AENJA_00662	SCHMD09638
OG0000006	AENJA_15373	SCHMD23237
OG0000006	AENJA_18450	SCHMD13710
OG0000006	AENJA_15474	SCHMD18814
OG0000007	AENJA_18325	SCHMD12323
OG0000007	AENJA_00810	SCHMD08294
OG0000007	AENJA_25020	SCHMD14635, SCHMD17075
OG0000007	AENJA_23908	SCHMD03666
OG0000007	AENJA_06479, AENJA_16018, AENJA_18328	SCHMD12296, SCHMD02893
OG0000007	AENJA_07512, AENJA_11851	SCHMD08423
OG0000007	AENJA_07359	SCHMD08922, SCHMD00556
OG0000007	AENJA_09687, AENJA_07358	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	AENJA_11277	SCHMD19134
OG0000007	AENJA_22886	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	AENJA_26507	SCHMD02246
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	SCHMD02053
OG0000010	AENJA_20491	SCHMD14528
OG0000010	AENJA_04234	SCHMD05789, SCHMD04868
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414	SCHMD05659
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000014	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818	SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208
OG0000015	AENJA_19634	SCHMD16725
OG0000015	AENJA_19636	SCHMD16724
OG0000015	AENJA_18653	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000015	AENJA_02597	SCHMD21895, SCHMD16722
OG0000016	AENJA_26670	SCHMD23829
OG0000016	AENJA_26671, AENJA_26677	SCHMD16694
OG0000016	AENJA_02781	SCHMD02183
OG0000017	AENJA_25826, AENJA_19043, AENJA_21177, AENJA_06799, AENJA_08416, AENJA_23360, AENJA_14486, AENJA_04643, AENJA_00407, AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492, AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981, AENJA_06457, AENJA_13473, AENJA_19348, AENJA_18559, AENJA_24973, AENJA_25595, AENJA_05154, AENJA_12426, AENJA_00338, AENJA_00793, AENJA_19527, AENJA_05284, AENJA_20820, AENJA_23397, AENJA_15074, AENJA_17435, AENJA_05313, AENJA_19028, AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181, AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186, AENJA_00442, AENJA_07451, AENJA_22962, AENJA_21386, AENJA_13274, AENJA_08258, AENJA_22053, AENJA_22436, AENJA_14928, AENJA_06318, AENJA_08674, AENJA_21573, AENJA_22050, AENJA_16553, AENJA_10272, AENJA_25220, AENJA_22019, AENJA_14578, AENJA_25217, AENJA_20264, AENJA_00879, AENJA_13357, AENJA_11406, AENJA_05165, AENJA_06463, AENJA_04888, AENJA_03290, AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649, AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563, AENJA_17676, AENJA_13476, AENJA_24074, AENJA_10043, AENJA_21704, AENJA_26572, AENJA_20803, AENJA_11168, AENJA_19304, AENJA_07659, AENJA_14471, AENJA_20652, AENJA_24972, AENJA_04067, AENJA_13186, AENJA_06087, AENJA_19243, AENJA_04308, AENJA_04362, AENJA_16450, AENJA_15596	SCHMD13346
OG0000019	AENJA_17710	SCHMD12011, SCHMD20948
OG0000019	AENJA_12747	SCHMD23009
OG0000019	AENJA_18371	SCHMD16426, SCHMD08184
OG0000019	AENJA_16475	SCHMD07568
OG0000020	AENJA_21688, AENJA_05309	SCHMD00005
OG0000020	AENJA_01003, AENJA_08406	SCHMD23721
OG0000020	AENJA_02593, AENJA_02596	SCHMD08736
OG0000020	AENJA_09502	SCHMD09886
OG0000020	AENJA_16929	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	AENJA_21621, AENJA_21623	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	AENJA_16593	SCHMD09794
