target_id	length	eff_length	est_counts	tpm
BL61971_cuf3	3279	3070.14	6	0.19629
BL20828_cuf0	402	198.54	2	1.01178
BL20825_cuf0	589	380.548	9	2.37541
BL20824_cuf0	216	55.908	5	8.98257
BL20827_cuf0	5602	5393.14	191.404	3.56463
BL20826_evm0	1244	1035.14	1	0.0970297
BL20821_evm1	874	665.153	0	0
BL20820_evm0	1221	1012.14	4.14288	0.411117
BL20822_cuf1	2019	1810.14	9	0.499384
BL09205_cuf1	351	152.549	0	0
BL09206_cuf9	4026	3817.14	2875.75	75.6689
BL09207_evm0	1189	980.142	202.116	20.7117
BL09200_evm0	681	472.254	2	0.425363
BL09201_cuf0	3942	3733.14	27	0.72643
BL09202_evm3	3098	2889.14	1052	36.5722
BL09203_evm0	1775	1566.14	0	0
BL09208_evm0	2300	2091.14	583.328	28.0178
BL09209_evm1	3501	3292.14	334.313	10.1995
BL12125_cuf0	3516	3307.14	34	1.0326
BL12124_evm0	4709	4500.14	1362	30.3987
BL12127_cuf0	2242	2033.14	21	1.03742
BL12121_cuf0	666	457.274	41.6973	9.15875
BL12120_cuf0	1768	1559.14	0	0
BL12123_cuf0	829	620.153	8.35088	1.3525
BL12122_cuf0	3021	2812.14	6238	222.799
BL12129_evm0	2139	1930.14	404	21.0231
BL12128_evm3	3083	2874.14	348.011	12.1616
BL13654_cuf0	3748	3539.14	2343	66.4935
BL13655_evm0	1580	1371.14	1086	79.5522
BL13656_cuf0	2326	2117.14	48.5762	2.30451
BL13657_cuf1	256	79.2455	8	10.1396
BL13650_cuf5	3170	2961.14	307	10.4132
BL13651_cuf0	1268	1059.14	0	0
BL19276_evm18	873	664.153	49	7.41024
BL13653_cuf0	1477	1268.14	0	0
BL19278_evm0	258	80.4417	0	0
BL13658_cuf0	163	32.4861	1	3.09177
BL13659_evm0	3078	2869.14	1775.89	62.1682
BL26939_evm0	422	217.202	3	1.38727
BL28959_evm0	675	466.267	2	0.430824
BL26289_evm0	258	80.4417	16.4208	20.503
BL26288_evm0	7877	7668.14	13.5195	0.177082
BL26283_evm0	1287	1078.14	3	0.279479
BL26282_evm0	1085	876.142	29.1394	3.34049
BL26281_evm0	444	238.105	0	0
BL26280_evm0	1056	847.142	14	1.65988
BL26287_evm0	375	173.825	0	0
BL26286_evm0	306	115.277	0	0
BL26285_evm0	207	51.2835	2	3.91703
BL26284_evm0	901	692.153	3	0.435335
BL25956_evm0	441	235.241	0	0
BL25957_evm0	2055	1846.14	0	0
BL25954_evm0	270	88.5987	1	1.13365
BL25955_evm0	402	198.54	0	0
BL25952_evm0	303	112.86	0	0
