Orthogroup	PFLAV	OWEFU
OG0000000	TCONS_00026365.p1	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	TCONS_00019737.p1	OFUSG13305.1.p1
OG0000000	TCONS_00027826.p1	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	TCONS_00026910.p1	OFUSG18918.1.p1
OG0000000	TCONS_00026612.p1	OFUSG05755.1.p1
OG0000000	TCONS_00026711.p1	OFUSG06970.1.p1
OG0000000	TCONS_00026377.p1	OFUSG05968.1.p1
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	TCONS_00018852.p1	OFUSG08786.1.p1
OG0000000	TCONS_00017786.p1	OFUSG09074.1.p1
OG0000000	TCONS_00020801.p1	OFUSG17443.1.p1
OG0000000	TCONS_00026487.p1	OFUSG19303.1.p1
OG0000000	TCONS_00010493.p1	OFUSG12013.1.p1
OG0000000	TCONS_00020105.p1	OFUSG17426.1.p1
OG0000000	TCONS_00032259.p1	OFUSG13332.1.p1
OG0000000	TCONS_00043772.p1	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	TCONS_00032260.p1	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	TCONS_00043771.p1	OFUSG03302.1.p1
OG0000000	TCONS_00032269.p1	OFUSG13338.1.p1
OG0000000	TCONS_00032266.p1	OFUSG13339.1.p1, OFUSG13340.1.p1
OG0000000	TCONS_00032262.p1	OFUSG13335.1.p1
OG0000000	TCONS_00032264.p1	OFUSG13336.1.p1
OG0000000	TCONS_00019139.p1	OFUSG17003.1.p1
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	OFUSG21200.1.p1
OG0000000	TCONS_00027510.p1	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	TCONS_00042478.p1	OFUSG03177.1.p1
OG0000000	TCONS_00031629.p1	OFUSG12947.1.p1
OG0000000	TCONS_00026601.p1	OFUSG05775.1.p1
OG0000000	TCONS_00026600.p1	OFUSG06109.1.p1
OG0000000	TCONS_00009627.p1	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	TCONS_00009628.p1	OFUSG21806.1.p1
OG0000001	TCONS_00012440.p1	OFUSG04431.1.p1
OG0000001	TCONS_00027439.p1	OFUSG21348.1.p1, OFUSG06637.1.p1
OG0000001	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	OFUSG04205.1.p1
OG0000002	TCONS_00010137.p1	OFUSG00560.1.p1
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	OFUSG12055.1.p1
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	OFUSG09076.1.p1
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	OFUSG22946.2.p1
OG0000002	TCONS_00048938.p1	OFUSG18506.1.p1
OG0000003	TCONS_00052987.p1	OFUSG19225.1.p1
OG0000003	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1	OFUSG21334.1.p1
OG0000003	TCONS_00043525.p1	OFUSG16265.1.p1, OFUSG21683.1.p1
OG0000003	TCONS_00031472.p1	OFUSG12884.1.p1
OG0000003	TCONS_00013648.p1	OFUSG04605.1.p1
OG0000003	TCONS_00013356.p1	OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	TCONS_00020907.p1	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
