Orthogroup	XENTR	MOUSE
OG0000000	XENTR08878	MOUSE35835
OG0000000	XENTR01079, XENTR01080	MOUSE22971
OG0000000	XENTR18066	MOUSE21445
OG0000000	XENTR18621	MOUSE21440
OG0000000	XENTR10509	MOUSE46719
OG0000000	XENTR10508	MOUSE46718
OG0000000	XENTR13402	MOUSE35959
OG0000000	XENTR02223	MOUSE47799
OG0000000	XENTR10492	MOUSE46854
OG0000000	XENTR10560	MOUSE36974
OG0000000	XENTR07734	MOUSE25533
OG0000000	XENTR13891	MOUSE37056
OG0000000	XENTR17298	MOUSE09344
OG0000000	XENTR05705	MOUSE50563
OG0000000	XENTR16086	MOUSE50880
OG0000000	XENTR12445	MOUSE20961
OG0000000	XENTR07618	MOUSE24692
OG0000000	XENTR07167	MOUSE26497
OG0000000	XENTR03338	MOUSE39799
OG0000000	XENTR04390	MOUSE38794
OG0000000	XENTR05494	MOUSE36509
OG0000000	XENTR10849	MOUSE05221
OG0000000	XENTR03337	MOUSE39801
OG0000000	XENTR04389	MOUSE38795
OG0000000	XENTR10854	MOUSE05214, MOUSE05213
OG0000000	XENTR08539	MOUSE14888
OG0000000	XENTR07170	MOUSE26490, MOUSE26491
OG0000000	XENTR03332	MOUSE05215, MOUSE39813, MOUSE39810
OG0000000	XENTR10853	MOUSE05216
OG0000000	XENTR03333	MOUSE39808
OG0000000	XENTR08540	MOUSE14889
OG0000000	XENTR08542	MOUSE14890, MOUSE14891
OG0000000	XENTR10851	MOUSE05218
OG0000000	XENTR03334	MOUSE39807
OG0000000	XENTR08541	MOUSE14885
OG0000000	XENTR06295	MOUSE35589, MOUSE35590
OG0000000	XENTR03185	MOUSE06967
OG0000000	XENTR12464	MOUSE36056
OG0000000	XENTR08726	MOUSE09425
OG0000000	XENTR06680	MOUSE07113
OG0000000	XENTR12982	MOUSE28108
OG0000000	XENTR08538	MOUSE14887
OG0000000	XENTR03331	MOUSE39814
OG0000000	XENTR07171	MOUSE26488
OG0000000	XENTR10855, XENTR10856	MOUSE05211
OG0000000	XENTR03330	MOUSE39816
OG0000000	XENTR00687	MOUSE54681
OG0000000	XENTR13779	MOUSE19588
OG0000000	XENTR03327	MOUSE39822
OG0000000	XENTR07175	MOUSE26482, MOUSE26483
OG0000000	XENTR01971	MOUSE12761
OG0000000	XENTR14936	MOUSE36110
OG0000000	XENTR01972	MOUSE12760
OG0000000	XENTR09547	MOUSE21123
OG0000000	XENTR08722	MOUSE17205
OG0000000	XENTR12981	MOUSE28110
OG0000000	XENTR06679	MOUSE07114
OG0000001	XENTR19191, XENTR05335, XENTR05334	MOUSE30906
OG0000001	XENTR06490	MOUSE47424, MOUSE47422
OG0000001	XENTR04259	MOUSE11565, MOUSE20858, MOUSE11567
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	XENTR12747	MOUSE31557, MOUSE31558
OG0000002	XENTR12309, XENTR12000	MOUSE43167, MOUSE43166
OG0000002	XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000002	XENTR16022	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931
OG0000002	XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	XENTR17667	MOUSE15413, MOUSE15412
OG0000004	XENTR15834	MOUSE12693, MOUSE12692
OG0000004	XENTR18073	MOUSE21111
OG0000004	XENTR04878	MOUSE31437
OG0000004	XENTR07824, XENTR07823	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374
OG0000004	XENTR07827, XENTR19087, XENTR07826	MOUSE30144
OG0000005	XENTR05002, XENTR05003	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	XENTR09503	MOUSE20294, MOUSE20293, MOUSE13586
OG0000005	XENTR09492, XENTR09491	MOUSE20384, MOUSE20383
OG0000005	XENTR09477	MOUSE20203
OG0000005	XENTR17068	MOUSE53215, MOUSE53214
OG0000005	XENTR04106	MOUSE16622, MOUSE16621
