Orthogroup	HUMAN	AENJA_ok
OG0000000	HUMAN22097, HUMAN03752	AENJA_00110
OG0000000	HUMAN27271, HUMAN18431	AENJA_23461
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	AENJA_26081
OG0000000	HUMAN03687, HUMAN17114, HUMAN03688	AENJA_24355
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	AENJA_23544
OG0000000	HUMAN03805, HUMAN22626	AENJA_09172
OG0000000	HUMAN29337, HUMAN01254	AENJA_01537
OG0000000	HUMAN28889, HUMAN05731	AENJA_00111, AENJA_09519
OG0000000	HUMAN03433	AENJA_07481
OG0000000	HUMAN02527	AENJA_25905
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	AENJA_15854
OG0000000	HUMAN07512, HUMAN22413	AENJA_12748
OG0000000	HUMAN12896, HUMAN26097	AENJA_15855
OG0000000	HUMAN07513	AENJA_12751
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	AENJA_05807
OG0000000	HUMAN26099, HUMAN06518, HUMAN12899	AENJA_15859
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	AENJA_15861
OG0000000	HUMAN27325, HUMAN27326	AENJA_22692
OG0000000	HUMAN12743, HUMAN26016	AENJA_20015
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	AENJA_21459
OG0000000	HUMAN26107, HUMAN17898	AENJA_01755
OG0000000	HUMAN22230	AENJA_10279
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	AENJA_05264
OG0000000	HUMAN18756	AENJA_18954
OG0000000	HUMAN08319	AENJA_18955
OG0000001	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	AENJA_17575
OG0000001	HUMAN14511	AENJA_09293
OG0000001	HUMAN10621, HUMAN10623	AENJA_01446
OG0000002	HUMAN22770	AENJA_19547, AENJA_15292
OG0000002	HUMAN04207, HUMAN20269	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	HUMAN20270	AENJA_00531, AENJA_22262, AENJA_16411
OG0000003	HUMAN10010	AENJA_02043
OG0000004	HUMAN27464	AENJA_08681, AENJA_23847
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	AENJA_18812, AENJA_09022
OG0000005	HUMAN23763, HUMAN23764	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	HUMAN01465	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	HUMAN30182, HUMAN30280, HUMAN21060	AENJA_18510
OG0000006	HUMAN00944	AENJA_22158
OG0000006	HUMAN22351, HUMAN05133	AENJA_13126
OG0000006	HUMAN21718, HUMAN29537	AENJA_02691
OG0000006	HUMAN02118, HUMAN29294	AENJA_20911
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	AENJA_07226
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	AENJA_22522
OG0000006	HUMAN25905	AENJA_09814
