Orthogroup	BRALA	MOUSE
OG0000000	BRALA25846	MOUSE46880
OG0000000	BRALA11737	MOUSE20962
OG0000000	BRALA16375, BRALA16376	MOUSE35835, MOUSE46731
OG0000000	BRALA00047	MOUSE35499, MOUSE22971
OG0000000	BRALA19584, BRALA19585, BRALA25857	MOUSE40493, MOUSE21445
OG0000000	BRALA17283	MOUSE40450, MOUSE21440
OG0000000	BRALA24482	MOUSE46718, MOUSE35959
OG0000000	BRALA16262	MOUSE46854, MOUSE36974
OG0000000	BRALA18359	MOUSE25533, MOUSE37056
OG0000000	BRALA29522	MOUSE09344, MOUSE50563
OG0000000	BRALA24707	MOUSE50880
OG0000000	BRALA28387	MOUSE20961
OG0000000	BRALA21476	MOUSE24692
OG0000000	BRALA00115	MOUSE26497, MOUSE39799
OG0000000	BRALA11736	MOUSE38794, MOUSE36509
OG0000000	BRALA00116	MOUSE05221, MOUSE39801
OG0000000	BRALA11734	MOUSE38795
OG0000000	BRALA00120	MOUSE05215, MOUSE39813, MOUSE39810
OG0000000	BRALA00121	MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	BRALA00118	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	BRALA00439, BRALA26541	MOUSE35589, MOUSE35590
OG0000000	BRALA00079	MOUSE05644, MOUSE06967
OG0000000	BRALA34448	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	BRALA00124	MOUSE39816, MOUSE39817
OG0000000	BRALA11733	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	BRALA00135	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	BRALA30674	MOUSE36110
OG0000000	BRALA30673	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	BRALA17840	MOUSE07114
OG0000001	BRALA17450, BRALA31564	MOUSE30906
OG0000001	BRALA14819	MOUSE47424, MOUSE47422
OG0000001	BRALA12714, BRALA00678	MOUSE11565, MOUSE20858, MOUSE11567
OG0000001	BRALA00762, BRALA09667, BRALA20490, BRALA27259	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000001	BRALA25322, BRALA21156	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500	MOUSE31557, MOUSE31558
OG0000002	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000002	BRALA10501	MOUSE43163, MOUSE43162
OG0000002	BRALA20754	MOUSE33129
OG0000002	BRALA27121	MOUSE15413, MOUSE15412
OG0000003	BRALA07619	MOUSE23092
OG0000003	BRALA01914	MOUSE36184
