Orthogroup	LYTVA_ok	AENJA_ok
OG0000000	LYTVA_01679	AENJA_00110
OG0000000	LYTVA_23170	AENJA_23461
OG0000000	LYTVA_01380	AENJA_26081
OG0000000	LYTVA_25096	AENJA_09148
OG0000000	LYTVA_01827	AENJA_23544
OG0000000	LYTVA_18988	AENJA_09172
OG0000000	LYTVA_18985	AENJA_06471
OG0000000	LYTVA_13103	AENJA_09519
OG0000000	LYTVA_27688	AENJA_01531
OG0000000	LYTVA_21959	AENJA_05531
OG0000000	LYTVA_22602	AENJA_07481
OG0000000	LYTVA_19974	AENJA_25905
OG0000000	LYTVA_08678	AENJA_15854
OG0000000	LYTVA_08668	AENJA_15858
OG0000000	LYTVA_23667	AENJA_12751
OG0000000	LYTVA_22477	AENJA_05807
OG0000000	LYTVA_22478	AENJA_05798
OG0000000	LYTVA_22480	AENJA_15861
OG0000000	LYTVA_22479	AENJA_05799
OG0000000	LYTVA_23047	AENJA_22692
OG0000000	LYTVA_14838	AENJA_20015
OG0000000	LYTVA_22475	AENJA_05802
OG0000000	LYTVA_29838	AENJA_10529
OG0000000	LYTVA_27097	AENJA_19329
OG0000000	LYTVA_29834	AENJA_10530
OG0000000	LYTVA_22714	AENJA_21459
OG0000000	LYTVA_09826	AENJA_05805
OG0000000	LYTVA_19015	AENJA_01755
OG0000000	LYTVA_26599	AENJA_10279
OG0000000	LYTVA_17046	AENJA_05264
OG0000000	LYTVA_23349	AENJA_18954
OG0000000	LYTVA_23351	AENJA_18955
OG0000001	LYTVA_16225	AENJA_26229
OG0000001	LYTVA_16521	AENJA_04483
OG0000001	LYTVA_04837, LYTVA_04757	AENJA_01446
OG0000001	LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761	AENJA_05207, AENJA_05206
OG0000002	LYTVA_28398	AENJA_03072
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	AENJA_19547
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	AENJA_22707, AENJA_19254, AENJA_03627
OG0000003	LYTVA_29159, LYTVA_21164, LYTVA_26275	AENJA_04022
OG0000003	LYTVA_15536	AENJA_21345
OG0000003	LYTVA_06976	AENJA_15435
OG0000003	LYTVA_20987	AENJA_02043
OG0000003	LYTVA_11643	AENJA_05435
OG0000003	LYTVA_27358	AENJA_00543
OG0000004	LYTVA_03323	AENJA_08681, AENJA_23847
OG0000004	LYTVA_03048	AENJA_16036
OG0000004	LYTVA_07389, LYTVA_03537	AENJA_03959, AENJA_23066, AENJA_26802, AENJA_26808
OG0000004	LYTVA_23131	AENJA_03929
OG0000004	LYTVA_04400	AENJA_25009
OG0000004	LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559	AENJA_07458
OG0000004	LYTVA_12757, LYTVA_13382, LYTVA_25777, LYTVA_27196, LYTVA_03271, LYTVA_06100, LYTVA_05937, LYTVA_25040, LYTVA_15014, LYTVA_08631	AENJA_04481
OG0000004	LYTVA_08482, LYTVA_13991	AENJA_23393, AENJA_18495
OG0000004	LYTVA_11730	AENJA_18812, AENJA_09022, AENJA_05320
OG0000005	LYTVA_24142	AENJA_12565
OG0000005	LYTVA_01017	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	LYTVA_15344, LYTVA_25103, LYTVA_15340, LYTVA_25468, LYTVA_12344, LYTVA_13497, LYTVA_12436, LYTVA_12448, LYTVA_12437, LYTVA_01084, LYTVA_10225, LYTVA_01083, LYTVA_05447	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129
OG0000005	LYTVA_05821	AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000005	LYTVA_12392	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	LYTVA_27651	AENJA_18239
OG0000006	LYTVA_15901	AENJA_22158
OG0000006	LYTVA_21289	AENJA_13126
OG0000006	LYTVA_12321	AENJA_02691
OG0000006	LYTVA_25253	AENJA_07226
OG0000006	LYTVA_07373	AENJA_22522
OG0000006	LYTVA_23957	AENJA_09814
OG0000006	LYTVA_14827	AENJA_09813
OG0000006	LYTVA_29757	AENJA_00662
OG0000006	LYTVA_18169	AENJA_07549
OG0000006	LYTVA_29412, LYTVA_25462	AENJA_18450
OG0000006	LYTVA_16832	AENJA_01590
OG0000006	LYTVA_16844	AENJA_09210
OG0000006	LYTVA_08878	AENJA_15474
OG0000007	LYTVA_29912	AENJA_18325
OG0000007	LYTVA_22273	AENJA_18163
OG0000007	LYTVA_23216	AENJA_00810
OG0000007	LYTVA_27359	AENJA_25020
OG0000007	LYTVA_29395	AENJA_19234
