Orthogroup	APOSJ_ok	ORYLA
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	ORYLA04928
OG0000000	APOSJ_43984, APOSJ_47154	ORYLA05297
OG0000000	APOSJ_18686	ORYLA18170
OG0000000	APOSJ_32352	ORYLA02858, ORYLA12900
OG0000000	APOSJ_18136	ORYLA03677
OG0000000	APOSJ_60507	ORYLA11446
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	APOSJ_36728	ORYLA09108
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	APOSJ_40396	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	APOSJ_37520	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	APOSJ_38857, APOSJ_38860	ORYLA08225, ORYLA06162
OG0000000	APOSJ_32562, APOSJ_32561	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	APOSJ_47531, APOSJ_29010	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	ORYLA01029, ORYLA04459
OG0000000	APOSJ_56734	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	APOSJ_31415	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	ORYLA11797, ORYLA10603
OG0000000	APOSJ_02527	ORYLA10060
OG0000001	APOSJ_12278, APOSJ_36722	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	ORYLA00438
OG0000002	APOSJ_21931	ORYLA13467, ORYLA16691
OG0000003	APOSJ_07258	ORYLA18464
OG0000005	APOSJ_43564, APOSJ_43561	ORYLA04733
OG0000006	APOSJ_14510	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	APOSJ_43757	ORYLA20407, ORYLA03595
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	ORYLA13382
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	APOSJ_52128	ORYLA16517
OG0000006	APOSJ_22887	ORYLA16515
OG0000006	APOSJ_25002	ORYLA17394
OG0000006	APOSJ_24425, APOSJ_24424	ORYLA05082
OG0000006	APOSJ_38154	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	APOSJ_46492	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000007	APOSJ_59584	ORYLA13334
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	ORYLA14937, ORYLA17526
OG0000007	APOSJ_59909	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	APOSJ_46494	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	APOSJ_04151	ORYLA10719
OG0000007	APOSJ_32909	ORYLA15197
OG0000007	APOSJ_33751	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	APOSJ_45510, APOSJ_50337	ORYLA03471, ORYLA17615
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	APOSJ_06582, APOSJ_20594	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	ORYLA16317
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	APOSJ_55940, APOSJ_55941	ORYLA10158, ORYLA04736
OG0000008	APOSJ_61175	ORYLA02437, ORYLA18129
OG0000008	APOSJ_50496	ORYLA01591, ORYLA05589, ORYLA06938
OG0000010	APOSJ_38780, APOSJ_21761	ORYLA15708
OG0000011	APOSJ_09282	ORYLA04501
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	ORYLA07628
OG0000012	APOSJ_20422	ORYLA15199
OG0000013	APOSJ_50056, APOSJ_01943	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	APOSJ_28331, APOSJ_28332	ORYLA11600, ORYLA01088
OG0000014	APOSJ_23867, APOSJ_22503	ORYLA07812, ORYLA17200
OG0000015	APOSJ_33839	ORYLA00867, ORYLA20430, ORYLA00866
OG0000015	APOSJ_09441, APOSJ_10165	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	ORYLA12720, ORYLA00945
OG0000016	APOSJ_40020	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717	ORYLA09921
OG0000016	APOSJ_31207	ORYLA00030
OG0000016	APOSJ_03790	ORYLA08665
OG0000016	APOSJ_11248	ORYLA11245, ORYLA15380
OG0000018	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958	ORYLA02836, ORYLA14501
OG0000018	APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	APOSJ_25021	ORYLA16405, ORYLA07040
OG0000019	APOSJ_49365	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	APOSJ_03215	ORYLA12531
OG0000020	APOSJ_60863, APOSJ_38143, APOSJ_60862	ORYLA10559
OG0000020	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223	ORYLA06663
OG0000020	APOSJ_45822, APOSJ_45820, APOSJ_45821	ORYLA16727
OG0000020	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910	ORYLA06780
OG0000020	APOSJ_51246, APOSJ_35639	ORYLA01097, ORYLA00349
OG0000020	APOSJ_08125, APOSJ_51104	ORYLA15647
OG0000020	APOSJ_16758	ORYLA00902
OG0000020	APOSJ_64610, APOSJ_31490	ORYLA02546
OG0000020	APOSJ_45120	ORYLA06519
OG0000021	APOSJ_47375, APOSJ_47376	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	APOSJ_00267, APOSJ_00268, APOSJ_01716	ORYLA20207, ORYLA15834
OG0000021	APOSJ_56015, APOSJ_08859	ORYLA04373
