Orthogroup	AENJA_ok	DROME
OG0000000	AENJA_00110	DROME16218, DROME16219
OG0000000	AENJA_23461	DROME04813
OG0000000	AENJA_26081	DROME14805, DROME14806
OG0000000	AENJA_09148	DROME15599
OG0000000	AENJA_23544	DROME15463, DROME15462
OG0000000	AENJA_09172	DROME11250
OG0000000	AENJA_06471	DROME14878
OG0000000	AENJA_01537	DROME21328, DROME21327
OG0000000	AENJA_01531	DROME20419
OG0000000	AENJA_05531	DROME12799
OG0000000	AENJA_07481	DROME16097
OG0000000	AENJA_25905	DROME01107
OG0000000	AENJA_15854	DROME13389, DROME13388
OG0000000	AENJA_12748	DROME11314
OG0000000	AENJA_12751	DROME13415
OG0000000	AENJA_05807	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	AENJA_15859	DROME13413
OG0000000	AENJA_15861	DROME13414
OG0000000	AENJA_22692	DROME10025
OG0000000	AENJA_20015	DROME16399
OG0000000	AENJA_21459	DROME03546, DROME03545
OG0000000	AENJA_05805	DROME13420
OG0000000	AENJA_01755	DROME04989
OG0000000	AENJA_10279	DROME16202
OG0000000	AENJA_05264, AENJA_18954, AENJA_18955	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	AENJA_06007	DROME04936, DROME08706, DROME19770, DROME02157, DROME03345
OG0000002	AENJA_05471, AENJA_03252	DROME14626, DROME12189, DROME02894
OG0000006	AENJA_13126	DROME08113
OG0000006	AENJA_02691	DROME01994, DROME01995, DROME01996
OG0000006	AENJA_20911	DROME07928
OG0000006	AENJA_22522	DROME19258, DROME19257, DROME19259
OG0000006	AENJA_09814	DROME21396
OG0000006	AENJA_00662	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	AENJA_07549	DROME19786
OG0000006	AENJA_15373	DROME00664
OG0000006	AENJA_18450	DROME18045, DROME18046, DROME18044
OG0000006	AENJA_01590	DROME00147, DROME00148
OG0000006	AENJA_09210	DROME19780, DROME19779, DROME19781
OG0000006	AENJA_15474	DROME21674, DROME21675, DROME21673
OG0000007	AENJA_18325	DROME12545
OG0000007	AENJA_18163	DROME16994, DROME16993
OG0000007	AENJA_00810	DROME17568, DROME17567
OG0000007	AENJA_25020	DROME07864
OG0000007	AENJA_23908, AENJA_19234, AENJA_18326	DROME09292
OG0000007	AENJA_07512	DROME18346
OG0000007	AENJA_09687	DROME14142
OG0000007	AENJA_07358	DROME19603, DROME19602
OG0000007	AENJA_11277	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	AENJA_26507	DROME21792, DROME00712, DROME00713
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	DROME05669
OG0000008	AENJA_00959	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000010	AENJA_14735	DROME09935
OG0000010	AENJA_20491	DROME14854, DROME14851, DROME14852
OG0000010	AENJA_06639	DROME12147
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	DROME14687, DROME14686
OG0000014	AENJA_09518, AENJA_09012, AENJA_17358, AENJA_16625	DROME05409, DROME03987
OG0000014	AENJA_25536	DROME14595, DROME14594
OG0000015	AENJA_18653	DROME11913, DROME20981, DROME20982
OG0000015	AENJA_19630	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	AENJA_11513	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	AENJA_26671, AENJA_26677	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	AENJA_02781	DROME01609
