target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	799	6.35492
rna-XM_035809311.1	7960	7761	9721	41.5226
rna-XM_035809312.1	2231	2032	192	3.13234
rna-XM_035809927.1	1635	1436	430	9.9267
rna-XM_035843980.1	1957	1758	120.497	2.27222
rna-XM_035843291.1	2870	2671	3123	38.7605
rna-XM_035843288.1	8290	8091	2788	11.423
rna-XM_035842700.1	6972	6773	1157	5.66295
rna-XM_035844125.1	7002	6803	2239.71	10.9139
rna-XR_004833096.1	2378	2179	325.478	4.95171
rna-XM_035844220.1	1276	1077	196	6.03297
rna-XR_004833035.1	888	689	0	0
rna-XM_035843555.1	7535	7336	1192	5.38651
rna-XM_035843558.1	1785	1586	148.747	3.1091
rna-XR_004833034.1	1816	1617	93.995	1.92702
rna-XM_035844186.1	2399	2200	10	0.150684
rna-XM_035843121.1	9611	9412	829.907	2.92306
rna-XM_035843648.1	681	482	3	0.206331
rna-XM_035844039.1	1277	1078	9	0.276767
rna-XM_035843054.1	2787	2588	1459.2	18.6914
rna-XM_035843051.1	4058	3859	322	2.76613
rna-XM_035842353.1	3636	3437	7736	74.6153
rna-XM_035842345.1	2562	2363	350.584	4.91834
rna-XM_035842347.1	2561	2362	3530.67	49.5527
rna-XR_004832958.1	1734	1535	238.115	5.14244
rna-XR_004832955.1	2424	2225	625.578	9.32057
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	2113	82.7003
rna-XM_035843374.1	8247	8048	1604	6.60704
rna-XM_035843375.1	7869	7670	20	0.0864421
rna-XM_035843378.1	5092	4893	612	4.14636
rna-XM_035843376.1	1108	909	33	1.20349
rna-XM_035844147.1	4071	3872	890.539	7.62445
rna-XM_035844146.1	5380	5181	1788	11.4405
rna-XR_004833092.1	1294	1095	250.427	7.58156
rna-XR_004833093.1	941	742	6.28364	0.280736
rna-XM_035843651.1	2352	2153	156.665	2.41222
rna-XM_035843693.1	1602	1403	508	12.0032
rna-XM_035843699.1	1894	1695	742.04	14.5127
rna-XM_035843654.1	519	320	30	3.10786
rna-XR_004833074.1	339	140	25	5.91974
rna-XM_035843941.1	1880	1681	131.927	2.6017
rna-XR_004833047.1	1692	1493	10	0.22204
rna-XM_035843767.1	721	522	0	0
rna-XM_035843655.1	1210	1011	0	0
rna-XM_035843037.1	997	798	0	0
rna-XM_035843038.1	487	288	0	0
gene-LOC118432129	2806	2607	0	0
rna-XM_035843033.1	1491	1292	0	0
rna-XM_035843036.1	844	645	0	0
rna-XM_035843039.1	476	277	0	0
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	0	0
rna-XM_035843035.1	906	707	0	0
rna-XM_035843041.1	487	288	0	0
rna-XM_035844128.1	2060	1861	265.681	4.73265
rna-XM_035843657.1	1111	912	51.8027	1.88299
rna-XM_035843624.1	2698	2499	272.249	3.61153
rna-XM_035844189.1	1731	1532	396.811	8.58649
rna-XM_035843659.1	2798	2599	21.5328	0.274653
rna-XM_035844048.1	3748	3549	28	0.261543
rna-XM_035844265.1	409	210	0	0
rna-XM_035844256.1	799	600	4.33318	0.239412
rna-XM_035844245.1	1615	1416	0	0
rna-XM_035844269.1	405	206	0	0
rna-XM_035844248.1	719	520	1	0.0637511
rna-XM_035844262.1	841	642	0	0
rna-XM_035843660.1	1019	820	2	0.080855
rna-XR_004833110.1	1293	1094	7	0.212115
rna-XM_035844231.1	2144	1945	256.27	4.36786
rna-XM_035843661.1	2803	2604	1570.96	19.9993
rna-XM_035844249.1	1418	1219	721.201	19.613
rna-XM_035843662.1	5465	5266	353.254	2.22381
rna-XR_004833109.1	363	164	0	0
rna-XM_035844246.1	2248	2049	948	15.3376
rna-XM_035844230.1	4579	4380	2575	19.4892
rna-XR_004833108.1	1249	1050	4352.78	137.426
rna-XM_035844234.1	2145	1946	85	1.44799
rna-XM_035844235.1	2197	1998	245	4.06501
rna-XM_035844236.1	2061	1862	456.442	8.12637
rna-XM_035844229.1	2417	2218	254	3.79632
rna-XM_035844247.1	1181	982	29	0.978988
rna-XM_035844228.1	4695	4496	277.935	2.04931
rna-XM_035844232.1	2074	1875	216.074	3.82025
rna-Trnaa-agc-3	73	3.5471	0	0
rna-XM_035844243.1	812	613	0	0
rna-XM_035843667.1	1246	1047	0	0
rna-XM_035844259.1	823	624	0	0
rna-XM_035844258.1	894	695	0	0
rna-XM_035844266.1	416	217	0	0
rna-XM_035843668.1	2536	2337	0	0
gene-LOC118432614	1378	1179	0	0
rna-XM_035844238.1	905	706	0	0
rna-XM_035844237.1	1349	1150	79.1119	2.28052
rna-XM_035843669.1	949	750	59.8141	2.64383
rna-Trnaa-agc-4	73	3.5471	0	0
rna-XM_035844241.1	1241	1042	0	0
rna-XM_035844253.1	966	767	0.334726	0.0144672
rna-XM_035844261.1	502	303	0	0
rna-XM_035844267.1	606	407	0	0
rna-XM_035844270.1	1373	1174	0	0
rna-XM_035844240.1	1400	1201	0	0
rna-XM_035844257.1	841	642	0	0
rna-XM_035844268.1	603	404	0	0
rna-XM_035844242.1	1362	1163	0	0
rna-XM_035844252.1	965	766	1.1727	0.0507514
rna-XM_035844260.1	894	695	0	0
rna-XM_035844263.1	602	403	0	0
rna-XM_035843670.1	2044	1845	0	0
rna-XM_035844239.1	1379	1180	0	0
gene-LOC118432631	619	420	0	0
rna-XM_035844255.1	793	594	0	0
rna-XM_035844029.1	560	361	0	0
rna-XM_035843671.1	3400	3201	8.45883	0.0876023
rna-XR_004833040.1	873	674	4.26364	0.209706
rna-XM_035843643.1	2059	1860	3	0.0534686
rna-XM_035843672.1	735	536	0	0
rna-XM_035844288.1	1096	897	31.9013	1.17898
rna-XM_035843674.1	501	302	0	0
rna-XM_035842344.1	826	627	56.3337	2.97846
rna-XM_035843568.1	1595	1396	5	0.118734
rna-XM_035843566.1	1992	1793	95.3756	1.76339
rna-XR_004833113.1	1795	1596	0	0
rna-XR_004833111.1	154	7.38779	2.6	11.6667
rna-XR_004833114.1	3891	3692	46.5001	0.417525
rna-XM_035843563.1	3856	3657	149.789	1.35784
rna-XM_035843565.1	2398	2199	194.47	2.93169
rna-XM_035843569.1	2245	2046	75.385	1.22143
rna-XM_035844043.1	928	729	18.1348	0.824663
rna-XM_035844073.1	1785	1586	124.818	2.60895
rna-XR_004832965.1	870	671	232.258	11.4746
rna-XM_035843340.1	2045	1846	1013.64	18.2029
rna-XM_035844184.1	1632	1433	0	0
rna-XM_035842343.1	5554	5355	39.2902	0.243229
rna-XM_035844127.1	7039	6840	65.5948	0.31791
