Orthogroup	CAEEL	AENJA_ok
OG0000000	CAEEL18735	AENJA_00110
OG0000000	CAEEL01893	AENJA_24355
OG0000000	CAEEL08140	AENJA_09148
OG0000000	CAEEL18754	AENJA_23544
OG0000000	CAEEL06523	AENJA_09172
OG0000000	CAEEL00081	AENJA_06471
OG0000000	CAEEL18467, CAEEL18466	AENJA_01537
OG0000000	CAEEL10851	AENJA_05531
OG0000000	CAEEL18086	AENJA_07481
OG0000000	CAEEL08092	AENJA_15854
OG0000000	CAEEL08135, CAEEL08091	AENJA_12748, AENJA_15858, AENJA_15855, AENJA_12751, AENJA_05807, AENJA_05798, AENJA_15859, AENJA_15861, AENJA_05799
OG0000000	CAEEL00979	AENJA_22692
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	AENJA_05802, AENJA_19519, AENJA_10529, AENJA_19329, AENJA_10530
OG0000000	CAEEL07441	AENJA_21459
OG0000000	CAEEL08137, CAEEL17599	AENJA_05805
OG0000000	CAEEL08875	AENJA_01755
OG0000000	CAEEL16213	AENJA_05264, AENJA_18954, AENJA_18955
OG0000001	CAEEL15812	AENJA_16489
OG0000001	CAEEL12710, CAEEL12709, CAEEL12708	AENJA_04021
OG0000001	CAEEL14137	AENJA_08321, AENJA_04251, AENJA_04252, AENJA_14378, AENJA_09599, AENJA_01806, AENJA_19759
OG0000002	CAEEL18977	AENJA_05471, AENJA_03252
OG0000003	CAEEL08453, CAEEL08460	AENJA_06624
OG0000003	CAEEL18127	AENJA_15435
OG0000003	CAEEL20577	AENJA_21338
OG0000003	CAEEL19939	AENJA_22000
OG0000005	CAEEL13168	AENJA_12565
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000006	CAEEL18976	AENJA_18510
OG0000006	CAEEL00696	AENJA_13126
OG0000006	CAEEL07700	AENJA_22522
OG0000006	CAEEL05532	AENJA_09814, AENJA_09813
OG0000006	CAEEL12101	AENJA_18450
OG0000006	CAEEL00153	AENJA_01590
OG0000006	CAEEL17819	AENJA_09210
OG0000006	CAEEL15182	AENJA_15474
OG0000007	CAEEL04050	AENJA_18163
OG0000007	CAEEL17965	AENJA_00810
OG0000007	CAEEL05829	AENJA_25020
OG0000007	CAEEL01108	AENJA_18328
OG0000007	CAEEL01984	AENJA_07512
OG0000007	CAEEL10238, CAEEL04602	AENJA_07359, AENJA_15955, AENJA_09687, AENJA_07358
OG0000007	CAEEL18586	AENJA_26507
OG0000010	CAEEL10534	AENJA_06639
OG0000012	CAEEL20690	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000013	CAEEL19127	AENJA_11516, AENJA_23415
OG0000015	CAEEL15587	AENJA_18653
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	AENJA_19630
OG0000016	CAEEL20493	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	AENJA_11513
OG0000016	CAEEL18647	AENJA_26671, AENJA_26677, AENJA_21813, AENJA_16651
OG0000019	CAEEL19797	AENJA_12747
OG0000019	CAEEL15403	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272
OG0000020	CAEEL00627	AENJA_16929
OG0000020	CAEEL05927	AENJA_10912, AENJA_11444
OG0000020	CAEEL13362	AENJA_14659
OG0000020	CAEEL09273	AENJA_12495
OG0000021	CAEEL15603	AENJA_14639
OG0000021	CAEEL00422	AENJA_24950
OG0000021	CAEEL00784, CAEEL15377	AENJA_10523
OG0000023	CAEEL13426	AENJA_03895
OG0000023	CAEEL20104	AENJA_11915
OG0000023	CAEEL07738	AENJA_17568, AENJA_17570
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	AENJA_02274
OG0000028	CAEEL19515, CAEEL07887	AENJA_19954
OG0000029	CAEEL20320	AENJA_03155, AENJA_26378, AENJA_10650
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	AENJA_17283
OG0000030	CAEEL03646, CAEEL03801	AENJA_07079
OG0000030	CAEEL04353	AENJA_21030, AENJA_03309, AENJA_05226
