Orthogroup	BRAFL	LYTVA_ok
OG0000000	bflo_10712, bflo_10733	LYTVA_01679
OG0000000	bflo_04183	LYTVA_23170
OG0000000	bflo_24421, bflo_24425, bflo_09165	LYTVA_01380
OG0000000	bflo_08798	LYTVA_25096
OG0000000	bflo_09701	LYTVA_01827
OG0000000	bflo_10072	LYTVA_18988
OG0000000	bflo_10147	LYTVA_18985
OG0000000	bflo_24252	LYTVA_13103
OG0000000	bflo_16111	LYTVA_27688
OG0000000	bflo_26435	LYTVA_21959
OG0000000	bflo_10637	LYTVA_22602
OG0000000	bflo_19045	LYTVA_19974
OG0000000	bflo_00450	LYTVA_27704
OG0000000	bflo_00191	LYTVA_08678
OG0000000	bflo_00195	LYTVA_22477
OG0000000	bflo_00197	LYTVA_22480
OG0000000	bflo_00617, bflo_23916	LYTVA_23047
OG0000000	bflo_00176	LYTVA_14838
OG0000000	bflo_10639	LYTVA_06897, LYTVA_22068
OG0000000	bflo_26449, bflo_00194, bflo_00920	LYTVA_22476
OG0000000	bflo_14857	LYTVA_22714, LYTVA_09826
OG0000000	bflo_26417, bflo_00526	LYTVA_19015
OG0000000	bflo_10437	LYTVA_26599
OG0000000	bflo_10148	LYTVA_17046
OG0000000	bflo_18457	LYTVA_23351
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	LYTVA_16225
OG0000001	bflo_24437, bflo_24440	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	LYTVA_28398
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674
OG0000003	bflo_08943	LYTVA_28727
OG0000003	bflo_26615, bflo_04790	LYTVA_23292
OG0000003	bflo_24151	LYTVA_20987
OG0000003	bflo_26599, bflo_26600, bflo_26598, bflo_26004	LYTVA_11643
OG0000003	bflo_02645	LYTVA_26946, LYTVA_14926
OG0000003	bflo_18522	LYTVA_27358
OG0000004	bflo_01803	LYTVA_07389, LYTVA_03537
OG0000004	bflo_05437	LYTVA_04400
OG0000004	bflo_07950	LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559
OG0000004	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206	LYTVA_28503, LYTVA_25768
OG0000004	bflo_04032	LYTVA_11730
OG0000005	bflo_13407	LYTVA_24142
OG0000005	bflo_07266	LYTVA_15338, LYTVA_23825
OG0000005	bflo_10917	LYTVA_21111
OG0000006	bflo_07660	LYTVA_15901
OG0000006	bflo_14856, bflo_15258	LYTVA_21289
OG0000006	bflo_22120	LYTVA_12321
OG0000006	bflo_10066, bflo_10065	LYTVA_25253
OG0000006	bflo_12576	LYTVA_07373
OG0000006	bflo_23572	LYTVA_23957
OG0000006	bflo_23665, bflo_23603	LYTVA_14827
OG0000006	bflo_06220	LYTVA_29757
OG0000006	bflo_08237	LYTVA_18169
OG0000006	bflo_08431	LYTVA_29412, LYTVA_25462
OG0000006	bflo_22598	LYTVA_16832
OG0000006	bflo_15412	LYTVA_16844
OG0000006	bflo_10980	LYTVA_08878
OG0000007	bflo_13266	LYTVA_29912
OG0000007	bflo_05651	LYTVA_22273
OG0000007	bflo_16444, bflo_15598	LYTVA_23216
OG0000007	bflo_06255	LYTVA_18159
OG0000007	bflo_25603	LYTVA_27359
OG0000007	bflo_23632	LYTVA_29395
OG0000007	bflo_13761	LYTVA_10898
