Orthogroup	YEAST	NEMVE
OG0000000	YEAST00701	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947, NEMVE15388, NEMVE01834, NEMVE15910, NEMVE03396, NEMVE09627, NEMVE02365, NEMVE08998, NEMVE04822, NEMVE09082, NEMVE00451, NEMVE04736, NEMVE00802, NEMVE04845, NEMVE05015, NEMVE11246, NEMVE02875, NEMVE01399, NEMVE09681, NEMVE09683, NEMVE02367, NEMVE03328, NEMVE00592, NEMVE06804, NEMVE00549, NEMVE03364, NEMVE10341, NEMVE10347, NEMVE07200, NEMVE02364, NEMVE04732, NEMVE07124, NEMVE03466, NEMVE04857, NEMVE04840, NEMVE03387, NEMVE06009, NEMVE04803, NEMVE08994, NEMVE07193, NEMVE16932, NEMVE07210, NEMVE05929, NEMVE07213, NEMVE05986, NEMVE15281, NEMVE07211, NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	YEAST04484	NEMVE15350
OG0000006	YEAST01430	NEMVE06318
OG0000007	YEAST00671	NEMVE02349, NEMVE01414, NEMVE06618, NEMVE09853, NEMVE03372, NEMVE15928
OG0000007	YEAST01568, YEAST05134	NEMVE09051
OG0000011	YEAST02600, YEAST01619	NEMVE10152, NEMVE09727, NEMVE07051, NEMVE11104, NEMVE15531
OG0000013	YEAST04082	NEMVE18475, NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	NEMVE02589, NEMVE12536, NEMVE01017, NEMVE02428, NEMVE01563, NEMVE09631, NEMVE05683, NEMVE23345, NEMVE10641, NEMVE03069, NEMVE02050, NEMVE14397, NEMVE01595, NEMVE16229, NEMVE09650, NEMVE18645, NEMVE16940, NEMVE17193, NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819, NEMVE15259, NEMVE15999, NEMVE23434, NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088
OG0000016	YEAST03839, YEAST02807, YEAST03817	NEMVE12514, NEMVE12424, NEMVE01060, NEMVE10959, NEMVE06758, NEMVE11998
OG0000016	YEAST03870, YEAST01103	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894
OG0000031	YEAST02238	NEMVE20354, NEMVE00311, NEMVE00632, NEMVE02249, NEMVE08151, NEMVE01854, NEMVE06981, NEMVE07223, NEMVE01806, NEMVE01412, NEMVE02343, NEMVE04984, NEMVE07820, NEMVE12067, NEMVE21885, NEMVE22486
OG0000034	YEAST04436, YEAST05550, YEAST05115	NEMVE16906, NEMVE16907, NEMVE17012, NEMVE07311, NEMVE07285, NEMVE02324, NEMVE03284, NEMVE10927, NEMVE10961, NEMVE24294, NEMVE06675, NEMVE11922, NEMVE10845, NEMVE05344, NEMVE21980, NEMVE04573, NEMVE06831, NEMVE16104, NEMVE09479, NEMVE10924, NEMVE25715, NEMVE08797, NEMVE18183
OG0000036	YEAST02545, YEAST02806	NEMVE07419, NEMVE07417, NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372, NEMVE05905, NEMVE18359, NEMVE11471, NEMVE02197
OG0000037	YEAST03227	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564, NEMVE00865, NEMVE01113, NEMVE10401, NEMVE14201, NEMVE05358, NEMVE03013, NEMVE15623, NEMVE05805, NEMVE08955, NEMVE16482, NEMVE07330, NEMVE03346, NEMVE02847, NEMVE03341, NEMVE10310, NEMVE23595, NEMVE15427, NEMVE23913, NEMVE19686
OG0000038	YEAST04422, YEAST04379	NEMVE06149, NEMVE24201, NEMVE14716, NEMVE24802, NEMVE14820, NEMVE08662, NEMVE14821, NEMVE22392, NEMVE16337, NEMVE14526, NEMVE22353, NEMVE14268, NEMVE25950, NEMVE02186, NEMVE17895, NEMVE21816, NEMVE14717, NEMVE15968
OG0000043	YEAST00224, YEAST01200	NEMVE00880, NEMVE00770, NEMVE21961, NEMVE21792, NEMVE19640, NEMVE21007, NEMVE21132, NEMVE18462, NEMVE12789, NEMVE12803, NEMVE14296, NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121
OG0000048	YEAST05707	NEMVE05567, NEMVE05649, NEMVE14912, NEMVE14024, NEMVE15061
OG0000054	YEAST01385	NEMVE01268, NEMVE15086, NEMVE10916, NEMVE05466, NEMVE10915
OG0000055	YEAST01199, YEAST00225	NEMVE16653, NEMVE03339, NEMVE05159, NEMVE21772, NEMVE21789, NEMVE05139, NEMVE15927, NEMVE15496, NEMVE22636, NEMVE21191, NEMVE03388, NEMVE12802, NEMVE21025, NEMVE21736, NEMVE21743, NEMVE00705, NEMVE21868, NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960
OG0000058	YEAST02989	NEMVE13151
OG0000058	YEAST02120	NEMVE00498, NEMVE17922, NEMVE24060, NEMVE22352, NEMVE13854, NEMVE14802
OG0000069	YEAST03661	NEMVE14181
OG0000069	YEAST05172	NEMVE15092
OG0000079	YEAST05330	NEMVE02171, NEMVE09220, NEMVE07219, NEMVE03189, NEMVE02220, NEMVE22194, NEMVE08009, NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451
OG0000082	YEAST03287	NEMVE19066
OG0000082	YEAST04267, YEAST01834, YEAST03359	NEMVE05388
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	NEMVE14867, NEMVE15134, NEMVE22355
OG0000095	YEAST02993	NEMVE15802, NEMVE10556, NEMVE02903, NEMVE22347, NEMVE15792, NEMVE05620, NEMVE06820, NEMVE05611
OG0000096	YEAST02643	NEMVE15121, NEMVE14782, NEMVE12518, NEMVE12519
OG0000096	YEAST00638	NEMVE22574
OG0000096	YEAST05104, YEAST05564	NEMVE22432, NEMVE25573, NEMVE14773
OG0000103	YEAST02873	NEMVE06305, NEMVE09043
OG0000107	YEAST05173	NEMVE22022, NEMVE03999, NEMVE21307, NEMVE17314, NEMVE09156, NEMVE01768, NEMVE08712, NEMVE02891, NEMVE02920
OG0000113	YEAST03410, YEAST02964	NEMVE14896
OG0000113	YEAST00378, YEAST01351, YEAST05581	NEMVE21021, NEMVE14510
OG0000114	YEAST00703, YEAST00479, YEAST02386	NEMVE20958
