Orthogroup	OWEFU	MOUSE
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	MOUSE35835, MOUSE46731
OG0000000	OFUSG13305.1.p1	MOUSE35499, MOUSE22971
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	MOUSE40493, MOUSE21445
OG0000000	OFUSG18918.1.p1	MOUSE40450, MOUSE21440
OG0000000	OFUSG05755.1.p1	MOUSE46718, MOUSE35959
OG0000000	OFUSG06970.1.p1	MOUSE46854, MOUSE36974
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	MOUSE25533, MOUSE37056
OG0000000	OFUSG08786.1.p1	MOUSE09344, MOUSE50563
OG0000000	OFUSG09074.1.p1	MOUSE50880
OG0000000	OFUSG19303.1.p1	MOUSE20961
OG0000000	OFUSG12013.1.p1	MOUSE24692
OG0000000	OFUSG13332.1.p1	MOUSE26497, MOUSE39799
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	MOUSE38794, MOUSE36509
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	MOUSE26494, MOUSE05221, MOUSE39801
OG0000000	OFUSG03302.1.p1	MOUSE38795
OG0000000	OFUSG13338.1.p1	MOUSE05215, MOUSE39813, MOUSE39810
OG0000000	OFUSG13335.1.p1	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218
OG0000000	OFUSG13336.1.p1	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	OFUSG17003.1.p1	MOUSE35589, MOUSE35590
OG0000000	OFUSG21200.1.p1	MOUSE05644, MOUSE06967
OG0000000	OFUSG05672.1.p1	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	OFUSG03177.1.p1	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	OFUSG13341.1.p1	MOUSE42582
OG0000000	OFUSG12947.1.p1	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	OFUSG05775.1.p1	MOUSE36110
OG0000000	OFUSG06109.1.p1	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	MOUSE28110, MOUSE28109
OG0000000	OFUSG21806.1.p1	MOUSE07114
OG0000001	OFUSG18749.1.p1	MOUSE30906
OG0000001	OFUSG04205.1.p1	MOUSE47424, MOUSE47422
OG0000002	OFUSG12055.1.p1	MOUSE31557, MOUSE31558
OG0000002	OFUSG09076.1.p1	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	OFUSG22946.2.p1	MOUSE33129
OG0000002	OFUSG18506.1.p1	MOUSE15413, MOUSE15412
OG0000003	OFUSG02265.1.p1	MOUSE36184
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	MOUSE33561, MOUSE33562
OG0000006	OFUSG02905.1.p1	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	OFUSG14509.1.p1	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	OFUSG25514.1.p1	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	OFUSG14428.1.p1	MOUSE54497
OG0000006	OFUSG07929.1.p1	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	OFUSG10782.1.p1	MOUSE38532, MOUSE38531
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	MOUSE10280
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	OFUSG08659.1.p1	MOUSE19675
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	OFUSG11740.1.p1	MOUSE08011, MOUSE15296
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	OFUSG11470.1.p1	MOUSE03398
OG0000007	OFUSG09476.1.p1	MOUSE51845, MOUSE20686
OG0000007	OFUSG21527.1.p1	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	OFUSG13716.1.p1	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	OFUSG23682.1.p1	MOUSE52320
OG0000007	OFUSG05364.1.p1	MOUSE49749
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	MOUSE13954
OG0000007	OFUSG23111.1.p1	MOUSE09061
OG0000007	OFUSG04768.1.p1	MOUSE09062, MOUSE49739
OG0000007	OFUSG10014.1.p1	MOUSE38585
OG0000007	OFUSG25429.1.p1	MOUSE04689, MOUSE37388
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	OFUSG10613.1.p1	MOUSE06204
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	OFUSG25241.1.p1	MOUSE07031, MOUSE07030
OG0000008	OFUSG01560.1.p1	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1	MOUSE25728
OG0000008	OFUSG18646.1.p1	MOUSE50311
OG0000008	OFUSG05918.1.p1	MOUSE35409
OG0000008	OFUSG01483.1.p1, OFUSG11572.1.p1	MOUSE30083
OG0000010	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1	MOUSE49605, MOUSE49413
OG0000010	OFUSG09248.1.p1	MOUSE22876
OG0000010	OFUSG10271.1.p1	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000010	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1	MOUSE12661
OG0000011	OFUSG08075.1.p1	MOUSE47282
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	OFUSG13750.1.p1, OFUSG26096.1.p1	MOUSE38313, MOUSE49050, MOUSE49303
OG0000013	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150
OG0000014	OFUSG00805.1.p1	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	OFUSG25832.1.p1	MOUSE04191
OG0000015	OFUSG02249.1.p1	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	OFUSG03121.2.p1, OFUSG03121.1.p1	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	OFUSG06389.1.p1	MOUSE44325
OG0000016	OFUSG16773.1.p1	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	OFUSG10402.1.p1	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1	MOUSE21130
OG0000016	OFUSG06388.1.p1, OFUSG18492.1.p1	MOUSE13078, MOUSE13077
OG0000016	OFUSG11848.1.p1	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	OFUSG06227.1.p1	MOUSE44334
