Orthogroup	LYTVA_ok	HELIO_ok
OG0000000	LYTVA_01679	HELIO_01999
OG0000000	LYTVA_01380	HELIO_08880
OG0000000	LYTVA_25096	HELIO_10837
OG0000000	LYTVA_01827	HELIO_06752
OG0000000	LYTVA_18988	HELIO_10666
OG0000000	LYTVA_18985	HELIO_00795
OG0000000	LYTVA_21959	HELIO_09005
OG0000000	LYTVA_22602	HELIO_02157
OG0000000	LYTVA_19974	HELIO_11687
OG0000000	LYTVA_23667	HELIO_04988
OG0000000	LYTVA_22478	HELIO_00700
OG0000000	LYTVA_23047	HELIO_00534
OG0000000	LYTVA_06897, LYTVA_22068	HELIO_08573
OG0000000	LYTVA_29838	HELIO_04994
OG0000000	LYTVA_19015	HELIO_06829
OG0000000	LYTVA_23349	HELIO_00816
OG0000000	LYTVA_23351	HELIO_04090
OG0000001	LYTVA_04837	HELIO_06891
OG0000001	LYTVA_04757	HELIO_10957
OG0000001	LYTVA_09014, LYTVA_04284	HELIO_03121
OG0000001	LYTVA_22102	HELIO_03866
OG0000001	LYTVA_14761	HELIO_06455
OG0000002	LYTVA_28398	HELIO_06940
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758	HELIO_06215
OG0000002	LYTVA_12336	HELIO_12339
OG0000002	LYTVA_23101	HELIO_07200
OG0000002	LYTVA_29091	HELIO_05970
OG0000002	LYTVA_16674	HELIO_10154
OG0000002	LYTVA_22589	HELIO_04237
OG0000002	LYTVA_01784	HELIO_03388
OG0000002	LYTVA_09655, LYTVA_07085	HELIO_05342
OG0000002	LYTVA_29176	HELIO_01248
OG0000002	LYTVA_09815	HELIO_10853
OG0000002	LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551	HELIO_05585
OG0000002	LYTVA_25582	HELIO_02102
OG0000002	LYTVA_22408	HELIO_10641
OG0000003	LYTVA_23292	HELIO_07277
OG0000003	LYTVA_15536	HELIO_06998, HELIO_07220
OG0000003	LYTVA_06469	HELIO_07314
OG0000003	LYTVA_23212	HELIO_00523, HELIO_01732
