Orthogroup	YEAST	Other
OG0000124	YEAST05021	DANRE08738
OG0000124	YEAST05021	MOUSE45403
OG0000124	YEAST05021	TCONS_00022673.p1
OG0000128	YEAST01398, YEAST05967, YEAST05716	ASTMX18325
OG0000128	YEAST01398, YEAST05967, YEAST05716	AMPFI_16622, AMPFI_18803
OG0000128	YEAST01398, YEAST05967, YEAST05716	HUMAN21996
OG0001241	YEAST02002	SCHMD04757
OG0001515	YEAST03320	HUMAN19954
OG0003617	YEAST01843	LYTVA_11705
OG0003831	YEAST03010	APOSC_04801, APOSC_16984
OG0003831	YEAST05137, YEAST02344	APOSC_00627
