Orthogroup	CAEEL	MOUSE
OG0000000	CAEEL18735	MOUSE35835, MOUSE46731
OG0000000	CAEEL01893	MOUSE40450, MOUSE21440
OG0000000	CAEEL18754	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	CAEEL06523	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	CAEEL18467, CAEEL18466	MOUSE25533, MOUSE37056
OG0000000	CAEEL04771	MOUSE50880
OG0000000	CAEEL18086	MOUSE20961
OG0000000	CAEEL08092	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	CAEEL08135, CAEEL08091	MOUSE38794, MOUSE36509, MOUSE26494, MOUSE05221, MOUSE39801, MOUSE38795, MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889, MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218, MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	CAEEL00979	MOUSE35589, MOUSE35590
OG0000000	CAEEL19601	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	CAEEL07441	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	CAEEL08137, CAEEL17599	MOUSE42582
OG0000000	CAEEL08875	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	CAEEL16213	MOUSE12760, MOUSE21123, MOUSE17205, MOUSE28110, MOUSE28109, MOUSE07114
OG0000001	CAEEL12710, CAEEL12709, CAEEL12708	MOUSE47436
OG0000001	CAEEL17898, CAEEL19147	MOUSE47424, MOUSE47422
OG0000002	CAEEL18977	MOUSE15413, MOUSE15412
OG0000005	CAEEL01924	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620
OG0000006	CAEEL20510	MOUSE48684, MOUSE48683
OG0000006	CAEEL18976	MOUSE11220
OG0000006	CAEEL00696	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	CAEEL07700	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	CAEEL05532	MOUSE38532, MOUSE38531
OG0000006	CAEEL01533	MOUSE19675
