target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	323	2.20816
rna-XM_035809311.1	7960	7761	5489	20.1526
rna-XM_035809312.1	2231	2032	137	1.92111
rna-XM_035809927.1	1635	1436	363	7.2029
rna-XM_035843980.1	1957	1758	492.916	7.98931
rna-XM_035843291.1	2870	2671	2112	22.5307
rna-XM_035843288.1	8290	8091	6586	23.194
rna-XM_035842700.1	6972	6773	293	1.23266
rna-XM_035844125.1	7002	6803	1341.13	5.61729
rna-XR_004833096.1	2378	2179	299.025	3.91026
rna-XM_035844220.1	1276	1077	130	3.4394
rna-XR_004833035.1	888	689	1	0.0413558
rna-XM_035843555.1	7535	7336	1160	4.50562
rna-XM_035843558.1	1785	1586	156.402	2.80992
rna-XR_004833034.1	1816	1617	119.028	2.09747
rna-XM_035844186.1	2399	2200	15	0.194278
rna-XM_035843121.1	9611	9412	587.282	1.77795
rna-XM_035843648.1	681	482	0	0
rna-XM_035844039.1	1277	1078	2	0.0528648
rna-XM_035843054.1	2787	2588	1841	20.2696
rna-XM_035843051.1	4058	3859	369	2.72463
rna-XM_035842353.1	3636	3437	6771	56.1344
rna-XM_035842345.1	2562	2363	335.698	4.04799
rna-XM_035842347.1	2561	2362	5631	67.9299
rna-XR_004832958.1	1734	1535	5.29418	0.0982755
rna-XR_004832955.1	2424	2225	11.4503	0.146636
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	1802	60.6215
rna-XM_035843374.1	8247	8048	1727	6.11448
rna-XM_035843375.1	7869	7670	47	0.174606
rna-XM_035843378.1	5092	4893	2171	12.6427
rna-XM_035843376.1	1108	909	33	1.03444
rna-XM_035844147.1	4071	3872	916.158	6.74203
rna-XM_035844146.1	5380	5181	1738	9.55854
rna-XR_004833092.1	1294	1095	6.57643	0.171132
rna-XR_004833093.1	941	742	0	0
rna-XM_035843651.1	2352	2153	94.3231	1.24833
rna-XM_035843693.1	1602	1403	264	5.36169
rna-XM_035843699.1	1894	1695	523.2	8.79536
rna-XM_035843654.1	519	320	12.1613	1.08289
