Orthogroup	APOSC_ok	MOUSE
OG0000000	APOSC_11837, APOSC_12606	MOUSE35835, MOUSE46731
OG0000000	APOSC_11472, APOSC_29094	MOUSE40493, MOUSE21445
OG0000000	APOSC_25410	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	APOSC_11604	MOUSE46854, MOUSE36974
OG0000000	APOSC_19137	MOUSE25533, MOUSE37056
OG0000000	APOSC_11544	MOUSE09344, MOUSE50563
OG0000000	APOSC_06717	MOUSE50880
OG0000000	APOSC_04208	MOUSE20961
OG0000000	APOSC_07565	MOUSE24692
OG0000000	APOSC_22022	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	APOSC_04964	MOUSE38794, MOUSE36509
OG0000000	APOSC_16565	MOUSE38795
OG0000000	APOSC_27318	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	APOSC_14732	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	APOSC_24894	MOUSE35589, MOUSE35590
OG0000000	APOSC_24788	MOUSE05644, MOUSE06967
OG0000000	APOSC_28968	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	APOSC_18629	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	APOSC_10621	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	APOSC_22429	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	APOSC_04636	MOUSE12761, MOUSE36110
OG0000000	APOSC_18693	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	APOSC_00117	MOUSE28110, MOUSE28109
OG0000000	APOSC_08607	MOUSE07114
OG0000001	APOSC_22349, APOSC_16849	MOUSE47424, MOUSE47422
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	MOUSE31557, MOUSE31558
OG0000002	APOSC_19154	MOUSE15413, MOUSE15412
OG0000003	APOSC_01527	MOUSE23701, MOUSE23700
OG0000003	APOSC_06472	MOUSE36184
OG0000004	APOSC_03634	MOUSE12693, MOUSE12692
OG0000004	APOSC_06431, APOSC_27025	MOUSE21111
OG0000004	APOSC_28247	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	APOSC_21707	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	APOSC_21099	MOUSE48684, MOUSE48683
OG0000006	APOSC_10640	MOUSE33561, MOUSE33562
OG0000006	APOSC_17637	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	APOSC_08216	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	APOSC_08805	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	APOSC_25251, APOSC_25252	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	APOSC_19228	MOUSE38532, MOUSE38531
OG0000006	APOSC_11581	MOUSE10280
OG0000006	APOSC_02745	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	APOSC_10711	MOUSE19675
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	APOSC_06790, APOSC_06791	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000007	APOSC_04982	MOUSE09063, MOUSE49748
OG0000007	APOSC_19545	MOUSE51845, MOUSE20686
OG0000007	APOSC_11262	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	APOSC_29119	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	APOSC_07509	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	APOSC_11745	MOUSE49749
OG0000007	APOSC_20868	MOUSE13954
OG0000007	APOSC_21514	MOUSE09061
OG0000007	APOSC_25152	MOUSE09062, MOUSE49739
OG0000007	APOSC_04562	MOUSE04689, MOUSE37388
OG0000007	APOSC_09541, APOSC_09542	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	APOSC_22651	MOUSE38586, MOUSE06525
OG0000007	APOSC_10715	MOUSE06204
OG0000007	APOSC_17950	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	APOSC_07482	MOUSE07031, MOUSE07030
OG0000008	APOSC_05395	MOUSE25728
OG0000008	APOSC_21268, APOSC_17741, APOSC_28461, APOSC_04276, APOSC_07021, APOSC_04176, APOSC_04177	MOUSE25499, MOUSE25498, MOUSE25349
OG0000010	APOSC_17642	MOUSE49605
OG0000010	APOSC_21784	MOUSE09529
OG0000010	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160	MOUSE14717
OG0000010	APOSC_25939	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000012	APOSC_26906, APOSC_13089	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	APOSC_26545	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000012	APOSC_14826	MOUSE38313
OG0000013	APOSC_00689	MOUSE31454
OG0000013	APOSC_26024, APOSC_17612	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	APOSC_00187	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000015	APOSC_22269	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	APOSC_04279	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	APOSC_09216	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907	MOUSE13078, MOUSE13077
OG0000016	APOSC_14883	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	APOSC_28721	MOUSE44334
OG0000016	APOSC_19884	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	APOSC_14801, APOSC_11507	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000020	APOSC_14708	MOUSE05499, MOUSE05500
OG0000020	APOSC_13376	MOUSE07164
OG0000020	APOSC_28648	MOUSE33588
OG0000020	APOSC_00691	MOUSE24012
OG0000020	APOSC_03094	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	APOSC_05461	MOUSE09601, MOUSE09602
OG0000020	APOSC_14067	MOUSE37001, MOUSE37002
OG0000020	APOSC_25230	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	APOSC_11990	MOUSE41024, MOUSE41023
OG0000021	APOSC_06563, APOSC_06562	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	APOSC_02202	MOUSE04592
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	MOUSE44445, MOUSE53773
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	APOSC_14758	MOUSE46773, MOUSE46772
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	APOSC_23115	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	APOSC_12180	MOUSE34507
OG0000026	APOSC_13965	MOUSE12605
OG0000026	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010, APOSC_17220, APOSC_14214	MOUSE38308, MOUSE38309
OG0000028	APOSC_17838, APOSC_17839	MOUSE44525
OG0000029	APOSC_07574, APOSC_20436	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	MOUSE26337, MOUSE23727, MOUSE29998, MOUSE16471
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	APOSC_16590	MOUSE55186
