Orthogroup	NEMVE	CAPO3
OG0000003	NEMVE08158, NEMVE07228, NEMVE07229, NEMVE02396, NEMVE12935, NEMVE07432, NEMVE12844, NEMVE03291, NEMVE03233, NEMVE08502, NEMVE09854, NEMVE24647, NEMVE12390, NEMVE10016, NEMVE08653, NEMVE10994, NEMVE03429, NEMVE02987, NEMVE01808, NEMVE02402, NEMVE12557, NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682, NEMVE11586, NEMVE03490, NEMVE06078, NEMVE08017, NEMVE10186, NEMVE05185, NEMVE05392, NEMVE09862, NEMVE10187, NEMVE02664, NEMVE19709, NEMVE11132, NEMVE02994, NEMVE00066, NEMVE09864, NEMVE02602, NEMVE10394, NEMVE03021, NEMVE11632, NEMVE02445, NEMVE09872, NEMVE03485, NEMVE03052, NEMVE05193, NEMVE00533, NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321, NEMVE14981, NEMVE03659, NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052, NEMVE10059, NEMVE03309, NEMVE02394, NEMVE09839, NEMVE11635, NEMVE08197, NEMVE02748, NEMVE02625, NEMVE07726, NEMVE11243, NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038, NEMVE05235, NEMVE03548, NEMVE03070, NEMVE16192, NEMVE05739, NEMVE04940, NEMVE12943, NEMVE02796, NEMVE03483, NEMVE11168, NEMVE03140, NEMVE05604, NEMVE05173, NEMVE06810, NEMVE07480, NEMVE02898, NEMVE03337, NEMVE03235, NEMVE07489, NEMVE11653, NEMVE06583, NEMVE00097, NEMVE12376, NEMVE19925, NEMVE09899, NEMVE00057, NEMVE03335, NEMVE03053, NEMVE00079, NEMVE05207, NEMVE13177, NEMVE11459, NEMVE11042, NEMVE12156, NEMVE11117	CAPO301945
OG0000005	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445, NEMVE21437, NEMVE16926, NEMVE07207, NEMVE05730, NEMVE09187, NEMVE13258, NEMVE24003, NEMVE07208, NEMVE05942, NEMVE13927, NEMVE25929, NEMVE09160, NEMVE23451	CAPO308356, CAPO307946
OG0000006	NEMVE08464	CAPO302620
OG0000007	NEMVE09056, NEMVE09467, NEMVE03824	CAPO304209
OG0000007	NEMVE09051	CAPO303284
OG0000007	NEMVE09289	CAPO300935
OG0000007	NEMVE05677	CAPO305123
OG0000012	NEMVE07016, NEMVE02014, NEMVE13267, NEMVE17689, NEMVE24663, NEMVE23313, NEMVE14003, NEMVE10925, NEMVE14934, NEMVE09268, NEMVE05547, NEMVE10752, NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074, NEMVE10753	CAPO302923, CAPO302931
OG0000015	NEMVE01032, NEMVE12485, NEMVE00817, NEMVE10119, NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220, NEMVE09590, NEMVE09832, NEMVE01566, NEMVE05993, NEMVE01063, NEMVE07996, NEMVE06161, NEMVE08296, NEMVE06180, NEMVE08500, NEMVE08491, NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503	CAPO302521
OG0000016	NEMVE10959	CAPO300049
OG0000016	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894	CAPO304360
OG0000016	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763, NEMVE00914, NEMVE01462, NEMVE08573	CAPO306803
OG0000016	NEMVE12388	CAPO304214
OG0000016	NEMVE05675	CAPO303259
OG0000016	NEMVE01836	CAPO300936
OG0000023	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449, NEMVE01882, NEMVE07698, NEMVE02033, NEMVE05058, NEMVE00878, NEMVE13647, NEMVE01164, NEMVE04601, NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580, NEMVE16721, NEMVE11897, NEMVE08792, NEMVE18254	CAPO307690
OG0000029	NEMVE03602, NEMVE01722, NEMVE08343, NEMVE10355, NEMVE09829, NEMVE10357, NEMVE01138, NEMVE14376, NEMVE10294, NEMVE08593, NEMVE02187, NEMVE17445, NEMVE08578, NEMVE19238, NEMVE07628, NEMVE02133, NEMVE25799, NEMVE01718, NEMVE03076, NEMVE01185, NEMVE02169, NEMVE00230, NEMVE10888, NEMVE09595, NEMVE09593, NEMVE09900, NEMVE01683	CAPO307131
OG0000030	NEMVE20373, NEMVE19035	CAPO300110
OG0000030	NEMVE00336, NEMVE06254, NEMVE14217, NEMVE02377, NEMVE09974, NEMVE02213, NEMVE02794, NEMVE01011, NEMVE09887, NEMVE00264, NEMVE09324, NEMVE09320, NEMVE12294, NEMVE13952, NEMVE02370, NEMVE06265, NEMVE06266, NEMVE00220, NEMVE16622, NEMVE15282	CAPO305356, CAPO301638, CAPO307563
OG0000031	NEMVE02343	CAPO303729
OG0000031	NEMVE04984	CAPO302122
OG0000035	NEMVE23841, NEMVE25824, NEMVE22676, NEMVE13965, NEMVE22226, NEMVE05357, NEMVE02194, NEMVE05613, NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	CAPO307346, CAPO308354
OG0000039	NEMVE01371, NEMVE05995	CAPO306958, CAPO306959
OG0000041	NEMVE00625, NEMVE05205, NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792, NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033, NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031, NEMVE02337, NEMVE05295	CAPO308025, CAPO306861
OG0000043	NEMVE00880, NEMVE00770	CAPO301478, CAPO305172
OG0000043	NEMVE21961, NEMVE21792, NEMVE19640, NEMVE21007, NEMVE21132, NEMVE18462, NEMVE12789, NEMVE12803, NEMVE14296, NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121	CAPO308256
OG0000048	NEMVE05567	CAPO305301
OG0000048	NEMVE15061	CAPO306877, CAPO303671, CAPO303687, CAPO303495, CAPO304823
