Orthogroup	SCHMD	NEMVE
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	NEMVE15388
OG0000000	SCHMD09645	NEMVE01834, NEMVE15910, NEMVE03396
OG0000000	SCHMD20523, SCHMD24588	NEMVE05015
OG0000000	SCHMD03805	NEMVE11246
OG0000000	SCHMD20256, SCHMD22099	NEMVE02875
OG0000000	SCHMD07815	NEMVE01399
OG0000000	SCHMD03766	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	SCHMD28523	NEMVE07200
OG0000000	SCHMD08046	NEMVE07193, NEMVE16932, NEMVE07210, NEMVE05929
OG0000000	SCHMD15558	NEMVE07213
OG0000000	SCHMD22390, SCHMD21735	NEMVE15281
OG0000000	SCHMD21303	NEMVE07211
OG0000000	SCHMD01868	NEMVE05017
OG0000000	SCHMD11888, SCHMD08259	NEMVE15350
OG0000000	SCHMD24693	NEMVE07203
OG0000000	SCHMD05281, SCHMD04291	NEMVE17362
OG0000000	SCHMD04779	NEMVE03927
OG0000000	SCHMD15082	NEMVE03925
OG0000000	SCHMD13268	NEMVE02854, NEMVE17363, NEMVE10113, NEMVE14999, NEMVE10106
OG0000001	SCHMD02916	NEMVE00693, NEMVE09134
OG0000002	SCHMD01617, SCHMD12742, SCHMD06730, SCHMD01618, SCHMD06871, SCHMD06873, SCHMD06870, SCHMD06869, SCHMD06872, SCHMD04915, SCHMD06215, SCHMD12577, SCHMD05881, SCHMD12386, SCHMD17024, SCHMD12387, SCHMD15176, SCHMD19716, SCHMD12194, SCHMD00613, SCHMD25622, SCHMD18079, SCHMD00213, SCHMD03092, SCHMD15297, SCHMD02695	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	SCHMD08141, SCHMD02635, SCHMD12732	NEMVE09872
OG0000003	SCHMD00325	NEMVE03485, NEMVE03052, NEMVE05193, NEMVE00533, NEMVE11690, NEMVE00834, NEMVE07052, NEMVE02766, NEMVE07217, NEMVE09924, NEMVE18387, NEMVE09321, NEMVE14981, NEMVE03659, NEMVE19948, NEMVE06287, NEMVE08230, NEMVE05052, NEMVE10059, NEMVE03309, NEMVE02394, NEMVE09839, NEMVE11635, NEMVE08197, NEMVE02748, NEMVE02625, NEMVE07726, NEMVE11243, NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038, NEMVE05235
OG0000003	SCHMD18315	NEMVE03337
OG0000003	SCHMD14033	NEMVE19925
OG0000003	SCHMD00694, SCHMD23428	NEMVE09899
OG0000005	SCHMD15919	NEMVE05730
OG0000006	SCHMD07888, SCHMD24507	NEMVE06318
OG0000006	SCHMD09638	NEMVE06918, NEMVE10906, NEMVE09176, NEMVE21901, NEMVE02590, NEMVE03392, NEMVE06316, NEMVE08216, NEMVE16957, NEMVE13593
OG0000006	SCHMD23237	NEMVE02351
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	NEMVE14647
OG0000006	SCHMD13710	NEMVE04712
OG0000006	SCHMD05477	NEMVE04644
OG0000006	SCHMD18814	NEMVE08464
OG0000007	SCHMD12323	NEMVE15003
OG0000007	SCHMD08294	NEMVE13570
OG0000007	SCHMD22164, SCHMD13502	NEMVE08145
OG0000007	SCHMD14635, SCHMD17075	NEMVE06210
OG0000007	SCHMD00576	NEMVE13592
OG0000007	SCHMD03666	NEMVE09701, NEMVE03333
OG0000007	SCHMD12296, SCHMD02893	NEMVE16064
OG0000007	SCHMD08423	NEMVE02349, NEMVE01414, NEMVE06618, NEMVE09853, NEMVE03372, NEMVE15928
OG0000007	SCHMD08922, SCHMD00556	NEMVE09056
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	NEMVE09467, NEMVE03824
OG0000007	SCHMD19134	NEMVE09051
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	NEMVE03714
OG0000007	SCHMD02246	NEMVE05677
OG0000010	SCHMD02594, SCHMD02592	NEMVE02242, NEMVE11743, NEMVE12341, NEMVE07633, NEMVE13907, NEMVE21895, NEMVE07143, NEMVE08133, NEMVE19437, NEMVE19436, NEMVE21842, NEMVE09816, NEMVE06238, NEMVE08032, NEMVE05308, NEMVE21754, NEMVE07621, NEMVE09784, NEMVE21928, NEMVE07022, NEMVE00173, NEMVE08008, NEMVE22478, NEMVE16037, NEMVE06770, NEMVE17848
OG0000010	SCHMD14061	NEMVE05383
OG0000010	SCHMD09515	NEMVE05306
OG0000011	SCHMD09818, SCHMD25014, SCHMD05659	NEMVE11104
OG0000014	SCHMD18409, SCHMD18786, SCHMD27036	NEMVE02589
OG0000015	SCHMD16725	NEMVE10119
OG0000015	SCHMD16724	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	SCHMD08587, SCHMD04522, SCHMD13015, SCHMD10907, SCHMD09424, SCHMD18443, SCHMD06091, SCHMD04398	NEMVE08500, NEMVE08491
OG0000015	SCHMD21895	NEMVE03157, NEMVE03314
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302	NEMVE12514, NEMVE12424, NEMVE01060
OG0000016	SCHMD13031, SCHMD03292, SCHMD08192	NEMVE06758
OG0000016	SCHMD23829	NEMVE11998
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194	NEMVE18985
OG0000016	SCHMD16694	NEMVE05079, NEMVE20577
OG0000016	SCHMD02183	NEMVE05675
OG0000016	SCHMD09773, SCHMD05700	NEMVE01836
OG0000017	SCHMD13346	NEMVE10140, NEMVE12719, NEMVE03677, NEMVE19473, NEMVE11301, NEMVE11361, NEMVE02741, NEMVE21656, NEMVE08344, NEMVE08981, NEMVE11360, NEMVE21629, NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134, NEMVE07080, NEMVE05658, NEMVE18007, NEMVE09629, NEMVE09197, NEMVE11325, NEMVE07680, NEMVE10626
OG0000020	SCHMD24153	NEMVE13603
OG0000020	SCHMD09886	NEMVE14242
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	NEMVE14211, NEMVE09336, NEMVE05506
OG0000021	SCHMD05055, SCHMD22715, SCHMD07894	NEMVE01551, NEMVE13918
OG0000021	SCHMD09794, SCHMD23964, SCHMD14458	NEMVE17642, NEMVE17644, NEMVE21888
