Orthogroup	DANRE	SACKO_ok
OG0000000	DANRE06436, DANRE05762	SACKO_12749
OG0000000	DANRE24636, DANRE35926	SACKO_19677
OG0000000	DANRE04899, DANRE05022, DANRE06714	SACKO_25619
OG0000000	DANRE37544, DANRE11226	SACKO_25616
OG0000000	DANRE04898	SACKO_25266
OG0000000	DANRE11232, DANRE16357, DANRE04386	SACKO_05553
OG0000000	DANRE05964, DANRE19591, DANRE19592	SACKO_16683
OG0000000	DANRE34117, DANRE19532, DANRE36202	SACKO_08208, SACKO_08197
OG0000000	DANRE02487, DANRE13405	SACKO_32730, SACKO_17792
OG0000000	DANRE00977	SACKO_19489
OG0000000	DANRE04328, DANRE04330, DANRE04329	SACKO_31887
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	SACKO_24012
OG0000000	DANRE35277, DANRE35276, DANRE17824	SACKO_11590
OG0000000	DANRE29250, DANRE09540	SACKO_24040
OG0000000	DANRE24278	SACKO_11588
OG0000000	DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	SACKO_24002
OG0000000	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335	SACKO_24024
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	SACKO_24025
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	SACKO_26673
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	SACKO_06485
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	SACKO_31872
OG0000000	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237	SACKO_24017
OG0000000	DANRE06945, DANRE06944, DANRE20512	SACKO_11599
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	SACKO_22872
OG0000000	DANRE05977, DANRE05743	SACKO_31901
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	SACKO_31899
OG0000000	DANRE11796, DANRE11795, DANRE18798	SACKO_11978
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	SACKO_04743, SACKO_04719, SACKO_23106
OG0000001	DANRE16475, DANRE16476, DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719
OG0000001	DANRE29550	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	DANRE16673	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	DANRE38244, DANRE38242, DANRE38243	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827, DANRE17907, DANRE17906, DANRE17905, DANRE17904, DANRE17908, DANRE23589, DANRE23588, DANRE17903, DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919	SACKO_18684
OG0000002	DANRE28739	SACKO_13458
OG0000002	DANRE23574	SACKO_00245, SACKO_00252
OG0000004	DANRE31040	SACKO_20602, SACKO_18852
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777	SACKO_22081, SACKO_22108, SACKO_22102
OG0000005	DANRE17266	SACKO_08146
OG0000006	DANRE07563	SACKO_25366, SACKO_23311, SACKO_02952
OG0000006	DANRE02891	SACKO_21953
OG0000006	DANRE40167, DANRE35529, DANRE26614, DANRE26613	SACKO_11503
OG0000006	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940	SACKO_02616
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	SACKO_13650
OG0000006	DANRE11213, DANRE11212, DANRE11601	SACKO_23250
