Orthogroup	AMPFI_ok	AENJA_ok
OG0000000	AMPFI_12098	AENJA_00110
OG0000000	AMPFI_16114	AENJA_23461
OG0000000	AMPFI_11894	AENJA_26081
OG0000000	AMPFI_12336	AENJA_23544
OG0000000	AMPFI_16025	AENJA_06471
OG0000000	AMPFI_08228	AENJA_01537
OG0000000	AMPFI_02168	AENJA_07481
OG0000000	AMPFI_10716	AENJA_25905
OG0000000	AMPFI_19781	AENJA_12751
OG0000000	AMPFI_22359	AENJA_05798
OG0000000	AMPFI_25019	AENJA_05802
OG0000000	AMPFI_04297	AENJA_19519
OG0000000	AMPFI_05560	AENJA_10529
OG0000000	AMPFI_20876	AENJA_21459
OG0000000	AMPFI_21326	AENJA_10279
OG0000000	AMPFI_01589	AENJA_18954
OG0000000	AMPFI_10655	AENJA_18955
OG0000001	AMPFI_17506, AMPFI_20898	AENJA_18147
OG0000001	AMPFI_19192	AENJA_16489
OG0000001	AMPFI_06127	AENJA_05757
OG0000001	AMPFI_11237, AMPFI_13782	AENJA_05760
OG0000001	AMPFI_23521	AENJA_26229
OG0000001	AMPFI_21297	AENJA_16692
OG0000001	AMPFI_23234	AENJA_04483
OG0000001	AMPFI_18148, AMPFI_13477	AENJA_26118, AENJA_17575
OG0000001	AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689	AENJA_09293
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	AENJA_01446
OG0000001	AMPFI_00879	AENJA_05207, AENJA_05206
OG0000002	AMPFI_23102	AENJA_03072
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	AENJA_22707, AENJA_19254, AENJA_03627
OG0000002	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709	AENJA_00531
OG0000002	AMPFI_23336	AENJA_22262
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663	AENJA_05471, AENJA_03252
OG0000003	AMPFI_15515	AENJA_03925
OG0000003	AMPFI_04384	AENJA_21348
OG0000003	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064	AENJA_04022
OG0000003	AMPFI_25889	AENJA_16645
OG0000003	AMPFI_10369	AENJA_13805
OG0000003	AMPFI_18906	AENJA_21345
OG0000003	AMPFI_13080	AENJA_06628
OG0000003	AMPFI_00462	AENJA_20973
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984	AENJA_03277, AENJA_12218
OG0000003	AMPFI_13136, AMPFI_02273	AENJA_18598
OG0000003	AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216	AENJA_02043
OG0000003	AMPFI_11534	AENJA_22000
OG0000003	AMPFI_25043	AENJA_05435
OG0000003	AMPFI_11583	AENJA_21667
OG0000003	AMPFI_15510	AENJA_15873
OG0000003	AMPFI_09604	AENJA_00543
OG0000004	AMPFI_08378	AENJA_08681, AENJA_23847
OG0000004	AMPFI_12413	AENJA_16036
OG0000004	AMPFI_00336	AENJA_03959
OG0000004	AMPFI_07977	AENJA_15703
OG0000004	AMPFI_11893	AENJA_07458, AENJA_04481
OG0000004	AMPFI_01544, AMPFI_02173, AMPFI_17454, AMPFI_17455	AENJA_23393, AENJA_18495
OG0000004	AMPFI_11374, AMPFI_01179	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459
OG0000004	AMPFI_04189	AENJA_18812, AENJA_09022
OG0000004	AMPFI_03317	AENJA_05320
OG0000004	AMPFI_24981, AMPFI_23786	AENJA_17546
OG0000004	AMPFI_20231	AENJA_08909
OG0000005	AMPFI_18504	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	AMPFI_17853	AENJA_12050
OG0000005	AMPFI_25233	AENJA_07538
OG0000005	AMPFI_18823	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	AMPFI_24001	AENJA_18239
OG0000006	AMPFI_22470	AENJA_18510
OG0000006	AMPFI_22262	AENJA_20911
OG0000006	AMPFI_00206	AENJA_07226
OG0000006	AMPFI_02520	AENJA_22522
OG0000006	AMPFI_18507	AENJA_18450
OG0000006	AMPFI_06099	AENJA_01590
OG0000006	AMPFI_17130	AENJA_09210
OG0000006	AMPFI_12555	AENJA_15474
OG0000007	AMPFI_02812	AENJA_18163
OG0000007	AMPFI_07094	AENJA_00810
OG0000007	AMPFI_15871	AENJA_06479, AENJA_16018
OG0000007	AMPFI_26059	AENJA_09687
OG0000007	AMPFI_15806	AENJA_07358
OG0000007	AMPFI_22204	AENJA_11277
OG0000007	AMPFI_08786	AENJA_22886
OG0000007	AMPFI_17089	AENJA_20902
OG0000007	AMPFI_21281	AENJA_16981
OG0000007	AMPFI_23280	AENJA_26507
OG0000008	AMPFI_03619	AENJA_15934, AENJA_26738
OG0000008	AMPFI_18464	AENJA_24404, AENJA_14450
OG0000008	AMPFI_10761	AENJA_21421, AENJA_04271
OG0000008	AMPFI_13893	AENJA_00959
OG0000009	AMPFI_04649	AENJA_04378
OG0000009	AMPFI_18552, AMPFI_07288	AENJA_03345, AENJA_13762, AENJA_13658, AENJA_07747
OG0000009	AMPFI_05115	AENJA_00113, AENJA_11818
OG0000009	AMPFI_03236	AENJA_00671
OG0000009	AMPFI_20093	AENJA_02891
OG0000009	AMPFI_02845	AENJA_22348, AENJA_01926
OG0000009	AMPFI_03747	AENJA_09256
OG0000009	AMPFI_04561	AENJA_15566
OG0000009	AMPFI_06910	AENJA_12645
OG0000009	AMPFI_07658	AENJA_26356, AENJA_04329
OG0000009	AMPFI_02892, AMPFI_01981, AMPFI_16576	AENJA_26815, AENJA_17953
OG0000009	AMPFI_00045	AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530
OG0000009	AMPFI_02292, AMPFI_07211, AMPFI_22078	AENJA_22062
OG0000009	AMPFI_01799	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938
OG0000009	AMPFI_20474	AENJA_12021, AENJA_05571
OG0000009	AMPFI_23431	AENJA_12773
OG0000009	AMPFI_16179	AENJA_23978, AENJA_05392, AENJA_05099
OG0000009	AMPFI_02801	AENJA_11504
OG0000009	AMPFI_00566, AMPFI_18142, AMPFI_18445, AMPFI_06909	AENJA_00189
OG0000009	AMPFI_14660	AENJA_18570
OG0000010	AMPFI_14307, AMPFI_14306, AMPFI_02722	AENJA_14735
OG0000011	AMPFI_23867, AMPFI_22257	AENJA_16502
OG0000011	AMPFI_16294	AENJA_19273
OG0000011	AMPFI_20107	AENJA_03543
OG0000011	AMPFI_19772, AMPFI_15721, AMPFI_18664, AMPFI_20201, AMPFI_15511	AENJA_06710
OG0000011	AMPFI_25424	AENJA_18099
OG0000011	AMPFI_17952, AMPFI_21604	AENJA_11078, AENJA_01925, AENJA_24659, AENJA_13168
OG0000011	AMPFI_19936	AENJA_10554, AENJA_20178, AENJA_19192
OG0000011	AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672	AENJA_02877, AENJA_17352
OG0000011	AMPFI_21616	AENJA_20291, AENJA_06516, AENJA_22650
OG0000011	AMPFI_12025	AENJA_14414
OG0000011	AMPFI_12525, AMPFI_04893	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	AMPFI_09690	AENJA_21547
OG0000011	AMPFI_20832	AENJA_08871, AENJA_09595, AENJA_20150
OG0000011	AMPFI_15607	AENJA_21384
OG0000011	AMPFI_25605, AMPFI_02937, AMPFI_03824	AENJA_24664
OG0000011	AMPFI_05936, AMPFI_19795	AENJA_01682
OG0000011	AMPFI_03008, AMPFI_02519	AENJA_22850
OG0000011	AMPFI_19543, AMPFI_24100	AENJA_09100
OG0000011	AMPFI_13285	AENJA_12186
OG0000012	AMPFI_05035, AMPFI_18913	AENJA_21729, AENJA_07862, AENJA_07861
OG0000012	AMPFI_24214, AMPFI_11332, AMPFI_02225	AENJA_00771
OG0000012	AMPFI_15893	AENJA_09696, AENJA_09697
OG0000013	AMPFI_22877	AENJA_14640
OG0000013	AMPFI_15921, AMPFI_25074, AMPFI_24928, AMPFI_06132	AENJA_11516
OG0000014	AMPFI_10576, AMPFI_00293	AENJA_09518, AENJA_09012
OG0000014	AMPFI_16339	AENJA_25536
OG0000014	AMPFI_03612, AMPFI_14991, AMPFI_21256, AMPFI_03968	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818
OG0000015	AMPFI_03480	AENJA_25011
OG0000015	AMPFI_23995	AENJA_17614
OG0000016	AMPFI_14639	AENJA_07664
OG0000016	AMPFI_04995	AENJA_26670
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	AENJA_26671, AENJA_26677
OG0000016	AMPFI_20923	AENJA_21813, AENJA_16651
OG0000016	AMPFI_06248	AENJA_02781
OG0000016	AMPFI_11545	AENJA_03281
OG0000017	AMPFI_18434, AMPFI_21572	AENJA_25826, AENJA_19043
OG0000017	AMPFI_19735, AMPFI_25830, AMPFI_19153, AMPFI_25878	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	AMPFI_24062	AENJA_00793
OG0000017	AMPFI_10075, AMPFI_09589, AMPFI_13357	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	AMPFI_04506	AENJA_15074, AENJA_17435, AENJA_05313
OG0000017	AMPFI_25171	AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186
OG0000017	AMPFI_16384	AENJA_07451
OG0000017	AMPFI_03555, AMPFI_02100, AMPFI_22933, AMPFI_20010, AMPFI_04573, AMPFI_04127	AENJA_22962
OG0000017	AMPFI_13530, AMPFI_01348, AMPFI_00180	AENJA_21386
OG0000017	AMPFI_00815, AMPFI_23308	AENJA_13274
OG0000017	AMPFI_00751	AENJA_20264, AENJA_00879
OG0000017	AMPFI_01137	AENJA_04888, AENJA_03290, AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649
OG0000017	AMPFI_04581	AENJA_17676
OG0000017	AMPFI_00417	AENJA_13476, AENJA_24074, AENJA_10043, AENJA_21704, AENJA_26572, AENJA_20803, AENJA_11168
OG0000017	AMPFI_03217	AENJA_04067, AENJA_13186, AENJA_06087, AENJA_19243, AENJA_04308, AENJA_04362
OG0000018	AMPFI_07408	AENJA_18582
OG0000018	AMPFI_19746	AENJA_00705, AENJA_05980, AENJA_21073
OG0000018	AMPFI_21544, AMPFI_08183, AMPFI_15245, AMPFI_21772, AMPFI_22259, AMPFI_05295, AMPFI_18911	AENJA_24490, AENJA_10833
OG0000018	AMPFI_11607	AENJA_10761, AENJA_12683
OG0000018	AMPFI_11059, AMPFI_23717, AMPFI_12063	AENJA_25137
OG0000018	AMPFI_01244	AENJA_01235
OG0000018	AMPFI_24791, AMPFI_19834	AENJA_19981
OG0000018	AMPFI_13955	AENJA_14150
OG0000018	AMPFI_08768, AMPFI_18527, AMPFI_16233	AENJA_12247
OG0000019	AMPFI_10151	AENJA_03417, AENJA_02272, AENJA_02277
OG0000019	AMPFI_06523	AENJA_24818
OG0000019	AMPFI_03780	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338
OG0000019	AMPFI_06680	AENJA_03143, AENJA_03145, AENJA_03141
OG0000020	AMPFI_01847	AENJA_06180, AENJA_02090
OG0000020	AMPFI_07852	AENJA_21688, AENJA_05309, AENJA_01003, AENJA_08406
OG0000020	AMPFI_03773	AENJA_02593, AENJA_02596
OG0000020	AMPFI_19334	AENJA_15791
OG0000020	AMPFI_23773	AENJA_12903
OG0000020	AMPFI_11019	AENJA_09502
OG0000020	AMPFI_11933	AENJA_08287
OG0000020	AMPFI_06907	AENJA_18052
OG0000020	AMPFI_24792	AENJA_23718
OG0000020	AMPFI_07932	AENJA_16929
OG0000020	AMPFI_12343	AENJA_04727
OG0000020	AMPFI_25813	AENJA_10912
OG0000020	AMPFI_21494	AENJA_11444
OG0000020	AMPFI_06129	AENJA_07947
OG0000020	AMPFI_07388	AENJA_14659
OG0000020	AMPFI_13969	AENJA_12495
OG0000020	AMPFI_11845	AENJA_25422
OG0000021	AMPFI_23043, AMPFI_10198	AENJA_26606, AENJA_10786
OG0000021	AMPFI_24454	AENJA_25124
OG0000021	AMPFI_16391	AENJA_15672, AENJA_17125
OG0000021	AMPFI_19616, AMPFI_08794, AMPFI_23196	AENJA_10523
OG0000021	AMPFI_00389, AMPFI_07405, AMPFI_24716	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	AMPFI_05477	AENJA_06341
OG0000023	AMPFI_14885	AENJA_11618, AENJA_11620, AENJA_11621
OG0000023	AMPFI_23006	AENJA_22520, AENJA_19106
OG0000023	AMPFI_10764	AENJA_11920
OG0000023	AMPFI_05765, AMPFI_01138, AMPFI_10312	AENJA_26230
OG0000023	AMPFI_05031	AENJA_07520, AENJA_17438
OG0000024	AMPFI_01273	AENJA_19836, AENJA_22674, AENJA_01541
OG0000024	AMPFI_25554	AENJA_03429
OG0000024	AMPFI_11543	AENJA_07417, AENJA_16810
