Orthogroup	ORYLA	HUMAN
OG0000000	ORYLA04928	HUMAN03752
OG0000000	ORYLA02333	HUMAN03811
OG0000000	ORYLA07037	HUMAN27271
OG0000000	ORYLA08538	HUMAN18431
OG0000000	ORYLA05297	HUMAN03692
OG0000000	ORYLA07510	HUMAN17114
OG0000000	ORYLA04677	HUMAN03688
OG0000000	ORYLA04925	HUMAN03744
OG0000000	ORYLA04924	HUMAN03743
OG0000000	ORYLA08113	HUMAN22196
OG0000000	ORYLA18170	HUMAN03805, HUMAN22626
OG0000000	ORYLA02858	HUMAN29337
OG0000000	ORYLA12900	HUMAN01254
OG0000000	ORYLA03677	HUMAN05731
OG0000000	ORYLA11446	HUMAN02527
OG0000000	ORYLA01821	HUMAN26096
OG0000000	ORYLA04170	HUMAN07512
OG0000000	ORYLA18990	HUMAN22413
OG0000000	ORYLA17164	HUMAN12896
OG0000000	ORYLA01822	HUMAN26097
OG0000000	ORYLA09108	HUMAN07513
OG0000000	ORYLA17159	HUMAN12904
OG0000000	ORYLA15774	HUMAN06517
OG0000000	ORYLA08249	HUMAN12901
OG0000000	ORYLA17160	HUMAN26101
OG0000000	ORYLA15776	HUMAN06518
OG0000000	ORYLA17162	HUMAN12899
OG0000000	ORYLA08248	HUMAN12900
OG0000000	ORYLA15775	HUMAN06519
OG0000000	ORYLA09198	HUMAN27325
OG0000000	ORYLA10052	HUMAN27326
OG0000000	ORYLA08225	HUMAN12743
OG0000000	ORYLA06162	HUMAN26016
OG0000000	ORYLA14471	HUMAN22154
OG0000000	ORYLA10061	HUMAN08317
OG0000000	ORYLA11798	HUMAN18755
OG0000000	ORYLA15773	HUMAN06516
OG0000000	ORYLA09896	HUMAN26103, HUMAN17903
OG0000000	ORYLA17158	HUMAN12905
OG0000000	ORYLA01827, ORYLA05617	HUMAN26104
OG0000000	ORYLA01029	HUMAN30050
OG0000000	ORYLA04459	HUMAN24067, HUMAN07515
OG0000000	ORYLA01830	HUMAN26107
OG0000000	ORYLA09892	HUMAN17898
OG0000000	ORYLA17729	HUMAN27579
OG0000000	ORYLA00932	HUMAN22230
OG0000000	ORYLA05045	HUMAN03523
OG0000000	ORYLA01322	HUMAN24243
OG0000000	ORYLA10603	HUMAN18756
OG0000000	ORYLA10060	HUMAN08319
OG0000001	ORYLA01580	HUMAN10622
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819	HUMAN14514, HUMAN14515
OG0000001	ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576	HUMAN14863
OG0000002	ORYLA00438	HUMAN22770
OG0000002	ORYLA03051	HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453, HUMAN15589, HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588
OG0000002	ORYLA12350	HUMAN04207
OG0000002	ORYLA13465	HUMAN01080
OG0000002	ORYLA03052, ORYLA16692	HUMAN20270
OG0000004	ORYLA16672	HUMAN13470
OG0000004	ORYLA11724, ORYLA11723, ORYLA15657	HUMAN26466
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	HUMAN23763, HUMAN23764
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089	HUMAN25098
OG0000005	ORYLA04143	HUMAN04760, HUMAN04761
OG0000005	ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	HUMAN20683
OG0000005	ORYLA11550	HUMAN25469
OG0000005	ORYLA04733	HUMAN01465
OG0000006	ORYLA13568, ORYLA06565	HUMAN00944
OG0000006	ORYLA20407	HUMAN22351
OG0000006	ORYLA03595	HUMAN05133
OG0000006	ORYLA03421	HUMAN21718
OG0000006	ORYLA09483	HUMAN29537
OG0000006	ORYLA13382	HUMAN02118
OG0000006	ORYLA09038	HUMAN29691
OG0000006	ORYLA15680	HUMAN01388
OG0000006	ORYLA07217	HUMAN06884
OG0000006	ORYLA12345, ORYLA14784	HUMAN04380
OG0000006	ORYLA10511, ORYLA11827	HUMAN08640
OG0000006	ORYLA16517	HUMAN25905
OG0000006	ORYLA17394	HUMAN23524
OG0000006	ORYLA05082	HUMAN03111
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	HUMAN14017
OG0000006	ORYLA20473	HUMAN22793, HUMAN22791, HUMAN22792
OG0000006	ORYLA04673	HUMAN03581
OG0000006	ORYLA03873	HUMAN23822
OG0000006	ORYLA10460	HUMAN08442
OG0000006	ORYLA00215, ORYLA04762	HUMAN17032
OG0000006	ORYLA04691	HUMAN24331
OG0000006	ORYLA03542	HUMAN12248
OG0000007	ORYLA13334	HUMAN24418
OG0000007	ORYLA14937	HUMAN09570
OG0000007	ORYLA17526	HUMAN28803
OG0000007	ORYLA03070	HUMAN15831
OG0000007	ORYLA10601	HUMAN18759
OG0000007	ORYLA19360	HUMAN08323
OG0000007	ORYLA13245	HUMAN01097
OG0000007	ORYLA02416, ORYLA13595	HUMAN23486, HUMAN00971
OG0000007	ORYLA00451	HUMAN28936
OG0000007	ORYLA10719	HUMAN17278
OG0000007	ORYLA18472	HUMAN21567
OG0000007	ORYLA15197	HUMAN11539
OG0000007	ORYLA09030	HUMAN28408
OG0000007	ORYLA13335	HUMAN24417
OG0000007	ORYLA12464	HUMAN11533
OG0000007	ORYLA03471	HUMAN12258
OG0000007	ORYLA17615	HUMAN07103
OG0000007	ORYLA11394	HUMAN08774
OG0000007	ORYLA05164	HUMAN16949
OG0000007	ORYLA00561	HUMAN25936
OG0000007	ORYLA16283, ORYLA08278	HUMAN13634
OG0000007	ORYLA16317	HUMAN13395
OG0000007	ORYLA13871	HUMAN00819
OG0000007	ORYLA05828	HUMAN05935
OG0000007	ORYLA10158	HUMAN08248
OG0000008	ORYLA06372	HUMAN14538
OG0000008	ORYLA06647, ORYLA13248	HUMAN01095
OG0000008	ORYLA00582	HUMAN12190
OG0000008	ORYLA02437	HUMAN29311, HUMAN29312
OG0000008	ORYLA18857	HUMAN14600
OG0000008	ORYLA11025	HUMAN26474
OG0000008	ORYLA15397	HUMAN00243
OG0000008	ORYLA01388	HUMAN27485
OG0000010	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017	HUMAN06424
OG0000010	ORYLA17718	HUMAN00318, HUMAN00317
OG0000010	ORYLA15599, ORYLA15600	HUMAN00316
OG0000010	ORYLA12063	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	ORYLA05561	HUMAN11268
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	HUMAN18382
OG0000010	ORYLA09104, ORYLA13024	HUMAN14278
OG0000010	ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000010	ORYLA15708	HUMAN06405, HUMAN06406
OG0000010	ORYLA20398	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000011	ORYLA04501	HUMAN08916
OG0000012	ORYLA15107, ORYLA15108	HUMAN11057, HUMAN11196, HUMAN11194, HUMAN11197, HUMAN11198, HUMAN11055, HUMAN11056
OG0000012	ORYLA15199	HUMAN11190
OG0000013	ORYLA00386	HUMAN22810
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415
OG0000013	ORYLA19175, ORYLA17235	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	ORYLA07442	HUMAN11875
OG0000014	ORYLA17297, ORYLA15314	HUMAN11876
OG0000014	ORYLA13996, ORYLA16200	HUMAN01436
OG0000014	ORYLA10845	HUMAN06713
OG0000014	ORYLA17181	HUMAN13605, HUMAN13607
OG0000014	ORYLA08263	HUMAN13308, HUMAN13309
OG0000014	ORYLA04835, ORYLA19923	HUMAN03416
OG0000014	ORYLA15682	HUMAN01394
OG0000014	ORYLA04907	HUMAN18336, HUMAN03159
OG0000014	ORYLA11600	HUMAN25476
OG0000014	ORYLA01088	HUMAN30053
OG0000014	ORYLA07812, ORYLA17200	HUMAN13227
OG0000015	ORYLA00867, ORYLA20430	HUMAN22985
OG0000015	ORYLA04638	HUMAN24211
OG0000015	ORYLA19973	HUMAN24177
OG0000015	ORYLA08714	HUMAN22373
OG0000015	ORYLA04332, ORYLA10753	HUMAN09170
OG0000015	ORYLA11923, ORYLA10179	HUMAN25367
OG0000015	ORYLA08817, ORYLA04154	HUMAN21195
OG0000015	ORYLA03899	HUMAN24184
OG0000015	ORYLA10757	HUMAN22368
OG0000015	ORYLA08711	HUMAN09175
OG0000015	ORYLA01414	HUMAN22369
OG0000015	ORYLA19970	HUMAN24183
OG0000015	ORYLA04333	HUMAN30472
OG0000015	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513	HUMAN09173
OG0000015	ORYLA01413	HUMAN22372
