Orthogroup	APOSJ_ok	STRPU_ok
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	STRPU_10146, STRPU_10084
OG0000000	APOSJ_43984, APOSJ_47154	STRPU_10304
OG0000000	APOSJ_18686	STRPU_10015
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	STRPU_10016
OG0000000	APOSJ_32352	STRPU_19865, STRPU_19892
OG0000000	APOSJ_18136	STRPU_02929
OG0000000	APOSJ_34245	STRPU_09982, STRPU_09961
OG0000000	APOSJ_60507	STRPU_20780
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	STRPU_23206
OG0000000	APOSJ_36728	STRPU_05390
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	STRPU_23198
OG0000000	APOSJ_20159	STRPU_23196
OG0000000	APOSJ_40396	STRPU_23194
OG0000000	APOSJ_37520	STRPU_23756
OG0000000	APOSJ_38857, APOSJ_38860	STRPU_22253
OG0000000	APOSJ_32562, APOSJ_32561	STRPU_09852
OG0000000	APOSJ_47531, APOSJ_29010	STRPU_23199
OG0000000	APOSJ_05847, APOSJ_05848	STRPU_23200
OG0000000	APOSJ_38441	STRPU_25072
OG0000000	APOSJ_62087	STRPU_23201
OG0000000	APOSJ_26760	STRPU_23202
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	STRPU_05830
OG0000000	APOSJ_56734	STRPU_10189
OG0000000	APOSJ_31415	STRPU_09890
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	STRPU_21017
OG0000000	APOSJ_02527	STRPU_21014
OG0000001	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875	STRPU_05173, STRPU_05094
OG0000001	APOSJ_40516, APOSJ_28860	STRPU_00074
OG0000001	APOSJ_12278, APOSJ_36722	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	APOSJ_62573, APOSJ_49921	STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352
OG0000001	APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152	STRPU_11067
OG0000001	APOSJ_36498	STRPU_12910, STRPU_12667, STRPU_13102
OG0000002	APOSJ_36413	STRPU_21867
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496
OG0000002	APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991
OG0000002	APOSJ_50646, APOSJ_61186, APOSJ_47171	STRPU_25851, STRPU_22729
OG0000002	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447
OG0000002	APOSJ_16645, APOSJ_07327	STRPU_25048
OG0000002	APOSJ_21931	STRPU_00361, STRPU_18021, STRPU_18027
OG0000003	APOSJ_63267	STRPU_06865
OG0000003	APOSJ_43552, APOSJ_43551	STRPU_00063
OG0000003	APOSJ_07887	STRPU_02656
OG0000003	APOSJ_06613	STRPU_06609
OG0000003	APOSJ_27925, APOSJ_44929	STRPU_07634
OG0000003	APOSJ_41535, APOSJ_46680, APOSJ_41536	STRPU_08627
OG0000003	APOSJ_07491	STRPU_02120
OG0000003	APOSJ_53718	STRPU_20651
OG0000003	APOSJ_28537	STRPU_17996
OG0000003	APOSJ_37328, APOSJ_40157	STRPU_00064
OG0000003	APOSJ_61298	STRPU_01614, STRPU_08510
OG0000003	APOSJ_07258	STRPU_22956, STRPU_00065
OG0000003	APOSJ_36444, APOSJ_17178	STRPU_09153, STRPU_02119, STRPU_09154
OG0000003	APOSJ_13667, APOSJ_36000, APOSJ_48083, APOSJ_29731, APOSJ_28848, APOSJ_28852	STRPU_18662
OG0000003	APOSJ_43600	STRPU_08511
OG0000003	APOSJ_04924	STRPU_12408
OG0000003	APOSJ_19118	STRPU_17010
OG0000003	APOSJ_59054	STRPU_20154
