Orthogroup	BRAFL	MOUSE
OG0000000	bflo_10712, bflo_10733	MOUSE35835, MOUSE46731
OG0000000	bflo_04183	MOUSE35499, MOUSE22971
OG0000000	bflo_24421, bflo_24425, bflo_09165	MOUSE40493, MOUSE21445
OG0000000	bflo_24954	MOUSE40450, MOUSE21440
OG0000000	bflo_09701	MOUSE46718, MOUSE35959
OG0000000	bflo_10072	MOUSE46854, MOUSE36974
OG0000000	bflo_16599	MOUSE25533, MOUSE37056
OG0000000	bflo_24252	MOUSE09344, MOUSE50563
OG0000000	bflo_08732	MOUSE50880
OG0000000	bflo_10637	MOUSE20961
OG0000000	bflo_19045	MOUSE24692
OG0000000	bflo_00191	MOUSE26497, MOUSE39799
OG0000000	bflo_15523	MOUSE38794, MOUSE36509
OG0000000	bflo_00189	MOUSE26494
OG0000000	bflo_00196	MOUSE05221, MOUSE39801
OG0000000	bflo_00195	MOUSE05215, MOUSE39813, MOUSE39810
OG0000000	bflo_00192	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218
OG0000000	bflo_00197	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	bflo_00617, bflo_23916	MOUSE35589, MOUSE35590
OG0000000	bflo_00176	MOUSE05644, MOUSE06967
OG0000000	bflo_10639	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	bflo_00920	MOUSE39816, MOUSE39817
OG0000000	bflo_14857	MOUSE39823, MOUSE54681, MOUSE19588, MOUSE38796, MOUSE42582
OG0000000	bflo_00526	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	bflo_10437	MOUSE36110
OG0000000	bflo_10148	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	bflo_18457	MOUSE07114
OG0000001	bflo_23582, bflo_21621	MOUSE11565, MOUSE20858, MOUSE11567
OG0000001	bflo_13782, bflo_21347, bflo_23767, bflo_16185	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
