Orthogroup	AMPFI_ok	CAPO3
OG0000003	AMPFI_14596, AMPFI_15515, AMPFI_16631, AMPFI_12750, AMPFI_04384, AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064, AMPFI_00352, AMPFI_02665, AMPFI_03204, AMPFI_07815, AMPFI_25889, AMPFI_17434, AMPFI_10369, AMPFI_18906, AMPFI_11277, AMPFI_13080, AMPFI_14508, AMPFI_22992, AMPFI_23508, AMPFI_02231, AMPFI_00462, AMPFI_16213, AMPFI_23034, AMPFI_24242, AMPFI_13081, AMPFI_01108, AMPFI_17831, AMPFI_20373, AMPFI_11730, AMPFI_16587, AMPFI_13138, AMPFI_18427, AMPFI_25711, AMPFI_01607, AMPFI_17593, AMPFI_10595, AMPFI_18383, AMPFI_15011, AMPFI_13545, AMPFI_13340, AMPFI_02133, AMPFI_10984, AMPFI_16139, AMPFI_15012, AMPFI_02028, AMPFI_17117, AMPFI_14862, AMPFI_13136, AMPFI_02273, AMPFI_14808, AMPFI_19265, AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596, AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216, AMPFI_11534, AMPFI_16981, AMPFI_14748, AMPFI_23185, AMPFI_14507, AMPFI_04480, AMPFI_14217, AMPFI_16278, AMPFI_25043, AMPFI_02366, AMPFI_04818, AMPFI_18391, AMPFI_13137, AMPFI_11583, AMPFI_15510, AMPFI_04899, AMPFI_21369, AMPFI_09604	CAPO301945
OG0000005	AMPFI_18504, AMPFI_17853, AMPFI_00525, AMPFI_25233, AMPFI_12439, AMPFI_11815, AMPFI_06236, AMPFI_18823, AMPFI_12557, AMPFI_17233, AMPFI_06946	CAPO308356, CAPO307946
OG0000006	AMPFI_05750	CAPO306217
OG0000006	AMPFI_12555	CAPO302620
OG0000007	AMPFI_26059, AMPFI_15806	CAPO304209
OG0000007	AMPFI_22204	CAPO303284
OG0000007	AMPFI_21281	CAPO300935
OG0000007	AMPFI_23280	CAPO305123
OG0000012	AMPFI_05035, AMPFI_18913, AMPFI_24706, AMPFI_24214, AMPFI_11332, AMPFI_02225, AMPFI_15893, AMPFI_06478, AMPFI_16130	CAPO302923, CAPO302931
OG0000015	AMPFI_03480, AMPFI_23995	CAPO302521
OG0000016	AMPFI_14639	CAPO300049
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939, AMPFI_20923	CAPO306803
OG0000016	AMPFI_06248	CAPO303259
OG0000016	AMPFI_15536, AMPFI_18220, AMPFI_13190, AMPFI_11532, AMPFI_08754, AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144, AMPFI_11545	CAPO300936
OG0000023	AMPFI_10055, AMPFI_24894, AMPFI_23233, AMPFI_05477, AMPFI_11289, AMPFI_18034, AMPFI_12912, AMPFI_20581, AMPFI_05984, AMPFI_22167, AMPFI_14885, AMPFI_23006, AMPFI_10764, AMPFI_08877, AMPFI_08668, AMPFI_05765, AMPFI_01138, AMPFI_10312, AMPFI_05031, AMPFI_02817, AMPFI_19302, AMPFI_11290	CAPO307690
OG0000029	AMPFI_24572, AMPFI_17682, AMPFI_23832, AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753, AMPFI_05500, AMPFI_18884, AMPFI_24440	CAPO307131
