target_id	length	eff_length	est_counts	tpm
BL61971_cuf3	3279	3099.78	17	0.683004
BL20828_cuf0	402	225.732	0	0
BL20825_cuf0	589	409.946	8	2.43035
BL20824_cuf0	216	68.4169	2	3.64059
BL20827_cuf0	5602	5422.78	537.757	12.3501
BL20826_evm0	1244	1064.78	0	0
BL20821_evm1	874	694.793	2	0.358492
BL20820_evm0	1221	1041.78	0	0
BL20822_cuf1	2019	1839.78	3	0.203077
BL09205_cuf1	351	177.632	0	0
BL09206_cuf9	4026	3846.78	272.671	8.8277
BL09207_evm0	1189	1009.78	585.283	72.1846
BL09200_evm0	681	501.841	0	0
BL09201_cuf0	3942	3762.78	1049	34.7194
BL09202_evm3	3098	2918.78	2147.37	91.6244
BL09203_evm0	1775	1595.78	28	2.1852
BL09208_evm0	2300	2120.78	928.103	54.5012
BL09209_evm1	3501	3321.78	341	12.7847
BL12125_cuf0	3516	3336.78	434	16.1982
BL12124_evm0	4709	4529.78	1808.66	49.7262
BL12127_cuf0	2242	2062.78	91	5.49407
BL12121_cuf0	666	486.865	2	0.511596
BL12120_cuf0	1768	1588.78	74	5.8006
BL12123_cuf0	829	649.793	1	0.19166
BL12122_cuf0	3021	2841.78	1022	44.7884
BL12129_evm0	2139	1959.78	4007	254.635
BL12128_evm3	3083	2903.78	2032.49	87.1707
BL13654_cuf0	3748	3568.78	1805	62.9887
BL13655_evm0	1580	1400.78	559	49.6989
BL13656_cuf0	2326	2146.78	30.4621	1.76717
BL13657_cuf1	256	96.7955	0	0
BL13650_cuf5	3170	2990.78	1747.99	72.788
BL13651_cuf0	1268	1088.78	0	0
BL19276_evm18	873	693.793	300	53.8514
BL13653_cuf0	1477	1297.78	0	0
BL19278_evm0	258	98.3103	0	0
BL13658_cuf0	163	38.1675	0	0
BL13659_evm0	3078	2898.78	20.1794	0.86696
BL26939_evm0	422	244.96	4.33505	2.20397
BL28959_evm0	675	495.841	0	0
BL26289_evm0	258	98.3103	7	8.86757
BL26288_evm0	7877	7697.78	0	0
BL26283_evm0	1287	1107.78	0	0
BL26282_evm0	1085	905.781	0	0
BL26281_evm0	444	266.31	0	0
BL26280_evm0	1056	876.781	0	0
BL26287_evm0	375	200	0	0
BL26286_evm0	306	137.664	0	0
BL26285_evm0	207	62.6673	1	1.9873
BL26284_evm0	901	721.793	0	0
BL25956_evm0	441	263.385	0	0
BL25957_evm0	2055	1875.78	0	0
BL25954_evm0	270	107.803	0	0
BL25955_evm0	402	225.732	0	0
BL25952_evm0	303	135.132	0	0
BL25953_evm0	552	373.056	0	0
BL25950_evm0	1290	1110.78	0	0
BL20829_cuf0	1316	1136.78	212	23.2255
BL25958_evm0	243	87.0282	0	0
BL25959_evm0	537	358.13	25	8.69371
BL60005_cuf0	1407	1227.78	3	0.304303
BL21392_evm0	1191	1011.78	155	19.0788
BL21393_cuf0	7086	6906.78	43.2116	0.779167
BL21394_cuf3	1643	1463.78	22	1.87177
BL21395_cuf1	1295	1115.78	77.752	8.67837
BL21396_evm7	2878	2698.78	4	0.184586
BL21398_cuf1	5644	5464.78	83.2168	1.89646
BL21399_cuf0	2975	2795.78	949.892	42.3133
BL03046_evm1	1044	864.781	5	0.720061
BL02957_cuf0	2710	2530.78	0	0
BL03047_evm0	6367	6187.78	0	0
BL02951_cuf8	2687	2507.78	118.706	5.89506
BL23507_evm0	3265	3085.78	0	0
BL23506_cuf0	2684	2504.78	26.2939	1.30735
BL23505_cuf0	248	90.7212	0	0
BL23504_evm1	3706	3526.78	749.82	26.4779
BL23503_cuf1	1278	1098.78	0	0
BL23502_evm0	1068	888.781	0	0
BL23501_cuf0	2997	2817.78	7.0685	0.31241
BL23500_cuf4	4772	4592.78	3780	102.499
BL23509_cuf5	4710	4530.78	793	21.7975
BL23508_cuf0	1000	820.781	4.05042	0.61458
BL11458_cuf6	8723	8543.78	1487.72	21.6859
BL84988_cuf0	1466	1286.78	1	0.0967834
BL07349_cuf7	3533	3353.78	1164	43.2239
BL07348_cuf0	1570	1390.78	1574	140.946
BL07347_evm2	1942	1762.78	7.28233	0.514491
BL07346_cuf0	4685	4505.78	1936	53.5107
BL07345_evm0	1686	1506.78	141	11.654
BL07344_cuf0	1970	1790.78	0	0
BL07343_cuf5	3249	3069.78	1420.85	57.6431
BL07342_cuf2	4526	4346.78	3	0.0859526
BL07340_cuf0	2085	1905.78	0	0
BL23594_evm1	1551	1371.78	3644	330.826
BL23595_cuf3	1248	1068.78	1447	168.611
