Orthogroup	APOSJ_ok	CAEEL
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	CAEEL18735
OG0000000	APOSJ_18686	CAEEL06523
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	CAEEL00081
OG0000000	APOSJ_32352, APOSJ_60141	CAEEL18467, CAEEL18466
OG0000000	APOSJ_34245	CAEEL18086
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	CAEEL08092
OG0000000	APOSJ_36728, APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396	CAEEL08135, CAEEL08091
OG0000000	APOSJ_37520	CAEEL00979
OG0000000	APOSJ_32562, APOSJ_32561	CAEEL19601
OG0000000	APOSJ_47531, APOSJ_29010, APOSJ_05847, APOSJ_05848, APOSJ_38441, APOSJ_62087, APOSJ_26760	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	CAEEL07441
OG0000000	APOSJ_31415, APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633, APOSJ_02527	CAEEL16213
OG0000002	APOSJ_21931	CAEEL18977
OG0000003	APOSJ_33662	CAEEL18127
OG0000003	APOSJ_41535, APOSJ_46680, APOSJ_41536	CAEEL14751
OG0000003	APOSJ_07491, APOSJ_53718	CAEEL20577
OG0000003	APOSJ_19882, APOSJ_38353	CAEEL19939
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667, APOSJ_43563	CAEEL13168
OG0000005	APOSJ_31537	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095, APOSJ_12734	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	CAEEL20510
OG0000006	APOSJ_43757	CAEEL00696
OG0000006	APOSJ_52128, APOSJ_22887	CAEEL05532
OG0000006	APOSJ_38154	CAEEL12101
OG0000006	APOSJ_46492	CAEEL17819
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	CAEEL04050
OG0000007	APOSJ_59909	CAEEL17965
OG0000007	APOSJ_46494	CAEEL05829
OG0000007	APOSJ_33751	CAEEL01108
OG0000007	APOSJ_45510, APOSJ_50337, APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	CAEEL10238, CAEEL04602
OG0000007	APOSJ_55940, APOSJ_55941	CAEEL18586
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160	CAEEL20690
OG0000013	APOSJ_62947, APOSJ_26006, APOSJ_16913, APOSJ_41894, APOSJ_41895, APOSJ_61052, APOSJ_61056, APOSJ_61059, APOSJ_39191, APOSJ_41889, APOSJ_62706, APOSJ_61060, APOSJ_41763, APOSJ_41760, APOSJ_41759, APOSJ_61058, APOSJ_41893, APOSJ_41766, APOSJ_61057, APOSJ_41892, APOSJ_41887, APOSJ_41762, APOSJ_31949, APOSJ_41761, APOSJ_41764, APOSJ_47969, APOSJ_47968, APOSJ_41891, APOSJ_41758, APOSJ_62088, APOSJ_44152, APOSJ_09998, APOSJ_50056, APOSJ_01943, APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982, APOSJ_21044, APOSJ_58255, APOSJ_02917, APOSJ_49601, APOSJ_48986, APOSJ_43911, APOSJ_02919, APOSJ_03365, APOSJ_03366, APOSJ_26214, APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812	CAEEL19127
OG0000015	APOSJ_04715	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	APOSJ_53813, APOSJ_50846, APOSJ_50844	CAEEL15587
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	CAEEL20493
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717, APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	CAEEL18647
OG0000019	APOSJ_25021	CAEEL15403
