Orthogroup	XENTR	OWEFU
OG0000000	XENTR08878	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	XENTR18832, XENTR01079, XENTR01080	OFUSG13305.1.p1
OG0000000	XENTR18066, XENTR08976, XENTR07932	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	XENTR18621	OFUSG18918.1.p1
OG0000000	XENTR07929	OFUSG06560.1.p1
OG0000000	XENTR10508, XENTR13402	OFUSG05755.1.p1
OG0000000	XENTR10492, XENTR10560	OFUSG06970.1.p1
OG0000000	XENTR07734, XENTR13891	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	XENTR17298, XENTR05705	OFUSG08786.1.p1
OG0000000	XENTR16086	OFUSG09074.1.p1
OG0000000	XENTR12445	OFUSG19303.1.p1
OG0000000	XENTR07618	OFUSG12013.1.p1
OG0000000	XENTR07167, XENTR10848, XENTR03338	OFUSG13332.1.p1
OG0000000	XENTR04390, XENTR05494	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	XENTR10849, XENTR03337	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	XENTR04389	OFUSG03302.1.p1
OG0000000	XENTR03332	OFUSG13338.1.p1
OG0000000	XENTR08542, XENTR10851, XENTR07169, XENTR03335	OFUSG13335.1.p1
OG0000000	XENTR10852, XENTR03334, XENTR08541	OFUSG13336.1.p1
OG0000000	XENTR06295, XENTR04184	OFUSG17003.1.p1
OG0000000	XENTR03185	OFUSG21200.1.p1
OG0000000	XENTR12464, XENTR08726	OFUSG05672.1.p1
OG0000000	XENTR04388, XENTR00687, XENTR13779	OFUSG03177.1.p1
OG0000000	XENTR03327, XENTR07175	OFUSG12947.1.p1
OG0000000	XENTR14936, XENTR09546	OFUSG05775.1.p1
OG0000000	XENTR01972, XENTR09547, XENTR08722	OFUSG06109.1.p1
OG0000000	XENTR12981	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	XENTR06679	OFUSG21806.1.p1
OG0000001	XENTR19191, XENTR05335, XENTR05334	OFUSG18749.1.p1
OG0000001	XENTR06490	OFUSG04205.1.p1
OG0000002	XENTR12747	OFUSG12055.1.p1
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598	OFUSG09076.1.p1
OG0000002	XENTR17667	OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1
OG0000004	XENTR07291	OFUSG24397.1.p1, OFUSG24469.1.p1, OFUSG24469.2.p1, OFUSG24395.1.p1, OFUSG24554.2.p1, OFUSG24554.1.p1, OFUSG24396.1.p1, OFUSG24470.1.p1
OG0000005	XENTR05002, XENTR05003	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	XENTR09142	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	XENTR16849, XENTR09568	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	XENTR00026	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	XENTR03474, XENTR03473, XENTR14730	OFUSG02905.1.p1
OG0000006	XENTR03090, XENTR09060	OFUSG14509.1.p1
OG0000006	XENTR03954, XENTR14945	OFUSG25514.1.p1
OG0000006	XENTR03689	OFUSG14428.1.p1
OG0000006	XENTR00399, XENTR09859	OFUSG07929.1.p1
OG0000006	XENTR09947, XENTR11692	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	XENTR11329	OFUSG10782.1.p1
OG0000006	XENTR15046	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	XENTR13548	OFUSG21061.1.p1, OFUSG18090.1.p1
OG0000006	XENTR15729, XENTR08627	OFUSG08659.1.p1
OG0000006	XENTR04854, XENTR07280, XENTR07527	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	XENTR07719	OFUSG11740.1.p1
OG0000006	XENTR12339, XENTR03854, XENTR12781	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	XENTR18680, XENTR15398	OFUSG05485.1.p1
