Orthogroup	DANRE	BRALA
OG0000000	DANRE06436, DANRE05762	BRALA16375, BRALA16376
OG0000000	DANRE24636, DANRE35926	BRALA00047
OG0000000	DANRE04899, DANRE05022, DANRE06714	BRALA19584, BRALA19585, BRALA25857
OG0000000	DANRE37544, DANRE11226	BRALA17283
OG0000000	DANRE11232, DANRE16357, DANRE04386	BRALA24482
OG0000000	DANRE05964, DANRE19591, DANRE19592	BRALA16262
OG0000000	DANRE34117, DANRE19532, DANRE36202	BRALA18359
OG0000000	DANRE02487, DANRE13405	BRALA29522
OG0000000	DANRE00977	BRALA24707
OG0000000	DANRE04328, DANRE04330, DANRE04329	BRALA28387
OG0000000	DANRE18867, DANRE18868	BRALA21476
OG0000000	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340	BRALA00115
OG0000000	DANRE35277, DANRE35276, DANRE17824	BRALA11736
OG0000000	DANRE29250, DANRE09540	BRALA00116
OG0000000	DANRE24278	BRALA11734
OG0000000	DANRE29241, DANRE29242	BRALA00120
OG0000000	DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703	BRALA00121
OG0000000	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431	BRALA00118
OG0000000	DANRE38770, DANRE41587, DANRE15352, DANRE15353	BRALA00439, BRALA26541
OG0000000	DANRE03853, DANRE03854, DANRE14679, DANRE08590	BRALA00079
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	BRALA34448
OG0000000	DANRE09538, DANRE29237	BRALA00124
OG0000000	DANRE06945, DANRE06944, DANRE20512	BRALA11733
OG0000000	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441	BRALA00135
OG0000000	DANRE05977, DANRE05743	BRALA30674
OG0000000	DANRE41166, DANRE05745, DANRE05744, DANRE06657	BRALA30673
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	DANRE29550	BRALA19588, BRALA19586
OG0000002	DANRE16673	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
OG0000002	DANRE07411, DANRE07410, DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468
OG0000002	DANRE28739	BRALA20754
OG0000002	DANRE23574	BRALA27121
OG0000003	DANRE05700	BRALA30232, BRALA07610
OG0000004	DANRE17331	BRALA09016
OG0000004	DANRE15804, DANRE15805, DANRE05052, DANRE05051, DANRE04104, DANRE04103	BRALA03918
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	BRALA02003, BRALA02015
OG0000005	DANRE20576, DANRE20588, DANRE20587, DANRE20586	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	DANRE18161	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000005	DANRE17266	BRALA31589
OG0000006	DANRE07563	BRALA03676
OG0000006	DANRE02891	BRALA17590
OG0000006	DANRE35529, DANRE26614, DANRE26613	BRALA06686
OG0000006	DANRE06496, DANRE06495, DANRE06497, DANRE08940	BRALA19242
OG0000006	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564	BRALA06109
OG0000006	DANRE20396, DANRE24336	BRALA23800
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	BRALA07568, BRALA29276
OG0000006	DANRE11213, DANRE11212, DANRE11601	BRALA22280
OG0000006	DANRE30064, DANRE15483	BRALA06185
OG0000006	DANRE30060	BRALA06182
OG0000006	DANRE19266, DANRE19265, DANRE34833, DANRE34834	BRALA17603
OG0000006	DANRE05395	BRALA03602
OG0000006	DANRE20981, DANRE28318, DANRE19321	BRALA17591
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	BRALA24372
OG0000006	DANRE11156, DANRE11155	BRALA24993
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	BRALA24994
OG0000006	DANRE04654, DANRE04655	BRALA22628
OG0000007	DANRE26275, DANRE17982	BRALA03259
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	BRALA13447, BRALA13448
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	BRALA20872, BRALA20870
OG0000007	DANRE40142	BRALA01304
OG0000007	DANRE07035, DANRE20085, DANRE04871, DANRE04210	BRALA31416
OG0000007	DANRE23214, DANRE28394, DANRE07751, DANRE07750	BRALA11149
OG0000007	DANRE12664	BRALA03260
OG0000007	DANRE03447	BRALA20579
OG0000007	DANRE26278, DANRE26279, DANRE17980, DANRE17979	BRALA03286
OG0000007	DANRE26277, DANRE17981, DANRE12992, DANRE12991	BRALA03282
OG0000007	DANRE21702	BRALA25787
OG0000007	DANRE08320, DANRE33659	BRALA26097
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	BRALA22487
OG0000007	DANRE30028, DANRE03038, DANRE28801	BRALA06491
OG0000007	DANRE30495, DANRE03657, DANRE03658	BRALA18647
OG0000007	DANRE02453, DANRE09326, DANRE09325	BRALA05625
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	BRALA30788
OG0000008	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383	BRALA05591
OG0000008	DANRE34310, DANRE39865	BRALA27340
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	BRALA20539
OG0000008	DANRE36653	BRALA28057
OG0000008	DANRE41005, DANRE41006	BRALA20418
OG0000008	DANRE18586	BRALA19645
OG0000010	DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	DANRE28016, DANRE28015, DANRE28014, DANRE30968	BRALA24210, BRALA03886
OG0000010	DANRE39463, DANRE39462	BRALA03920, BRALA03888, BRALA03922
OG0000010	DANRE34456, DANRE07824	BRALA01026, BRALA09806
OG0000010	DANRE01777, DANRE23482, DANRE09723, DANRE09722, DANRE13204, DANRE13205, DANRE09716, DANRE09718, DANRE09717, DANRE09779, DANRE09778, DANRE01775, DANRE01774, DANRE01776, DANRE23481	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	BRALA26291
OG0000011	DANRE34035, DANRE34036	BRALA13222
OG0000012	DANRE38177, DANRE38176	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	DANRE12655, DANRE12656, DANRE12659	BRALA22947
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456
OG0000014	DANRE11299, DANRE03520	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196
OG0000014	DANRE40391	BRALA14079
OG0000014	DANRE17251, DANRE43403	BRALA28626, BRALA28625, BRALA28624
OG0000014	DANRE03675, DANRE03674, DANRE43177, DANRE29871	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858
OG0000015	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443	BRALA22448
