Orthogroup	CAPO3	SACKO_ok
OG0000003	CAPO301945	SACKO_19492, SACKO_29380, SACKO_16447, SACKO_30791, SACKO_25210, SACKO_25215, SACKO_27116, SACKO_02072, SACKO_32071, SACKO_00809, SACKO_14086, SACKO_03045, SACKO_05907
OG0000005	CAPO308356, CAPO307946	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142, SACKO_22081, SACKO_22108, SACKO_22102, SACKO_20137, SACKO_14812, SACKO_00533, SACKO_15074, SACKO_15042, SACKO_08146, SACKO_29311, SACKO_26465, SACKO_26431, SACKO_20756, SACKO_20781, SACKO_20763, SACKO_14831, SACKO_20761, SACKO_20789, SACKO_20768, SACKO_20796, SACKO_20800, SACKO_20780, SACKO_20802, SACKO_24303, SACKO_03083, SACKO_03054, SACKO_03070, SACKO_03064, SACKO_25185, SACKO_08962, SACKO_08957, SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900, SACKO_21908
OG0000006	CAPO302620	SACKO_32388
OG0000007	CAPO304209	SACKO_00920, SACKO_27771, SACKO_27817
OG0000007	CAPO303284	SACKO_00927
OG0000007	CAPO300935	SACKO_31102, SACKO_31073
OG0000007	CAPO305123	SACKO_11981
OG0000012	CAPO302923, CAPO302931	SACKO_29085, SACKO_29089, SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565, SACKO_06077, SACKO_27004, SACKO_22874, SACKO_22859, SACKO_22880, SACKO_22844, SACKO_22910, SACKO_22879, SACKO_11626, SACKO_32189, SACKO_16345, SACKO_22854, SACKO_22913, SACKO_01736, SACKO_05175
OG0000015	CAPO302521	SACKO_31692, SACKO_07983, SACKO_01122, SACKO_01126, SACKO_09494, SACKO_31697, SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299, SACKO_09394, SACKO_11453, SACKO_31684
OG0000016	CAPO300049	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	CAPO304360	SACKO_06844
OG0000016	CAPO306803	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946, SACKO_23373, SACKO_07103, SACKO_18319
OG0000016	CAPO303259	SACKO_11717, SACKO_14898
OG0000016	CAPO300936	SACKO_26527, SACKO_06390, SACKO_25497, SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000023	CAPO307690	SACKO_10529, SACKO_06926, SACKO_14770, SACKO_29082, SACKO_29077, SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924
OG0000029	CAPO307131	SACKO_10012, SACKO_10033, SACKO_27642, SACKO_27630, SACKO_27646, SACKO_08652, SACKO_02246, SACKO_27633, SACKO_08653, SACKO_30490, SACKO_30494, SACKO_05717, SACKO_21895, SACKO_27648, SACKO_19028, SACKO_29723, SACKO_12540, SACKO_04574, SACKO_07374, SACKO_13625, SACKO_19863, SACKO_13619, SACKO_14992, SACKO_14998, SACKO_15002, SACKO_15001, SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076, SACKO_16793, SACKO_26681, SACKO_26700, SACKO_26680, SACKO_26670, SACKO_26667, SACKO_25014, SACKO_14195
OG0000030	CAPO300110	SACKO_19659, SACKO_06190, SACKO_06196
OG0000030	CAPO305356, CAPO301638, CAPO307563	SACKO_19506, SACKO_22667, SACKO_24779, SACKO_06416, SACKO_06421, SACKO_06188, SACKO_06167, SACKO_15139, SACKO_15143, SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170, SACKO_24772, SACKO_23559, SACKO_16655, SACKO_09928, SACKO_09940, SACKO_34092, SACKO_34095, SACKO_13282, SACKO_13304, SACKO_14983, SACKO_14981, SACKO_31385, SACKO_04683, SACKO_04687, SACKO_04475, SACKO_19102, SACKO_33974, SACKO_26701, SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	CAPO303729	SACKO_21501
OG0000035	CAPO307346, CAPO308354	SACKO_31939, SACKO_02558, SACKO_31936, SACKO_19408, SACKO_12639, SACKO_13246, SACKO_16912, SACKO_19307, SACKO_22660, SACKO_07333, SACKO_04598, SACKO_31940, SACKO_31943, SACKO_08422, SACKO_31959, SACKO_06432
OG0000039	CAPO306958, CAPO306959	SACKO_24480
OG0000041	CAPO308025, CAPO306861	SACKO_08282, SACKO_06500, SACKO_06515
