Orthogroup	SCHMD	STRPU_ok
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	STRPU_10146, STRPU_10084
OG0000000	SCHMD09645	STRPU_22262
OG0000000	SCHMD20523, SCHMD24588	STRPU_10083, STRPU_10145
OG0000000	SCHMD03805	STRPU_10015
OG0000000	SCHMD20256, SCHMD22099	STRPU_10016
OG0000000	SCHMD09133, SCHMD27825	STRPU_19865, STRPU_19892
OG0000000	SCHMD03766	STRPU_19906
OG0000000	SCHMD27182, SCHMD16896	STRPU_03800
OG0000000	SCHMD28523	STRPU_23673, STRPU_23648
OG0000000	SCHMD18969	STRPU_23206
OG0000000	SCHMD08046	STRPU_23203
OG0000000	SCHMD22390, SCHMD21735	STRPU_23197, STRPU_23198
OG0000000	SCHMD21303	STRPU_23756
OG0000000	SCHMD01868, SCHMD02255	STRPU_09852
OG0000000	SCHMD24693	STRPU_23207
OG0000000	SCHMD05281, SCHMD04291	STRPU_10189
OG0000000	SCHMD13268	STRPU_09890, STRPU_21017, STRPU_21014
OG0000001	SCHMD16091	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000002	SCHMD15297	STRPU_25048, STRPU_20582, STRPU_20566
OG0000002	SCHMD02695	STRPU_18021, STRPU_18027
OG0000003	SCHMD14034	STRPU_06865
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	STRPU_02120, STRPU_20651
OG0000003	SCHMD08141, SCHMD02635, SCHMD12732	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412
OG0000003	SCHMD00325	STRPU_08511, STRPU_12408, STRPU_17010, STRPU_05808, STRPU_19339, STRPU_15479, STRPU_02103, STRPU_20154
OG0000005	SCHMD06848	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	STRPU_17631, STRPU_02287
OG0000005	SCHMD06849	STRPU_17625, STRPU_17635, STRPU_02284
OG0000005	SCHMD15919	STRPU_26723, STRPU_06288, STRPU_06333
OG0000006	SCHMD00178	STRPU_05111, STRPU_05037
OG0000006	SCHMD18704	STRPU_06684
OG0000006	SCHMD09638	STRPU_06500, STRPU_12594, STRPU_12593, STRPU_20521, STRPU_09165, STRPU_02127, STRPU_09164, STRPU_27184, STRPU_27203, STRPU_27125
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	STRPU_27126
OG0000006	SCHMD13710	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	SCHMD18814	STRPU_14340
OG0000007	SCHMD12323	STRPU_25459
OG0000007	SCHMD08294	STRPU_21427
OG0000007	SCHMD22164, SCHMD13502	STRPU_26977
OG0000007	SCHMD14635, SCHMD17075	STRPU_18763
OG0000007	SCHMD03666	STRPU_09815
OG0000007	SCHMD12296, SCHMD02893	STRPU_25304, STRPU_25458
OG0000007	SCHMD08423	STRPU_08156, STRPU_08157
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	STRPU_16477, STRPU_21790
OG0000007	SCHMD19134	STRPU_08442
