Orthogroup	PFLAV	APOSJ_ok
OG0000000	TCONS_00026365.p1	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	TCONS_00027826.p1	APOSJ_43984, APOSJ_47154
OG0000000	TCONS_00026711.p1	APOSJ_18686
OG0000000	TCONS_00026377.p1	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	APOSJ_32352
OG0000000	TCONS_00018852.p1	APOSJ_18136
OG0000000	TCONS_00026487.p1	APOSJ_34245
OG0000000	TCONS_00010493.p1	APOSJ_60507
OG0000000	TCONS_00032259.p1	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	TCONS_00043771.p1	APOSJ_36728
OG0000000	TCONS_00032269.p1	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	TCONS_00032267.p1	APOSJ_20159
OG0000000	TCONS_00032264.p1	APOSJ_40396
OG0000000	TCONS_00019139.p1	APOSJ_37520
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	APOSJ_38857, APOSJ_38860
OG0000000	TCONS_00027510.p1	APOSJ_32562, APOSJ_32561
OG0000000	TCONS_00032270.p1	APOSJ_47531, APOSJ_29010
OG0000000	TCONS_00032272.p1	APOSJ_05847, APOSJ_05848
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	APOSJ_38441
OG0000000	TCONS_00042478.p1	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	TCONS_00026601.p1	APOSJ_56734
OG0000000	TCONS_00026600.p1	APOSJ_31415
OG0000000	TCONS_00009627.p1	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	TCONS_00009628.p1	APOSJ_02527
OG0000001	TCONS_00027439.p1	APOSJ_40516, APOSJ_28860
OG0000001	TCONS_00034555.p1	APOSJ_36722
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498
OG0000002	TCONS_00010137.p1	APOSJ_36413
OG0000002	TCONS_00028990.p1, TCONS_00028992.p1	APOSJ_50646, APOSJ_61186, APOSJ_47171
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	APOSJ_16645, APOSJ_07327
OG0000002	TCONS_00048938.p1	APOSJ_21931
OG0000003	TCONS_00052987.p1	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630
OG0000003	TCONS_00012459.p1	APOSJ_06613
OG0000003	TCONS_00053405.p1	APOSJ_58026
OG0000003	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1	APOSJ_33662
OG0000003	TCONS_00031472.p1	APOSJ_07491
OG0000003	TCONS_00054024.p1	APOSJ_12361
OG0000003	TCONS_00018253.p1	APOSJ_47753, APOSJ_37328, APOSJ_40157
OG0000003	TCONS_00045158.p1	APOSJ_13667
OG0000003	TCONS_00006180.p1	APOSJ_22526, APOSJ_22667
OG0000003	TCONS_00057090.p1	APOSJ_19118
OG0000003	TCONS_00005704.p1	APOSJ_22529, APOSJ_10268
OG0000004	TCONS_00030290.p1	APOSJ_28748, APOSJ_28747
OG0000004	TCONS_00015076.p1	APOSJ_02812
OG0000004	TCONS_00028773.p1	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	APOSJ_42139
OG0000005	TCONS_00020907.p1	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
OG0000005	TCONS_00033021.p1	APOSJ_31537
OG0000005	TCONS_00000617.p1	APOSJ_14167, APOSJ_17139
OG0000005	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1	APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695
OG0000005	TCONS_00028033.p1	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100
OG0000005	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	APOSJ_14510
OG0000006	TCONS_00042787.p1	APOSJ_43757
OG0000006	TCONS_00016646.p1	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	TCONS_00023551.p1	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	TCONS_00012810.p1	APOSJ_52128
OG0000006	TCONS_00013984.p1, TCONS_00012809.p1	APOSJ_22887
OG0000006	TCONS_00027932.p1	APOSJ_25002
OG0000006	TCONS_00045950.p1	APOSJ_24425, APOSJ_24424
OG0000006	TCONS_00030792.p1	APOSJ_38154
OG0000006	TCONS_00011491.p1	APOSJ_46492
OG0000007	TCONS_00008966.p1	APOSJ_59584
OG0000007	TCONS_00029574.p1	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	TCONS_00009611.p1	APOSJ_59909
OG0000007	TCONS_00052518.p1	APOSJ_46494
OG0000007	TCONS_00026068.p1	APOSJ_04151
OG0000007	TCONS_00008967.p1	APOSJ_33751
OG0000007	TCONS_00055417.p1	APOSJ_45510, APOSJ_50337
OG0000007	TCONS_00011336.p1	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	TCONS_00014249.p1	APOSJ_06582, APOSJ_20594
OG0000007	TCONS_00012754.p1	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	TCONS_00025375.p1	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121
