Orthogroup	APOSC_ok	ORYLA
OG0000000	APOSC_11837, APOSC_12606	ORYLA04928
OG0000000	APOSC_11472, APOSC_29094	ORYLA05297
OG0000000	APOSC_19214	ORYLA10797
OG0000000	APOSC_25410	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	APOSC_11604	ORYLA18170
OG0000000	APOSC_19137	ORYLA02858, ORYLA12900
OG0000000	APOSC_11544	ORYLA03677
OG0000000	APOSC_07565	ORYLA11446
OG0000000	APOSC_22022	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	APOSC_04964	ORYLA04170, ORYLA18990
OG0000000	APOSC_16565	ORYLA09108
OG0000000	APOSC_27318	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	APOSC_14732	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	APOSC_24894	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	APOSC_24788	ORYLA08225, ORYLA06162
OG0000000	APOSC_28968	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	APOSC_18629	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	APOSC_10621	ORYLA01029, ORYLA04459
OG0000000	APOSC_22429	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	APOSC_04636	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	APOSC_18693	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	APOSC_00117	ORYLA11797, ORYLA10603
OG0000000	APOSC_08607	ORYLA10060
OG0000002	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614	ORYLA00438
OG0000002	APOSC_19154	ORYLA13467, ORYLA16691
OG0000003	APOSC_01527	ORYLA05141
OG0000004	APOSC_28247	ORYLA11723, ORYLA15657
OG0000005	APOSC_21707	ORYLA04733
OG0000006	APOSC_10640	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	APOSC_17637	ORYLA20407, ORYLA03595
OG0000006	APOSC_08216	ORYLA03421, ORYLA09483
OG0000006	APOSC_08805	ORYLA13382
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	APOSC_25251, APOSC_25252	ORYLA10511, ORYLA11827
OG0000006	APOSC_19228	ORYLA16517
OG0000006	APOSC_11581	ORYLA17394
OG0000006	APOSC_02745	ORYLA05082
OG0000006	APOSC_10711	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	APOSC_06790, APOSC_06791	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000007	APOSC_04982	ORYLA13334
OG0000007	APOSC_19545	ORYLA14937, ORYLA17526
OG0000007	APOSC_11262	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	APOSC_29119	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	APOSC_07509	ORYLA10719
OG0000007	APOSC_11745	ORYLA15197
OG0000007	APOSC_20868	ORYLA09030
OG0000007	APOSC_25152	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	APOSC_15698	ORYLA13010
OG0000007	APOSC_04562	ORYLA03471, ORYLA17615
OG0000007	APOSC_09541, APOSC_09542	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	APOSC_22651	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	APOSC_10715	ORYLA16317
OG0000007	APOSC_17950	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	APOSC_07482	ORYLA10158, ORYLA04736
OG0000008	APOSC_05395	ORYLA02437, ORYLA18129
OG0000008	APOSC_25161	ORYLA01591, ORYLA05589, ORYLA06938
OG0000010	APOSC_17642	ORYLA12063
