Orthogroup	CAEEL	XENTR
OG0000000	CAEEL18735	XENTR10493, XENTR08878
OG0000000	CAEEL01893	XENTR18621
OG0000000	CAEEL08140	XENTR07929
OG0000000	CAEEL18754	XENTR13401, XENTR10509, XENTR10508, XENTR13402
OG0000000	CAEEL06523	XENTR02223, XENTR10492, XENTR10560
OG0000000	CAEEL18467, CAEEL18466	XENTR07734, XENTR13891
OG0000000	CAEEL04771	XENTR16086
OG0000000	CAEEL18086	XENTR12445
OG0000000	CAEEL08092	XENTR07167, XENTR10848, XENTR03338
OG0000000	CAEEL08135, CAEEL08091	XENTR04390, XENTR05494, XENTR10849, XENTR03337, XENTR04389, XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541
OG0000000	CAEEL00979	XENTR06295, XENTR04184
OG0000000	CAEEL19601	XENTR12464, XENTR08726
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330
OG0000000	CAEEL07441	XENTR04388, XENTR00687, XENTR13779
OG0000000	CAEEL08875	XENTR03327, XENTR07175
OG0000000	CAEEL16213	XENTR01972, XENTR09547, XENTR08722, XENTR12981, XENTR06679
OG0000001	CAEEL17898, CAEEL19147	XENTR06490
OG0000002	CAEEL18977	XENTR17667
OG0000003	CAEEL19939	XENTR03273
OG0000005	CAEEL01924	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106
OG0000006	CAEEL18976	XENTR06019
OG0000006	CAEEL00696	XENTR03474, XENTR03473, XENTR14730
OG0000006	CAEEL07700	XENTR09947, XENTR11692
OG0000006	CAEEL05532	XENTR11329
OG0000006	CAEEL01533	XENTR15729, XENTR08627
OG0000006	CAEEL12101	XENTR04854, XENTR07280, XENTR07527
OG0000006	CAEEL00153	XENTR07719
OG0000006	CAEEL17819	XENTR12339, XENTR03854, XENTR12781
OG0000007	CAEEL04050	XENTR10435
OG0000007	CAEEL17965	XENTR12787, XENTR08906, XENTR06676
OG0000007	CAEEL05829	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	CAEEL01108	XENTR04990, XENTR05942
OG0000007	CAEEL10238, CAEEL04602	XENTR09461, XENTR01137, XENTR03031, XENTR06562
OG0000008	CAEEL19465, CAEEL14382	XENTR06130
OG0000010	CAEEL10534	XENTR08588
OG0000010	CAEEL04259	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359
OG0000012	CAEEL20690	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000013	CAEEL19127	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380, XENTR04875, XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000015	CAEEL09145	XENTR17900, XENTR14250, XENTR15058, XENTR02840
OG0000015	CAEEL15587	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	XENTR13566, XENTR03288, XENTR15069
OG0000016	CAEEL20493	XENTR10586, XENTR06233
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630
OG0000016	CAEEL18647	XENTR12717
OG0000019	CAEEL15403	XENTR14707
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005
OG0000020	CAEEL00627	XENTR04697
OG0000020	CAEEL05927	XENTR08063, XENTR05660
OG0000020	CAEEL13362	XENTR15846
OG0000020	CAEEL09273	XENTR15636
OG0000021	CAEEL15603	XENTR17791, XENTR16377
OG0000021	CAEEL00422	XENTR18096, XENTR01150
OG0000021	CAEEL00784, CAEEL15377	XENTR13705, XENTR13394, XENTR13393
OG0000023	CAEEL13426	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976
