Orthogroup	OWEFU	DANRE
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	DANRE06436, DANRE05762
OG0000000	OFUSG13305.1.p1	DANRE24636, DANRE35926
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	DANRE04899, DANRE05022, DANRE06714
OG0000000	OFUSG18918.1.p1	DANRE37544, DANRE11226
OG0000000	OFUSG05755.1.p1	DANRE11232, DANRE16357, DANRE04386
OG0000000	OFUSG06970.1.p1	DANRE05964, DANRE19591, DANRE19592
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	DANRE34117, DANRE19532, DANRE36202
OG0000000	OFUSG08786.1.p1	DANRE02487, DANRE13405
OG0000000	OFUSG09074.1.p1	DANRE00977
OG0000000	OFUSG19303.1.p1	DANRE04328, DANRE04330, DANRE04329
OG0000000	OFUSG12013.1.p1	DANRE18867, DANRE18868
OG0000000	OFUSG13332.1.p1	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	DANRE35277, DANRE35276, DANRE17824
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	DANRE29250, DANRE09540
OG0000000	OFUSG03302.1.p1	DANRE24278
OG0000000	OFUSG13338.1.p1	DANRE29241, DANRE29242
OG0000000	OFUSG13335.1.p1	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335
OG0000000	OFUSG13336.1.p1	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	OFUSG17003.1.p1	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	OFUSG21200.1.p1	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	OFUSG05672.1.p1	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	OFUSG03177.1.p1	DANRE06945, DANRE06944, DANRE20512
OG0000000	OFUSG13341.1.p1	DANRE24055
OG0000000	OFUSG12947.1.p1	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	OFUSG05775.1.p1	DANRE05977, DANRE05743
OG0000000	OFUSG06109.1.p1	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	DANRE11796, DANRE11795, DANRE18798
