Orthogroup	HELIO_ok	OWEFU
OG0000000	HELIO_01999	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	HELIO_08880	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	HELIO_10837	OFUSG06560.1.p1
OG0000000	HELIO_06752	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	HELIO_10666	OFUSG06970.1.p1
OG0000000	HELIO_00795	OFUSG05968.1.p1
OG0000000	HELIO_03148	OFUSG09074.1.p1
OG0000000	HELIO_09005	OFUSG17443.1.p1
OG0000000	HELIO_02157	OFUSG19303.1.p1
OG0000000	HELIO_11687	OFUSG12013.1.p1
OG0000000	HELIO_04988	OFUSG03302.1.p1
OG0000000	HELIO_00534	OFUSG17003.1.p1
OG0000000	HELIO_08573	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	HELIO_06829	OFUSG12947.1.p1
OG0000000	HELIO_00816	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	HELIO_04090	OFUSG21806.1.p1
OG0000001	HELIO_11550	OFUSG10216.1.p1, OFUSG15117.1.p1
OG0000002	HELIO_06940	OFUSG00560.1.p1
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	OFUSG12055.1.p1
OG0000003	HELIO_07277	OFUSG18790.1.p1
OG0000003	HELIO_06998, HELIO_07220	OFUSG16264.1.p1
OG0000003	HELIO_07172	OFUSG16265.1.p1, OFUSG21683.1.p1
OG0000003	HELIO_07118, HELIO_08034	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	HELIO_07314	OFUSG26297.1.p1
OG0000003	HELIO_09381	OFUSG01752.1.p1
OG0000003	HELIO_06283	OFUSG04319.1.p1
OG0000003	HELIO_08521	OFUSG18436.1.p1, OFUSG18438.1.p1
OG0000003	HELIO_05042	OFUSG26303.1.p1, OFUSG26296.1.p1
OG0000003	HELIO_04687	OFUSG05924.1.p1
OG0000003	HELIO_09894	OFUSG23734.1.p1
OG0000003	HELIO_07587	OFUSG18791.1.p1, OFUSG23315.1.p1
OG0000003	HELIO_06683, HELIO_04847	OFUSG02265.1.p1
OG0000003	HELIO_01179	OFUSG04605.1.p1, OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1
OG0000004	HELIO_06422	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000005	HELIO_00211	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000005	HELIO_09686	OFUSG26276.1.p1
OG0000005	HELIO_04655	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	HELIO_09248	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	HELIO_04245	OFUSG14428.1.p1
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	OFUSG07929.1.p1
OG0000006	HELIO_06349	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	HELIO_00150	OFUSG10782.1.p1
OG0000006	HELIO_12770	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	HELIO_10345	OFUSG08660.1.p1
OG0000006	HELIO_08890	OFUSG08659.1.p1
OG0000006	HELIO_11381, HELIO_00450	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	HELIO_08227	OFUSG11740.1.p1
OG0000006	HELIO_06418	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	HELIO_00028	OFUSG05485.1.p1
OG0000007	HELIO_10106	OFUSG09476.1.p1
OG0000007	HELIO_00643	OFUSG21527.1.p1
OG0000007	HELIO_06396	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	HELIO_00352	OFUSG13716.1.p1
OG0000007	HELIO_11129	OFUSG05364.1.p1
OG0000007	HELIO_04873	OFUSG04768.1.p1
OG0000007	HELIO_06738	OFUSG08948.1.p1
OG0000007	HELIO_03703	OFUSG25429.1.p1
OG0000007	HELIO_07978	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	HELIO_07991	OFUSG10613.1.p1
OG0000007	HELIO_04275	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	HELIO_11721	OFUSG25241.1.p1
OG0000008	HELIO_10953, HELIO_01917	OFUSG10082.1.p1
OG0000008	HELIO_09201	OFUSG20435.1.p1
OG0000010	HELIO_07073	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000012	HELIO_04072, HELIO_05750	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	HELIO_06831	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000014	HELIO_03075, HELIO_06653, HELIO_08197, HELIO_07557, HELIO_08798	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	HELIO_12068	OFUSG00805.1.p1
OG0000015	HELIO_09049	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	HELIO_10798	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000016	HELIO_04641	OFUSG06389.1.p1
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	OFUSG16773.1.p1
OG0000016	HELIO_05456	OFUSG10402.1.p1
OG0000016	HELIO_03738	OFUSG13895.1.p1
OG0000016	HELIO_04647	OFUSG11848.1.p1
OG0000016	HELIO_07791, HELIO_11041, HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	HELIO_05389	OFUSG14111.1.p3
OG0000019	HELIO_04729, HELIO_05273	OFUSG08823.1.p1
OG0000019	HELIO_07628, HELIO_05932, HELIO_06034, HELIO_06893	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	HELIO_11234	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000020	HELIO_03039, HELIO_08325, HELIO_10764, HELIO_10811	OFUSG13406.1.p1
OG0000021	HELIO_02163	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	HELIO_01018	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
OG0000021	HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	HELIO_07781	OFUSG06069.1.p1
OG0000023	HELIO_08618, HELIO_08359, HELIO_11316	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	HELIO_07887, HELIO_10788, HELIO_06647, HELIO_00907	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	HELIO_00695, HELIO_00694	OFUSG25446.1.p1
OG0000026	HELIO_09541	OFUSG24229.1.p1
OG0000028	HELIO_06874, HELIO_00161	OFUSG08406.1.p1, OFUSG07639.1.p1
OG0000028	HELIO_10800	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	HELIO_06962	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
