Orthogroup	YEAST	STRPU_ok
OG0000000	YEAST00701	STRPU_10146, STRPU_10084, STRPU_22262, STRPU_10304, STRPU_10010, STRPU_10083, STRPU_10145, STRPU_10015, STRPU_10016, STRPU_19865, STRPU_19892, STRPU_02929, STRPU_19906, STRPU_03800, STRPU_23673, STRPU_23648, STRPU_09982, STRPU_09961, STRPU_20780, STRPU_23557, STRPU_23206, STRPU_05654, STRPU_23204, STRPU_23203, STRPU_05390, STRPU_23197, STRPU_23198, STRPU_23196, STRPU_23194, STRPU_23195, STRPU_23756, STRPU_22253
OG0000007	YEAST00671	STRPU_08156, STRPU_08157
OG0000007	YEAST01568, YEAST05134	STRPU_08442
OG0000011	YEAST02600, YEAST01619	STRPU_24983, STRPU_26402, STRPU_26685, STRPU_10728, STRPU_14781, STRPU_12222, STRPU_15041, STRPU_20881, STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577, STRPU_20280, STRPU_12367, STRPU_03079, STRPU_16724, STRPU_10303, STRPU_09042, STRPU_04871, STRPU_19442, STRPU_02972, STRPU_07599
OG0000013	YEAST04082	STRPU_03494, STRPU_03492, STRPU_03491, STRPU_03490, STRPU_24550, STRPU_24549, STRPU_03493, STRPU_13013, STRPU_13016, STRPU_13015, STRPU_26140, STRPU_26139, STRPU_26141, STRPU_26142, STRPU_26063, STRPU_26143, STRPU_26144, STRPU_26145, STRPU_26138, STRPU_12240, STRPU_17902, STRPU_12241, STRPU_05609, STRPU_18744, STRPU_18801, STRPU_18564, STRPU_18562, STRPU_19588, STRPU_25542, STRPU_26621, STRPU_26619, STRPU_13855, STRPU_22248, STRPU_22985, STRPU_05310, STRPU_03335, STRPU_03341, STRPU_05350, STRPU_17608, STRPU_10835, STRPU_10854, STRPU_27045, STRPU_27048, STRPU_27049, STRPU_14795, STRPU_15013, STRPU_15028, STRPU_15009, STRPU_15023, STRPU_15021, STRPU_21089, STRPU_27050, STRPU_21244, STRPU_17615, STRPU_17609, STRPU_17614, STRPU_23920, STRPU_13091, STRPU_13105
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	STRPU_08197, STRPU_03932, STRPU_16744, STRPU_01717, STRPU_04369, STRPU_21238, STRPU_20412, STRPU_20806, STRPU_06096, STRPU_12767, STRPU_02355, STRPU_17754, STRPU_17755, STRPU_18535, STRPU_18486, STRPU_19509
OG0000016	YEAST03839, YEAST02807, YEAST03817	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221, STRPU_19809, STRPU_00759, STRPU_00757, STRPU_19810, STRPU_06909, STRPU_06872
OG0000016	YEAST03870, YEAST01103	STRPU_09277
OG0000031	YEAST02238	STRPU_24640, STRPU_24955, STRPU_24636, STRPU_27330, STRPU_08004, STRPU_23584, STRPU_05537, STRPU_05597, STRPU_18994, STRPU_05368, STRPU_24676
OG0000034	YEAST04436, YEAST05550, YEAST05115	STRPU_15245, STRPU_15189, STRPU_11798, STRPU_11930, STRPU_11885, STRPU_27315, STRPU_11793, STRPU_04070, STRPU_19458, STRPU_12141, STRPU_12106, STRPU_12101, STRPU_12104, STRPU_11792
OG0000036	YEAST02545, YEAST02806	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659, STRPU_09907, STRPU_23684, STRPU_25644, STRPU_25648, STRPU_25645, STRPU_08302, STRPU_08304, STRPU_08301, STRPU_26233, STRPU_26087, STRPU_25627, STRPU_25622, STRPU_25626, STRPU_25620, STRPU_01762, STRPU_18074, STRPU_18073, STRPU_01763, STRPU_18071, STRPU_01764, STRPU_25619, STRPU_26269, STRPU_26295, STRPU_26296, STRPU_26270, STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724, STRPU_26320
OG0000037	YEAST03227	STRPU_21189, STRPU_21188, STRPU_20688, STRPU_21621, STRPU_21620, STRPU_20762, STRPU_24785, STRPU_10295, STRPU_10296, STRPU_10297, STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123
OG0000038	YEAST04422, YEAST04379	STRPU_17412, STRPU_17401, STRPU_17751, STRPU_18076, STRPU_01766, STRPU_17416, STRPU_23732, STRPU_23731, STRPU_04485, STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770, STRPU_18086, STRPU_17413, STRPU_17414, STRPU_17415, STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771, STRPU_17101, STRPU_17116, STRPU_18075, STRPU_01765, STRPU_17312
OG0000043	YEAST00224, YEAST01200	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585, STRPU_10844, STRPU_10864
OG0000048	YEAST05707	STRPU_05493, STRPU_20212, STRPU_15458, STRPU_09674, STRPU_06729, STRPU_06730, STRPU_06385, STRPU_20602, STRPU_20482, STRPU_17966, STRPU_17965, STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790, STRPU_26191
OG0000054	YEAST01385	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118, STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653, STRPU_24986
OG0000055	YEAST01199, YEAST00225	STRPU_20957, STRPU_01318, STRPU_11632, STRPU_00007, STRPU_00011, STRPU_00003, STRPU_00009, STRPU_22907, STRPU_22892, STRPU_07759, STRPU_04185, STRPU_03690, STRPU_21374, STRPU_07333, STRPU_23750, STRPU_01392, STRPU_08766, STRPU_11839, STRPU_12194, STRPU_09005, STRPU_02948, STRPU_05937, STRPU_06001, STRPU_06035, STRPU_05928, STRPU_05933
OG0000058	YEAST02989	STRPU_00582, STRPU_07549, STRPU_10155, STRPU_10092
OG0000058	YEAST02120	STRPU_08934, STRPU_09783, STRPU_22659, STRPU_20114, STRPU_20092, STRPU_20113, STRPU_20091, STRPU_20112, STRPU_20090, STRPU_01463, STRPU_08710, STRPU_08708, STRPU_01464, STRPU_08638, STRPU_07320, STRPU_07322, STRPU_07323, STRPU_07321
OG0000069	YEAST03661	STRPU_24462
OG0000069	YEAST05172	STRPU_08964, STRPU_21393
OG0000079	YEAST05330	STRPU_23093, STRPU_23381, STRPU_23773, STRPU_04091, STRPU_02493, STRPU_15115, STRPU_15116, STRPU_02495, STRPU_26495, STRPU_19060
OG0000082	YEAST03287	STRPU_19842
OG0000082	YEAST04267, YEAST01834, YEAST03359	STRPU_09694, STRPU_09737
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	STRPU_22564, STRPU_22563, STRPU_20087, STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825
OG0000082	YEAST04992, YEAST00735	STRPU_18951
OG0000095	YEAST02993	STRPU_20727, STRPU_00724, STRPU_20728, STRPU_00725, STRPU_00723, STRPU_16377, STRPU_14969, STRPU_20725, STRPU_00722, STRPU_15591, STRPU_02215, STRPU_15590, STRPU_02216, STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814, STRPU_15048, STRPU_02486, STRPU_24542
OG0000096	YEAST02643	STRPU_06019, STRPU_23963, STRPU_23937
OG0000096	YEAST00638	STRPU_22229
OG0000096	YEAST05104, YEAST05564	STRPU_27319, STRPU_15853, STRPU_15805, STRPU_11677, STRPU_13124, STRPU_02569
OG0000103	YEAST02873	STRPU_08665, STRPU_08161
OG0000107	YEAST05173	STRPU_24418, STRPU_10381, STRPU_06034, STRPU_24248, STRPU_05021, STRPU_06004, STRPU_05934, STRPU_24099, STRPU_25385, STRPU_10863, STRPU_13897, STRPU_01057, STRPU_02949, STRPU_05929, STRPU_03377, STRPU_05996, STRPU_04108, STRPU_05474, STRPU_10843, STRPU_09004
OG0000113	YEAST00378, YEAST01351, YEAST05581	STRPU_10396, STRPU_18172, STRPU_25041, STRPU_04494, STRPU_04495
OG0000116	YEAST04456	STRPU_21801, STRPU_21802, STRPU_09077, STRPU_09080, STRPU_13829, STRPU_13825, STRPU_17201, STRPU_25904, STRPU_25997, STRPU_10975, STRPU_09078, STRPU_09079, STRPU_02054, STRPU_02053, STRPU_09081, STRPU_09691, STRPU_09735, STRPU_09690, STRPU_14606, STRPU_14624, STRPU_14626, STRPU_14607, STRPU_25751, STRPU_25353, STRPU_14625
OG0000122	YEAST04928	STRPU_24152, STRPU_24150, STRPU_24593, STRPU_24582, STRPU_24583, STRPU_24594
OG0000124	YEAST05021	STRPU_06709
OG0000124	YEAST04122	STRPU_10604
OG0000127	YEAST06208	STRPU_06620, STRPU_06619, STRPU_07791, STRPU_07458, STRPU_08311
OG0000128	YEAST01398, YEAST05967, YEAST05716	STRPU_05989
OG0000132	YEAST06016	STRPU_07133, STRPU_25473, STRPU_27007, STRPU_05998, STRPU_06025, STRPU_05930, STRPU_06005, STRPU_02132, STRPU_09170
OG0000137	YEAST01851, YEAST00637	STRPU_07118, STRPU_07594, STRPU_07697, STRPU_07683, STRPU_07593, STRPU_07965, STRPU_07957, STRPU_17715, STRPU_18673, STRPU_18678
OG0000142	YEAST02122	STRPU_10891, STRPU_10873, STRPU_05787, STRPU_10883, STRPU_10879, STRPU_00821, STRPU_26698, STRPU_00820, STRPU_00819, STRPU_25555, STRPU_25554, STRPU_10876, STRPU_10887, STRPU_10875, STRPU_10888, STRPU_25556, STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874, STRPU_10945, STRPU_10943
OG0000157	YEAST02851	STRPU_25761
OG0000158	YEAST05568	STRPU_20285, STRPU_20284, STRPU_07153, STRPU_20283, STRPU_01554
OG0000160	YEAST04194	STRPU_26893, STRPU_26892, STRPU_15431, STRPU_19000, STRPU_24405, STRPU_11554, STRPU_15349
OG0000175	YEAST00850, YEAST04327	STRPU_24379, STRPU_24411, STRPU_24412, STRPU_02319, STRPU_12738, STRPU_24563
OG0000179	YEAST01123, YEAST04430	STRPU_04627, STRPU_04649
OG0000179	YEAST02911, YEAST01281	STRPU_00166, STRPU_27037, STRPU_27036, STRPU_25919
OG0000179	YEAST04108, YEAST03346	STRPU_05514
OG0000181	YEAST00824, YEAST00771	STRPU_01089, STRPU_24210, STRPU_22671, STRPU_21403, STRPU_21400, STRPU_21401, STRPU_15658, STRPU_15675, STRPU_02398, STRPU_13672, STRPU_13671, STRPU_02399
OG0000186	YEAST00336	STRPU_26874, STRPU_17963, STRPU_21692, STRPU_21757, STRPU_20742, STRPU_21070, STRPU_20741, STRPU_20748, STRPU_20749, STRPU_21691, STRPU_21756, STRPU_21755, STRPU_21690, STRPU_12952
OG0000194	YEAST01410	STRPU_00024, STRPU_00025, STRPU_06136, STRPU_06137, STRPU_05974, STRPU_06736, STRPU_06599, STRPU_06600, STRPU_06597, STRPU_06598, STRPU_05970, STRPU_05971, STRPU_05972, STRPU_05973, STRPU_06442
OG0000195	YEAST03414	STRPU_06815, STRPU_06128, STRPU_10942, STRPU_10980, STRPU_10944, STRPU_11087, STRPU_11086, STRPU_10939, STRPU_10941, STRPU_10940, STRPU_10458, STRPU_13259
OG0000211	YEAST04964	STRPU_02785, STRPU_18014, STRPU_21779, STRPU_27150, STRPU_26341
OG0000221	YEAST05872	STRPU_25006, STRPU_10448, STRPU_16065
OG0000222	YEAST01460	STRPU_10704, STRPU_10705, STRPU_10948, STRPU_26038, STRPU_00387, STRPU_10706
OG0000225	YEAST06146	STRPU_22829, STRPU_01990, STRPU_01991, STRPU_22830, STRPU_22831, STRPU_22388
OG0000227	YEAST05815	STRPU_13886, STRPU_26643, STRPU_25172, STRPU_25142
OG0000228	YEAST04750	STRPU_15282, STRPU_15283, STRPU_27417, STRPU_09112, STRPU_02078, STRPU_02081, STRPU_15309, STRPU_15298, STRPU_15296, STRPU_10933, STRPU_15295, STRPU_15308, STRPU_02079, STRPU_09111, STRPU_02080, STRPU_15294, STRPU_15307, STRPU_15237, STRPU_15183, STRPU_15186, STRPU_15184, STRPU_15238
OG0000233	YEAST03726, YEAST03241, YEAST03242	STRPU_19457, STRPU_02747, STRPU_19351
OG0000238	YEAST06340, YEAST03834	STRPU_00959, STRPU_08862, STRPU_25261, STRPU_25260, STRPU_26157, STRPU_24519
OG0000240	YEAST03827	STRPU_02509, STRPU_02512, STRPU_15130, STRPU_15129, STRPU_02510, STRPU_15131, STRPU_02513, STRPU_14915, STRPU_14932, STRPU_14933, STRPU_14931, STRPU_14929, STRPU_14926, STRPU_14927, STRPU_14925, STRPU_14934, STRPU_14924, STRPU_14939, STRPU_14935, STRPU_14972, STRPU_14936, STRPU_14940, STRPU_14973, STRPU_14937, STRPU_14930
OG0000242	YEAST00734	STRPU_12016, STRPU_20158, STRPU_20161, STRPU_12217, STRPU_09149, STRPU_22571
OG0000246	YEAST01746, YEAST01747	STRPU_14570, STRPU_14461, STRPU_14460, STRPU_14442, STRPU_18045, STRPU_07221, STRPU_13463, STRPU_08832, STRPU_13464, STRPU_13465
OG0000250	YEAST04716	STRPU_27110, STRPU_05823, STRPU_04285, STRPU_12654, STRPU_00094
