Orthogroup	LYTVA_ok	APOSC_ok
OG0000000	LYTVA_01679	APOSC_11837, APOSC_12606
OG0000000	LYTVA_01380	APOSC_11472, APOSC_29094
OG0000000	LYTVA_01827	APOSC_25410
OG0000000	LYTVA_18988	APOSC_11604
OG0000000	LYTVA_18985	APOSC_28354
OG0000000	LYTVA_13103	APOSC_11544
OG0000000	LYTVA_27688	APOSC_13522
OG0000000	LYTVA_22602	APOSC_04208
OG0000000	LYTVA_19974	APOSC_07565
OG0000000	LYTVA_27704	APOSC_11499
OG0000000	LYTVA_08678	APOSC_22022
OG0000000	LYTVA_23667	APOSC_16565
OG0000000	LYTVA_22477	APOSC_27318
OG0000000	LYTVA_22478	APOSC_06302
OG0000000	LYTVA_22480	APOSC_14732
OG0000000	LYTVA_23047	APOSC_24894
OG0000000	LYTVA_14838	APOSC_24788
OG0000000	LYTVA_06897	APOSC_28968
OG0000000	LYTVA_22476	APOSC_18629
OG0000000	LYTVA_22475	APOSC_01689
OG0000000	LYTVA_29838	APOSC_25317
OG0000000	LYTVA_29834	APOSC_25315, APOSC_25316
OG0000000	LYTVA_22714	APOSC_10621
OG0000000	LYTVA_19015	APOSC_22429
OG0000000	LYTVA_26599	APOSC_04636
OG0000000	LYTVA_17046	APOSC_18693
OG0000000	LYTVA_23349	APOSC_00117
OG0000000	LYTVA_23351	APOSC_08607
OG0000001	LYTVA_16225	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	LYTVA_14761	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025
OG0000001	LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602	APOSC_02499, APOSC_01751, APOSC_07766
OG0000002	LYTVA_28398	APOSC_17563
OG0000002	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674	APOSC_09040, APOSC_26016
OG0000002	LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289	APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	LYTVA_01784	APOSC_00935
OG0000002	LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563
OG0000003	LYTVA_03030	APOSC_22070, APOSC_13273, APOSC_13272
OG0000003	LYTVA_15536	APOSC_00102
OG0000003	LYTVA_14606	APOSC_28638, APOSC_28639
OG0000003	LYTVA_23212	APOSC_01527
OG0000003	LYTVA_20987	APOSC_20479
OG0000003	LYTVA_11643	APOSC_28978, APOSC_03822
OG0000003	LYTVA_26946, LYTVA_14926, LYTVA_01168	APOSC_06472
OG0000004	LYTVA_18533	APOSC_15566, APOSC_24597
OG0000004	LYTVA_23131	APOSC_28059
OG0000004	LYTVA_04400	APOSC_18755
OG0000004	LYTVA_13223	APOSC_20065, APOSC_20066, APOSC_25426, APOSC_09865, APOSC_00045
OG0000004	LYTVA_06100, LYTVA_05937, LYTVA_25040	APOSC_28260
OG0000004	LYTVA_15014	APOSC_25240
OG0000004	LYTVA_22300, LYTVA_22328	APOSC_03036
OG0000004	LYTVA_28503, LYTVA_25768	APOSC_04330
OG0000005	LYTVA_24142	APOSC_24691
OG0000005	LYTVA_01017	APOSC_28430, APOSC_12554
OG0000005	LYTVA_20265	APOSC_09560, APOSC_20452, APOSC_23355, APOSC_10626
OG0000005	LYTVA_15344, LYTVA_25103, LYTVA_15340, LYTVA_25468, LYTVA_12344, LYTVA_13497, LYTVA_12436, LYTVA_12448, LYTVA_12437, LYTVA_01084, LYTVA_10225, LYTVA_01083, LYTVA_05447	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644
OG0000005	LYTVA_21111	APOSC_15445, APOSC_13185, APOSC_03153
OG0000005	LYTVA_05821	APOSC_23541
OG0000005	LYTVA_12392	APOSC_21707
OG0000006	LYTVA_15901	APOSC_10640
OG0000006	LYTVA_21289	APOSC_17637
OG0000006	LYTVA_12321	APOSC_08216
OG0000006	LYTVA_25253	APOSC_27173
OG0000006	LYTVA_07373	APOSC_25251, APOSC_25252
OG0000006	LYTVA_23957	APOSC_19228
OG0000006	LYTVA_29757	APOSC_11581
OG0000006	LYTVA_29412, LYTVA_25462	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	LYTVA_16844	APOSC_06790, APOSC_06791
OG0000006	LYTVA_23230	APOSC_23470
OG0000007	LYTVA_29912	APOSC_04982
OG0000007	LYTVA_22273	APOSC_19545
OG0000007	LYTVA_23216	APOSC_11262
OG0000007	LYTVA_18159	APOSC_11791
OG0000007	LYTVA_27359	APOSC_29119
OG0000007	LYTVA_10898	APOSC_11745
OG0000007	LYTVA_17245	APOSC_21514
OG0000007	LYTVA_04121	APOSC_25152
OG0000007	LYTVA_25288	APOSC_15698
OG0000007	LYTVA_03206	APOSC_04562
OG0000007	LYTVA_12379, LYTVA_12378	APOSC_09541, APOSC_09542
OG0000007	LYTVA_12480	APOSC_22651
OG0000007	LYTVA_06652	APOSC_10715
OG0000007	LYTVA_22810, LYTVA_20192	APOSC_26829
OG0000007	LYTVA_19839	APOSC_17950
OG0000007	LYTVA_05177	APOSC_07482
OG0000008	LYTVA_11403	APOSC_29142
OG0000008	LYTVA_19861, LYTVA_22487	APOSC_21668
OG0000008	LYTVA_30051	APOSC_19242
OG0000008	LYTVA_21093	APOSC_27045, APOSC_15945, APOSC_29112, APOSC_03545
OG0000008	LYTVA_19305	APOSC_03242, APOSC_29070, APOSC_27667, APOSC_17515, APOSC_10880, APOSC_20061, APOSC_27050, APOSC_00282, APOSC_13323, APOSC_01481, APOSC_20641, APOSC_25161
OG0000009	LYTVA_02205, LYTVA_03649, LYTVA_21418	APOSC_16035
OG0000009	LYTVA_10698, LYTVA_02136, LYTVA_14470	APOSC_02463
OG0000009	LYTVA_00127, LYTVA_29384	APOSC_14640
OG0000009	LYTVA_30063, LYTVA_15489	APOSC_11617, APOSC_20451, APOSC_16724, APOSC_19765
OG0000010	LYTVA_21273	APOSC_26738, APOSC_01123, APOSC_00727
OG0000011	LYTVA_26033	APOSC_21593
OG0000011	LYTVA_28284	APOSC_01416, APOSC_25932
OG0000011	LYTVA_29140	APOSC_19810
OG0000011	LYTVA_27141	APOSC_01800
OG0000011	LYTVA_25384	APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345
OG0000011	LYTVA_18878	APOSC_24720
OG0000011	LYTVA_18199	APOSC_20093
OG0000012	LYTVA_11199, LYTVA_24773	APOSC_26906
OG0000012	LYTVA_27764	APOSC_13089
OG0000012	LYTVA_27819, LYTVA_13632	APOSC_13014, APOSC_18904, APOSC_16185, APOSC_27929, APOSC_28450, APOSC_10605
OG0000012	LYTVA_09615, LYTVA_04959, LYTVA_13583, LYTVA_18163	APOSC_15314
OG0000012	LYTVA_22482	APOSC_13357
OG0000012	LYTVA_13720, LYTVA_05492	APOSC_14126, APOSC_26267, APOSC_20161, APOSC_12609, APOSC_06350
OG0000012	LYTVA_12515, LYTVA_06149	APOSC_26545
OG0000012	LYTVA_24416	APOSC_14826
OG0000013	LYTVA_14036, LYTVA_14035, LYTVA_24263, LYTVA_16177, LYTVA_17617, LYTVA_13019, LYTVA_13020, LYTVA_03982, LYTVA_05971, LYTVA_26708, LYTVA_02518, LYTVA_13739, LYTVA_21776, LYTVA_12310, LYTVA_12309	APOSC_22031, APOSC_08183, APOSC_13994, APOSC_09045, APOSC_26026
OG0000013	LYTVA_22713, LYTVA_22716	APOSC_16736
OG0000013	LYTVA_13975, LYTVA_00129, LYTVA_18668, LYTVA_18187, LYTVA_18188, LYTVA_11839, LYTVA_02943, LYTVA_27265, LYTVA_27263, LYTVA_13649	APOSC_11339
OG0000013	LYTVA_17421, LYTVA_15176, LYTVA_12759, LYTVA_00164, LYTVA_00165, LYTVA_15941, LYTVA_29938, LYTVA_08916, LYTVA_23579, LYTVA_15177, LYTVA_22519	APOSC_25496, APOSC_21152, APOSC_27245, APOSC_17089
OG0000014	LYTVA_29722	APOSC_12674
OG0000014	LYTVA_08715	APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472
OG0000014	LYTVA_09996	APOSC_19789
OG0000014	LYTVA_13955	APOSC_00187
OG0000015	LYTVA_04651	APOSC_12040
OG0000015	LYTVA_19488	APOSC_14290, APOSC_28281, APOSC_03142
OG0000015	LYTVA_26002	APOSC_04279
OG0000016	LYTVA_02179	APOSC_05404
OG0000016	LYTVA_09460, LYTVA_20745	APOSC_06852
OG0000016	LYTVA_21831, LYTVA_18288	APOSC_09216
OG0000016	LYTVA_27143	APOSC_00060, APOSC_00061, APOSC_17734
OG0000016	LYTVA_00562	APOSC_26372, APOSC_26868, APOSC_26028
OG0000016	LYTVA_13704	APOSC_05485
OG0000016	LYTVA_01978	APOSC_19884
OG0000017	LYTVA_10434	APOSC_21350
OG0000017	LYTVA_20423	APOSC_24575, APOSC_11424
OG0000017	LYTVA_02523, LYTVA_13694, LYTVA_17853, LYTVA_14292	APOSC_16019
OG0000017	LYTVA_04996	APOSC_17481
OG0000017	LYTVA_19500	APOSC_14095
OG0000017	LYTVA_26989, LYTVA_01310, LYTVA_21335, LYTVA_04412	APOSC_11982, APOSC_11683, APOSC_01963, APOSC_00742, APOSC_00743
OG0000017	LYTVA_13468	APOSC_28296
OG0000017	LYTVA_16812	APOSC_02943
OG0000017	LYTVA_26507	APOSC_16567
OG0000018	LYTVA_29857	APOSC_17923
OG0000018	LYTVA_18794	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455, APOSC_11910, APOSC_04585, APOSC_04584, APOSC_11347, APOSC_01227, APOSC_12246, APOSC_19597, APOSC_27070, APOSC_18020, APOSC_06513, APOSC_00300, APOSC_01781, APOSC_22775, APOSC_25698, APOSC_09930, APOSC_27069, APOSC_25868, APOSC_03516, APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807
OG0000018	LYTVA_11619	APOSC_21039
OG0000018	LYTVA_28161, LYTVA_00818	APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689
OG0000019	LYTVA_18523, LYTVA_29569, LYTVA_29679	APOSC_15479
OG0000019	LYTVA_04809, LYTVA_22729	APOSC_21840
OG0000019	LYTVA_12149	APOSC_11237
OG0000019	LYTVA_04453	APOSC_15494
OG0000019	LYTVA_01420	APOSC_14801, APOSC_11507
OG0000019	LYTVA_13754, LYTVA_11044, LYTVA_03700, LYTVA_17123, LYTVA_06066, LYTVA_08335, LYTVA_00256, LYTVA_17122, LYTVA_14016, LYTVA_15207, LYTVA_22229	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315
OG0000020	LYTVA_19355	APOSC_14708
OG0000020	LYTVA_09793	APOSC_13376
OG0000020	LYTVA_10182	APOSC_27693
OG0000020	LYTVA_04298	APOSC_28648
OG0000020	LYTVA_26274	APOSC_26550
OG0000020	LYTVA_26447	APOSC_09964
OG0000020	LYTVA_23009	APOSC_00691
OG0000020	LYTVA_12234	APOSC_03094
OG0000020	LYTVA_06231	APOSC_05461
OG0000020	LYTVA_13730	APOSC_07853
OG0000020	LYTVA_09530	APOSC_14067
OG0000020	LYTVA_00542	APOSC_25230
OG0000021	LYTVA_14789, LYTVA_18860	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253
OG0000021	LYTVA_04917	APOSC_11990
OG0000021	LYTVA_13480, LYTVA_00042, LYTVA_13481	APOSC_13612
OG0000021	LYTVA_13831	APOSC_06563, APOSC_06562
OG0000021	LYTVA_09991	APOSC_02202
OG0000021	LYTVA_09981	APOSC_26674
OG0000021	LYTVA_02440	APOSC_09814
OG0000021	LYTVA_28466	APOSC_03399
OG0000021	LYTVA_14564	APOSC_23486, APOSC_20200
OG0000021	LYTVA_23987, LYTVA_25778	APOSC_20201
OG0000021	LYTVA_01830	APOSC_04995, APOSC_08508, APOSC_08509
OG0000021	LYTVA_09376, LYTVA_05943	APOSC_11901, APOSC_23082
OG0000023	LYTVA_11225	APOSC_14758
OG0000023	LYTVA_00179	APOSC_18948, APOSC_18947, APOSC_29066, APOSC_12894
OG0000023	LYTVA_05858	APOSC_12992
OG0000023	LYTVA_00206	APOSC_08983, APOSC_08982
OG0000023	LYTVA_26027	APOSC_21557
OG0000023	LYTVA_20952, LYTVA_04490, LYTVA_24711, LYTVA_01233, LYTVA_21144, LYTVA_20416	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870
OG0000023	LYTVA_27483	APOSC_12268
OG0000023	LYTVA_08392, LYTVA_08393	APOSC_15754, APOSC_15753
OG0000023	LYTVA_24785	APOSC_23115
OG0000024	LYTVA_01628	APOSC_26603
OG0000025	LYTVA_14879, LYTVA_14642, LYTVA_07343	APOSC_07695, APOSC_28723, APOSC_05951, APOSC_03667, APOSC_14715, APOSC_08289, APOSC_16063, APOSC_22831, APOSC_28153, APOSC_04066, APOSC_17917, APOSC_10185
OG0000025	LYTVA_12652	APOSC_22885, APOSC_25730, APOSC_26591, APOSC_16189
OG0000025	LYTVA_14317	APOSC_19725
OG0000026	LYTVA_08598, LYTVA_05009, LYTVA_02302	APOSC_12180
OG0000026	LYTVA_08564	APOSC_25312
OG0000026	LYTVA_25523, LYTVA_12516	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010
OG0000026	LYTVA_25399, LYTVA_26794	APOSC_17220
OG0000026	LYTVA_19796	APOSC_14214
OG0000027	LYTVA_19671, LYTVA_28057, LYTVA_19674, LYTVA_23495, LYTVA_25604, LYTVA_04986, LYTVA_22090	APOSC_00367, APOSC_04798, APOSC_15438, APOSC_25751, APOSC_07487, APOSC_07887, APOSC_13318, APOSC_08776, APOSC_13270
OG0000027	LYTVA_18136	APOSC_23292
OG0000027	LYTVA_21206, LYTVA_09140, LYTVA_26069, LYTVA_02318, LYTVA_09971, LYTVA_25862	APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792
OG0000028	LYTVA_06601	APOSC_00641
OG0000028	LYTVA_11085	APOSC_14441
OG0000028	LYTVA_07479, LYTVA_22824	APOSC_06053
OG0000028	LYTVA_11743	APOSC_22599
OG0000028	LYTVA_12763	APOSC_17838, APOSC_17839
OG0000028	LYTVA_10314	APOSC_04255
OG0000028	LYTVA_29171	APOSC_27024
