Orthogroup	XENTR	SCHMD
OG0000000	XENTR10493, XENTR08878	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	XENTR18832, XENTR01079, XENTR01080	SCHMD09645
OG0000000	XENTR13401, XENTR10509, XENTR10508, XENTR13402	SCHMD20523, SCHMD24588
OG0000000	XENTR02223, XENTR10492, XENTR10560	SCHMD03805
OG0000000	XENTR07734, XENTR13891	SCHMD09133, SCHMD27825
OG0000000	XENTR16086	SCHMD27182, SCHMD16896
OG0000000	XENTR07167, XENTR10848, XENTR03338	SCHMD18969
OG0000000	XENTR10849, XENTR03337	SCHMD08046
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	SCHMD22390, SCHMD21735
OG0000000	XENTR06295, XENTR04184	SCHMD21303
OG0000000	XENTR12464, XENTR08726	SCHMD01868
OG0000000	XENTR03327, XENTR07175	SCHMD24693
OG0000000	XENTR01971, XENTR14936, XENTR09546	SCHMD05281, SCHMD04291
OG0000000	XENTR01972, XENTR09547, XENTR08722, XENTR12981, XENTR06679	SCHMD13268
OG0000001	XENTR04259	SCHMD16091
OG0000002	XENTR17667	SCHMD02695
OG0000003	XENTR17803	SCHMD00325
OG0000006	XENTR03474, XENTR03473, XENTR14730	SCHMD00178
OG0000006	XENTR03090, XENTR09060	SCHMD18704
OG0000006	XENTR03689, XENTR00399, XENTR09859, XENTR09947, XENTR11692, XENTR11329, XENTR15046	SCHMD09638
OG0000006	XENTR13548	SCHMD23237
OG0000006	XENTR04854, XENTR07280, XENTR07527	SCHMD13710
OG0000007	XENTR04989, XENTR07641	SCHMD12323
OG0000007	XENTR12787, XENTR08906, XENTR06676	SCHMD08294
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	SCHMD03666
OG0000007	XENTR11347, XENTR18406, XENTR04991, XENTR04990, XENTR05942	SCHMD12296, SCHMD02893
OG0000007	XENTR09461, XENTR01137, XENTR03031, XENTR06562	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	XENTR16583	SCHMD19134
OG0000007	XENTR07405, XENTR01816	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000015	XENTR15573, XENTR12597, XENTR03461, XENTR00415	SCHMD16724
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
