Orthogroup	STRPU_ok	DROME
OG0000000	STRPU_10146, STRPU_10084	DROME16218, DROME16219
OG0000000	STRPU_22262	DROME04813
OG0000000	STRPU_10304	DROME14805, DROME14806
OG0000000	STRPU_10010	DROME15599
OG0000000	STRPU_10083, STRPU_10145	DROME15463, DROME15462
OG0000000	STRPU_10015	DROME11250
OG0000000	STRPU_10016	DROME14878
OG0000000	STRPU_19865, STRPU_19892	DROME21328, DROME21327
OG0000000	STRPU_19906	DROME20419
OG0000000	STRPU_03800	DROME03422
OG0000000	STRPU_23673, STRPU_23648	DROME12799
OG0000000	STRPU_09982, STRPU_09961	DROME16097
OG0000000	STRPU_20780	DROME01107
OG0000000	STRPU_23557	DROME17319
OG0000000	STRPU_23206	DROME13389, DROME13388
OG0000000	STRPU_05654	DROME11314
OG0000000	STRPU_05390	DROME13415
OG0000000	STRPU_23197, STRPU_23198	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	STRPU_23194	DROME13414
OG0000000	STRPU_23756	DROME10025
OG0000000	STRPU_22253	DROME16399
OG0000000	STRPU_09852	DROME17718
OG0000000	STRPU_23199	DROME15341, DROME15342, DROME15343
OG0000000	STRPU_05830	DROME03546, DROME03545
OG0000000	STRPU_23207	DROME04989
OG0000000	STRPU_10189	DROME16202
OG0000000	STRPU_09890, STRPU_21017, STRPU_21014	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	STRPU_00074	DROME04936, DROME08706, DROME19770
OG0000002	STRPU_00361, STRPU_18021, STRPU_18027	DROME14626, DROME12189, DROME02894
OG0000006	STRPU_05111, STRPU_05037	DROME08113
OG0000006	STRPU_06684	DROME01994, DROME01995, DROME01996
OG0000006	STRPU_19989	DROME07928
OG0000006	STRPU_06500	DROME00104
OG0000006	STRPU_20521	DROME19258, DROME19257, DROME19259
OG0000006	STRPU_09165, STRPU_02127	DROME21396
OG0000006	STRPU_27184, STRPU_27203	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	STRPU_27125	DROME07420
OG0000006	STRPU_07314	DROME19786
OG0000006	STRPU_27126	DROME07417
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	DROME18045, DROME18046, DROME18044
OG0000006	STRPU_21069	DROME00147, DROME00148
OG0000006	STRPU_21071	DROME19780, DROME19779, DROME19781
OG0000006	STRPU_14340	DROME21674, DROME21675, DROME21673
OG0000007	STRPU_25459	DROME12545
OG0000007	STRPU_26581	DROME16994, DROME16993
OG0000007	STRPU_21427	DROME17568, DROME17567
OG0000007	STRPU_18763	DROME07864
OG0000007	STRPU_09815, STRPU_10770, STRPU_25460	DROME09292
OG0000007	STRPU_16477	DROME14142
OG0000007	STRPU_21790	DROME19603, DROME19602
OG0000007	STRPU_08442	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	STRPU_21559	DROME21792, DROME00712, DROME00713
OG0000008	STRPU_08296	DROME05669
OG0000008	STRPU_23377, STRPU_23376	DROME12246, DROME19967, DROME19966, DROME19965, DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000010	STRPU_04522	DROME09935
OG0000010	STRPU_01204, STRPU_19975	DROME12147
OG0000012	STRPU_06380, STRPU_06825	DROME14687, DROME14686
OG0000014	STRPU_08197, STRPU_03932, STRPU_16744, STRPU_01717, STRPU_04369, STRPU_21238, STRPU_20412, STRPU_20806, STRPU_06096	DROME05409, DROME03987
OG0000014	STRPU_17754, STRPU_17755	DROME14595, DROME14594
OG0000015	STRPU_05602, STRPU_05543	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329
OG0000015	STRPU_05547, STRPU_05606	DROME11913, DROME20981, DROME20982
OG0000016	STRPU_09277	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	STRPU_21110	DROME01609
OG0000020	STRPU_13949	DROME22108
OG0000020	STRPU_20580, STRPU_01068, STRPU_24239, STRPU_19028, STRPU_00464	DROME02490
OG0000020	STRPU_19861, STRPU_19888	DROME11466, DROME11467
OG0000020	STRPU_05007	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	STRPU_11453	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	STRPU_04309, STRPU_04336	DROME03151, DROME03150
OG0000020	STRPU_21977	DROME14454, DROME14455
