Orthogroup	DANRE	AMPFI_ok
OG0000000	DANRE06436, DANRE05762	AMPFI_12098
OG0000000	DANRE24636, DANRE35926	AMPFI_16114
OG0000000	DANRE04899, DANRE05022, DANRE06714	AMPFI_11894
OG0000000	DANRE11234, DANRE11232, DANRE16357, DANRE04386	AMPFI_12336
OG0000000	DANRE34117, DANRE19532, DANRE36202	AMPFI_08228
OG0000000	DANRE04328, DANRE04330, DANRE04329	AMPFI_02168
OG0000000	DANRE18867, DANRE18868, DANRE43385	AMPFI_10716
OG0000000	DANRE24278	AMPFI_19781
OG0000000	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636	AMPFI_12478
OG0000000	DANRE06945, DANRE06944, DANRE20512	AMPFI_20876
OG0000000	DANRE41165, DANRE05977, DANRE05743	AMPFI_21326
OG0000000	DANRE11796, DANRE11795, DANRE18798	AMPFI_01589
OG0000001	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812	AMPFI_18148, AMPFI_13477
OG0000001	DANRE29550	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000002	DANRE38244, DANRE38242, DANRE38243	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	DANRE28739	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709
OG0000002	DANRE23574	AMPFI_02191, AMPFI_00932, AMPFI_04499
OG0000003	DANRE40137	AMPFI_18383
OG0000004	DANRE02933	AMPFI_00502, AMPFI_04409, AMPFI_21966
OG0000004	DANRE10231	AMPFI_08378
OG0000004	DANRE31040	AMPFI_12413, AMPFI_00336, AMPFI_14906
OG0000004	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697	AMPFI_04189
OG0000005	DANRE17266	AMPFI_17853
OG0000005	DANRE11160	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	DANRE07563	AMPFI_22255, AMPFI_24001
OG0000006	DANRE02891	AMPFI_22470
OG0000006	DANRE18291, DANRE26970, DANRE26971, DANRE18292	AMPFI_22262
OG0000006	DANRE20396, DANRE24336	AMPFI_22463
OG0000006	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191	AMPFI_10542, AMPFI_00206
OG0000006	DANRE11213, DANRE11212, DANRE11601	AMPFI_02520
OG0000006	DANRE20981, DANRE28318, DANRE19321	AMPFI_09123
OG0000006	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580	AMPFI_18507
OG0000006	DANRE11156, DANRE11155	AMPFI_06099
OG0000006	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329	AMPFI_17130
OG0000006	DANRE04654, DANRE04655, DANRE18618	AMPFI_12555
OG0000007	DANRE38320, DANRE26009, DANRE40798, DANRE40799	AMPFI_02812
OG0000007	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908	AMPFI_07094
OG0000007	DANRE03447	AMPFI_15871
OG0000007	DANRE08320, DANRE33659	AMPFI_26059
OG0000007	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908	AMPFI_15806
OG0000007	DANRE30028, DANRE03038, DANRE28801	AMPFI_22204
OG0000007	DANRE30495, DANRE03657, DANRE03658	AMPFI_08786
OG0000007	DANRE02453, DANRE09326, DANRE09325	AMPFI_21281
OG0000007	DANRE11519, DANRE13255, DANRE02905, DANRE04393	AMPFI_23280
OG0000008	DANRE27059, DANRE36385, DANRE36384, DANRE36386, DANRE36383	AMPFI_03619
OG0000008	DANRE34310, DANRE39865	AMPFI_18464
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	AMPFI_13893
OG0000010	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136, DANRE33958, DANRE33959, DANRE40235, DANRE40234, DANRE40232, DANRE40233, DANRE21135, DANRE38562, DANRE38564, DANRE38563, DANRE08709, DANRE08676, DANRE08677, DANRE08708	AMPFI_14170
OG0000010	DANRE28016, DANRE28015, DANRE28014, DANRE30968	AMPFI_04353
OG0000010	DANRE39463, DANRE39462	AMPFI_20654
OG0000011	DANRE22618, DANRE32639, DANRE19908, DANRE03442	AMPFI_20107
OG0000012	DANRE38177, DANRE38176	AMPFI_05035, AMPFI_18913
OG0000013	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657, DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463, DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838	AMPFI_13640
OG0000014	DANRE37898, DANRE35206, DANRE12526, DANRE12528, DANRE12527, DANRE40509, DANRE36844, DANRE43146, DANRE22544, DANRE03629, DANRE29858, DANRE04027, DANRE04029, DANRE04028, DANRE30100, DANRE03816, DANRE11299, DANRE03520, DANRE40391	AMPFI_05504, AMPFI_16319
OG0000014	DANRE11197, DANRE03296	AMPFI_18330
OG0000014	DANRE17251, DANRE43403	AMPFI_16339
OG0000015	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692	AMPFI_23995
OG0000016	DANRE38616, DANRE06628, DANRE06627, DANRE13366	AMPFI_14639
OG0000016	DANRE35611	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	DANRE02012	AMPFI_06248
OG0000016	DANRE13447	AMPFI_15536, AMPFI_18220, AMPFI_13190
OG0000018	DANRE32666	AMPFI_15215, AMPFI_16636
OG0000018	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202	AMPFI_22035
OG0000018	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094	AMPFI_04983, AMPFI_11059, AMPFI_23717, AMPFI_12063, AMPFI_02180, AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040
OG0000018	DANRE13954, DANRE13946	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463, AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008
OG0000019	DANRE41681	AMPFI_10151
OG0000019	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869	AMPFI_01264, AMPFI_06523
OG0000020	DANRE10827, DANRE10826, DANRE10743	AMPFI_07852
OG0000020	DANRE10670	AMPFI_19334
OG0000020	DANRE40536	AMPFI_11019
OG0000020	DANRE42755	AMPFI_06907
OG0000020	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625	AMPFI_24792
OG0000020	DANRE27431, DANRE27432, DANRE27433	AMPFI_07932
OG0000020	DANRE06741, DANRE06740, DANRE15747	AMPFI_12343
OG0000020	DANRE22958, DANRE22959	AMPFI_25813
OG0000020	DANRE06663, DANRE06664	AMPFI_21494
OG0000020	DANRE18984	AMPFI_07388
OG0000020	DANRE27379	AMPFI_13969
