Orthogroup	MOUSE	XENTR
OG0000000	MOUSE35835	XENTR08878
OG0000000	MOUSE22971	XENTR01079, XENTR01080
OG0000000	MOUSE21445	XENTR18066
OG0000000	MOUSE21440	XENTR18621
OG0000000	MOUSE46719	XENTR10509
OG0000000	MOUSE46718	XENTR10508
OG0000000	MOUSE35959	XENTR13402
OG0000000	MOUSE47799	XENTR02223
OG0000000	MOUSE46854	XENTR10492
OG0000000	MOUSE36974	XENTR10560
OG0000000	MOUSE25533	XENTR07734
OG0000000	MOUSE37056	XENTR13891
OG0000000	MOUSE09344	XENTR17298
OG0000000	MOUSE50563	XENTR05705
OG0000000	MOUSE50880	XENTR16086
OG0000000	MOUSE20961	XENTR12445
OG0000000	MOUSE24692	XENTR07618
OG0000000	MOUSE26497	XENTR07167
OG0000000	MOUSE39799	XENTR03338
OG0000000	MOUSE38794	XENTR04390
OG0000000	MOUSE36509	XENTR05494
OG0000000	MOUSE05221	XENTR10849
OG0000000	MOUSE39801	XENTR03337
OG0000000	MOUSE38795	XENTR04389
OG0000000	MOUSE05214, MOUSE05213	XENTR10854
OG0000000	MOUSE14888	XENTR08539
OG0000000	MOUSE26490, MOUSE26491	XENTR07170
OG0000000	MOUSE05215, MOUSE39813, MOUSE39810	XENTR03332
OG0000000	MOUSE05216	XENTR10853
OG0000000	MOUSE39808	XENTR03333
OG0000000	MOUSE14889	XENTR08540
OG0000000	MOUSE14890, MOUSE14891	XENTR08542
OG0000000	MOUSE05218	XENTR10851
OG0000000	MOUSE39807	XENTR03334
OG0000000	MOUSE14885	XENTR08541
OG0000000	MOUSE35589, MOUSE35590	XENTR06295
OG0000000	MOUSE06967	XENTR03185
OG0000000	MOUSE36056	XENTR12464
OG0000000	MOUSE09425	XENTR08726
OG0000000	MOUSE07113	XENTR06680
OG0000000	MOUSE28108	XENTR12982
OG0000000	MOUSE14887	XENTR08538
OG0000000	MOUSE39814	XENTR03331
OG0000000	MOUSE26488	XENTR07171
OG0000000	MOUSE05211	XENTR10855, XENTR10856
OG0000000	MOUSE39816	XENTR03330
OG0000000	MOUSE54681	XENTR00687
OG0000000	MOUSE19588	XENTR13779
OG0000000	MOUSE39822	XENTR03327
OG0000000	MOUSE26482, MOUSE26483	XENTR07175
OG0000000	MOUSE12761	XENTR01971
OG0000000	MOUSE36110	XENTR14936
OG0000000	MOUSE12760	XENTR01972
OG0000000	MOUSE21123	XENTR09547
OG0000000	MOUSE17205	XENTR08722
OG0000000	MOUSE28110	XENTR12981
OG0000000	MOUSE07114	XENTR06679
OG0000001	MOUSE30906	XENTR19191, XENTR05335, XENTR05334
OG0000001	MOUSE47424, MOUSE47422	XENTR06490
OG0000001	MOUSE11565, MOUSE20858, MOUSE11567	XENTR04259
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
