Orthogroup	MOUSE	DANRE
OG0000000	MOUSE35835	DANRE06436
OG0000000	MOUSE46731	DANRE05762
OG0000000	MOUSE35499	DANRE24636
OG0000000	MOUSE22971	DANRE35926
OG0000000	MOUSE40493	DANRE04899
OG0000000	MOUSE21445	DANRE05022
OG0000000	MOUSE40450	DANRE37544
OG0000000	MOUSE21440	DANRE11226
OG0000000	MOUSE46719	DANRE11234
OG0000000	MOUSE46718	DANRE11232
OG0000000	MOUSE35959	DANRE16357
OG0000000	MOUSE47799	DANRE40795
OG0000000	MOUSE46854	DANRE05964
OG0000000	MOUSE36974	DANRE19591, DANRE19592
OG0000000	MOUSE25533	DANRE34117, DANRE19532
OG0000000	MOUSE37056	DANRE36202
OG0000000	MOUSE09344	DANRE02487
OG0000000	MOUSE50563	DANRE13405
OG0000000	MOUSE50880	DANRE00977
OG0000000	MOUSE20961	DANRE04328, DANRE04330, DANRE04329
OG0000000	MOUSE24692	DANRE18867, DANRE18868
OG0000000	MOUSE39799	DANRE14339, DANRE14340
OG0000000	MOUSE38794	DANRE35277, DANRE35276
OG0000000	MOUSE36509	DANRE17824
OG0000000	MOUSE05221	DANRE29250
OG0000000	MOUSE39801	DANRE09540
OG0000000	MOUSE38795	DANRE24278
OG0000000	MOUSE05214, MOUSE05213	DANRE29240
OG0000000	MOUSE14888	DANRE23428
OG0000000	MOUSE05215	DANRE29241
OG0000000	MOUSE39813, MOUSE39810	DANRE29242
OG0000000	MOUSE05216	DANRE03837, DANRE29246
OG0000000	MOUSE14889	DANRE23430, DANRE23429, DANRE01703
OG0000000	MOUSE14890, MOUSE14891	DANRE23433
OG0000000	MOUSE05218	DANRE29249
OG0000000	MOUSE05217	DANRE29247, DANRE03838
OG0000000	MOUSE39807	DANRE14338
OG0000000	MOUSE14885	DANRE23432, DANRE23431
OG0000000	MOUSE35589, MOUSE35590	DANRE38770
OG0000000	MOUSE05644	DANRE03853, DANRE03854
OG0000000	MOUSE06967	DANRE14679, DANRE08590
OG0000000	MOUSE36056	DANRE06002
OG0000000	MOUSE09425	DANRE20421, DANRE06649
OG0000000	MOUSE46881	DANRE05182, DANRE16636
OG0000000	MOUSE07113	DANRE11732
OG0000000	MOUSE28108	DANRE11786, DANRE11785, DANRE18799
OG0000000	MOUSE14887	DANRE23427
OG0000000	MOUSE39814, MOUSE26488	DANRE41435
OG0000000	MOUSE05211	DANRE29239, DANRE29238
OG0000000	MOUSE39816	DANRE09538
OG0000000	MOUSE39817	DANRE29237
OG0000000	MOUSE54681	DANRE06945, DANRE06944
OG0000000	MOUSE19588	DANRE20512
OG0000000	MOUSE42582	DANRE24055
OG0000000	MOUSE39822	DANRE14325, DANRE14326
OG0000000	MOUSE26482, MOUSE26483	DANRE41441
OG0000000	MOUSE12761	DANRE41165
OG0000000	MOUSE36110	DANRE05977
OG0000000	MOUSE12760	DANRE41166
OG0000000	MOUSE21123	DANRE05745, DANRE05744
OG0000000	MOUSE17205	DANRE06657
OG0000000	MOUSE28110	DANRE11796, DANRE11795
OG0000000	MOUSE28109	DANRE18798
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767
