Orthogroup	AMPFI_ok	Other
OG0000008	AMPFI_17189	NEMVE04749, NEMVE07849
OG0000008	AMPFI_17189	AENJA_21421, AENJA_04271
OG0000008	AMPFI_17189	bflo_17089
OG0000008	AMPFI_17189	BRALA26942
OG0000020	AMPFI_21494	ASTMX22736
OG0000021	AMPFI_19616, AMPFI_08794, AMPFI_23196	MOUSE44446
OG0000021	AMPFI_19616, AMPFI_08794, AMPFI_23196	AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163
OG0000025	AMPFI_02870	HELIO_01616
OG0000025	AMPFI_02870	BRALA29928, BRALA29404
OG0000025	AMPFI_02870	TCONS_00016476.p1
OG0000025	AMPFI_02870	APOSC_02742, APOSC_11466
OG0000025	AMPFI_02870	APOSJ_36900, APOSJ_46981, APOSJ_46982
OG0000025	AMPFI_02870	NEMVE00738
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	TCONS_00017322.p1
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	SACKO_23233
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	HUMAN07669, HUMAN21745
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	MOUSE12605
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	XENTR07244, XENTR03079
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	ORYLA09539
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	DANRE42258, DANRE07529
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	ASTMX12978
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	APOSJ_14352, APOSJ_14353
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	APOSC_13965
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	AENJA_10622
OG0000026	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392	AENJA_10622
