Orthogroup	HUMAN	Other
OG0000026	HUMAN07669, HUMAN21745	AENJA_10622
OG0000026	HUMAN07669, HUMAN21745	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000034	HUMAN11672, HUMAN11673	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000038	HUMAN18258	LYTVA_14520
OG0000069	HUMAN13361, HUMAN02574	MOUSE24598, MOUSE24599
OG0000089	HUMAN25675	AMPFI_03609
OG0000094	HUMAN14813	APOSJ_63079
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	AENJA_26553
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	HELIO_03878
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	STRPU_19407
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	LYTVA_09221
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	AMPFI_06525
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	APOSC_21896, APOSC_21895
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	AMPFI_18905
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	AMPFI_18905
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	bflo_11484
OG0000094	HUMAN14814, HUMAN29867, HUMAN14812	BRALA09222
OG0000094	HUMAN14814	SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751
OG0000094	HUMAN29867	SCHMD25649, SCHMD27362, SCHMD18377
OG0000099	HUMAN05424	AENJA_00123
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	AMPFI_04266, AMPFI_05019
OG0000128	HUMAN21996	ASTMX18325
OG0000128	HUMAN21996	ASTMX18325
OG0000128	HUMAN21996	AENJA_21735
OG0000128	HUMAN21996	STRPU_05989
OG0000128	HUMAN21996	HELIO_00789
OG0000128	HUMAN21996	LYTVA_25168
OG0000128	HUMAN21996	AMPFI_04850
OG0000128	HUMAN21996	AMPFI_16622, AMPFI_18803
OG0000128	HUMAN21996	AMPFI_16622, AMPFI_18803
OG0000128	HUMAN21996	BRALA31378
OG0000128	HUMAN21996	SCHMD29825
OG0000128	HUMAN21996	YEAST01398, YEAST05967, YEAST05716
OG0000157	HUMAN14308	DROME05618, DROME05617, DROME05616
OG0000157	HUMAN14308	NEMVE24250
OG0000157	HUMAN14308	CAEEL00241
OG0000157	HUMAN14308	APOSJ_40938, APOSJ_40935
OG0000157	HUMAN14308	APOSC_02266
OG0000157	HUMAN14308	HELIO_02764
OG0000157	HUMAN14308	AMPFI_07870
OG0000157	HUMAN14308	TCONS_00032491.p1
OG0000157	HUMAN14308	SACKO_13943
OG0000157	HUMAN14308	STRPU_22147
OG0000157	HUMAN14308	BRALA27057
OG0000157	HUMAN14308	SCHMD03548, SCHMD06363
OG0000157	HUMAN11058	SCHMD05230
OG0000192	HUMAN29457	HELIO_03073
OG0000208	HUMAN11859, HUMAN11860	OFUSG05257.1.p1, OFUSG15720.2.p1, OFUSG15720.1.p1, OFUSG15720.3.p1, OFUSG10265.1.p1, OFUSG15667.1.p1, OFUSG22350.1.p1, OFUSG01785.1.p1, OFUSG01785.2.p1, OFUSG24045.1.p1, OFUSG24046.2.p1, OFUSG24046.1.p1
OG0000208	HUMAN11859	SACKO_06806, SACKO_06801, SACKO_06805, SACKO_06827, SACKO_12788
OG0000208	HUMAN11859	TCONS_00043713.p1, TCONS_00043906.p1, TCONS_00043897.p1, TCONS_00043898.p1, TCONS_00043907.p1, TCONS_00043895.p1, TCONS_00043905.p1, TCONS_00043912.p1, TCONS_00043911.p1, TCONS_00042651.p1, TCONS_00043627.p1, TCONS_00043652.p1, TCONS_00043653.p1, TCONS_00042650.p1, TCONS_00043626.p1, TCONS_00042215.p1, TCONS_00043714.p1, TCONS_00053956.p1
OG0000208	HUMAN11859	STRPU_21776, STRPU_21777, STRPU_21778
OG0000208	HUMAN11859	LYTVA_05690, LYTVA_05691
OG0000208	HUMAN11859	AENJA_06125
OG0000208	HUMAN11859	APOSC_02963
OG0000208	HUMAN11859	APOSJ_54582, APOSJ_16859, APOSJ_51886, APOSJ_02748, APOSJ_02744, APOSJ_47498, APOSJ_51889, APOSJ_02746, APOSJ_02749, APOSJ_47504, APOSJ_51890, APOSJ_51892, APOSJ_16865, APOSJ_51888, APOSJ_02745, APOSJ_51887, APOSJ_51891
OG0000208	HUMAN11859	AMPFI_25316
OG0000208	HUMAN11859	BRALA35053, BRALA34947, BRALA35305
OG0000208	HUMAN11860	APOSC_28634
OG0000208	HUMAN11860	APOSJ_12031, APOSJ_10526
OG0000208	HUMAN11860	STRPU_14840
OG0000208	HUMAN11860	HELIO_08975
OG0000208	HUMAN11860	LYTVA_28941
OG0000208	HUMAN11860	AENJA_16595
OG0000208	HUMAN11860	SACKO_07539, SACKO_21983, SACKO_21989, SACKO_07554, SACKO_07549, SACKO_31156, SACKO_07529
OG0000208	HUMAN11860	TCONS_00006493.p1, TCONS_00006492.p1, TCONS_00006491.p1
OG0000208	HUMAN11860	bflo_20476
OG0000208	HUMAN11860	SACKO_05740
OG0000208	HUMAN11860	SACKO_05740
OG0000208	HUMAN11860	DROME02132
OG0000208	HUMAN11860	BRALA35033
