Orthogroup	PFLAV	AMPFI_ok
OG0000000	TCONS_00026365.p1	AMPFI_12098
OG0000000	TCONS_00019737.p1	AMPFI_16114
OG0000000	TCONS_00027826.p1	AMPFI_11894
OG0000000	TCONS_00026612.p1	AMPFI_12336
OG0000000	TCONS_00026377.p1	AMPFI_16025
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	AMPFI_08228
OG0000000	TCONS_00026487.p1	AMPFI_02168
OG0000000	TCONS_00010493.p1	AMPFI_10716
OG0000000	TCONS_00043771.p1	AMPFI_19781
OG0000000	TCONS_00032267.p1	AMPFI_22359
OG0000000	TCONS_00027510.p1	AMPFI_12478
OG0000000	TCONS_00032272.p1	AMPFI_25019
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	AMPFI_04297
OG0000000	TCONS_00042478.p1	AMPFI_20876
OG0000000	TCONS_00026601.p1	AMPFI_21326
OG0000000	TCONS_00009627.p1	AMPFI_01589
OG0000000	TCONS_00009628.p1	AMPFI_10655
OG0000001	TCONS_00043545.p1, TCONS_00043951.p1	AMPFI_17506
OG0000001	TCONS_00022392.p1	AMPFI_20898
OG0000001	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	AMPFI_19631
OG0000001	TCONS_00034555.p1	AMPFI_18148, AMPFI_13477
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487, AMPFI_00879
OG0000002	TCONS_00010137.p1	AMPFI_23102
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979, AMPFI_18855, AMPFI_10028, AMPFI_14105
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336
