Orthogroup	SCHMD	PFLAV
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	TCONS_00026365.p1
OG0000000	SCHMD09645	TCONS_00019737.p1
OG0000000	SCHMD20523, SCHMD24588	TCONS_00026612.p1
OG0000000	SCHMD03805	TCONS_00026711.p1
OG0000000	SCHMD20256, SCHMD22099	TCONS_00026377.p1
OG0000000	SCHMD07815	TCONS_00027287.p1, TCONS_00027293.p1
OG0000000	SCHMD09133, SCHMD27825	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	SCHMD03766	TCONS_00015367.p1
OG0000000	SCHMD27182, SCHMD16896	TCONS_00017786.p1
OG0000000	SCHMD28523	TCONS_00020801.p1
OG0000000	SCHMD18969	TCONS_00032259.p1
OG0000000	SCHMD08046	TCONS_00032260.p1
OG0000000	SCHMD22390, SCHMD21735	TCONS_00032269.p1, TCONS_00032266.p1
OG0000000	SCHMD21303	TCONS_00019139.p1
OG0000000	SCHMD01868	TCONS_00027510.p1
OG0000000	SCHMD24693	TCONS_00031629.p1
OG0000000	SCHMD05281, SCHMD04291	TCONS_00026601.p1
OG0000000	SCHMD13268	TCONS_00026600.p1, TCONS_00009627.p1, TCONS_00009628.p1
OG0000002	SCHMD15297	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	TCONS_00031472.p1
OG0000003	SCHMD00325	TCONS_00006180.p1, TCONS_00057090.p1, TCONS_00005704.p1
OG0000003	SCHMD11370	TCONS_00046526.p1
OG0000005	SCHMD06848	TCONS_00020907.p1
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	TCONS_00033021.p1
OG0000005	SCHMD15919	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	SCHMD07888, SCHMD24507	TCONS_00023587.p1
OG0000006	SCHMD08632	TCONS_00025031.p1, TCONS_00038043.p1
OG0000006	SCHMD00178	TCONS_00042787.p1
OG0000006	SCHMD18704	TCONS_00021207.p1
OG0000006	SCHMD09638	TCONS_00056934.p1, TCONS_00021581.p1, TCONS_00023551.p1, TCONS_00003496.p1, TCONS_00012810.p1, TCONS_00013984.p1, TCONS_00012809.p1, TCONS_00021507.p1, TCONS_00027932.p1, TCONS_00027931.p1
OG0000006	SCHMD23237	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	SCHMD13710	TCONS_00030792.p1
OG0000006	SCHMD18814	TCONS_00011052.p1
OG0000007	SCHMD12323	TCONS_00008966.p1
OG0000007	SCHMD08294	TCONS_00009611.p1
OG0000007	SCHMD22164, SCHMD13502	TCONS_00029143.p1
OG0000007	SCHMD14635, SCHMD17075	TCONS_00052518.p1
OG0000007	SCHMD03666	TCONS_00026068.p1
OG0000007	SCHMD12296, SCHMD02893	TCONS_00007744.p1, TCONS_00008968.p1, TCONS_00008967.p1
OG0000007	SCHMD08423	TCONS_00029831.p1, TCONS_00053632.p1, TCONS_00029830.p1, TCONS_00024115.p1
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	TCONS_00055417.p1, TCONS_00011336.p1
OG0000007	SCHMD19134	TCONS_00014249.p1
