Orthogroup	ASTMX	BRAFL
OG0000000	ASTMX02793	bflo_10712, bflo_10733
OG0000000	ASTMX17483, ASTMX11444	bflo_04183
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	bflo_24421, bflo_24425, bflo_09165
OG0000000	ASTMX19308, ASTMX03273	bflo_24954
OG0000000	ASTMX13970	bflo_09701
OG0000000	ASTMX05790, ASTMX17479	bflo_10072
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	bflo_16599
OG0000000	ASTMX14561, ASTMX07042	bflo_24252
OG0000000	ASTMX10847	bflo_08732
OG0000000	ASTMX20299	bflo_10637
OG0000000	ASTMX10234	bflo_19045
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	bflo_00191
OG0000000	ASTMX16946, ASTMX11106	bflo_15523
OG0000000	ASTMX01438	bflo_00189
OG0000000	ASTMX16053, ASTMX01903, ASTMX20164	bflo_00196
OG0000000	ASTMX16049	bflo_00195
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	bflo_00192
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	bflo_00197
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	bflo_00617, bflo_23916
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	bflo_00176
OG0000000	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919	bflo_10639
OG0000000	ASTMX01905, ASTMX20159	bflo_00920
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	bflo_14857
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	bflo_00526
OG0000000	ASTMX11612, ASTMX02802	bflo_10437
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	bflo_10148
OG0000000	ASTMX08520	bflo_18457
OG0000001	ASTMX18932	bflo_27403
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	bflo_13782, bflo_21347, bflo_23767, bflo_16185
OG0000001	ASTMX07755, ASTMX07756	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000001	ASTMX07323, ASTMX16759, ASTMX18180	bflo_24437, bflo_24440
OG0000002	ASTMX13878	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588
OG0000002	ASTMX20124, ASTMX02317, ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130
OG0000004	ASTMX22075, ASTMX12117, ASTMX01551	bflo_07914
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	bflo_04032
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
OG0000005	ASTMX10242	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000006	ASTMX20216	bflo_10484
OG0000006	ASTMX00775	bflo_06221
OG0000006	ASTMX00495, ASTMX16379	bflo_07660
OG0000006	ASTMX16363, ASTMX04345	bflo_14856, bflo_15258
OG0000006	ASTMX11700, ASTMX00138	bflo_22120
OG0000006	ASTMX03791, ASTMX03123	bflo_16305
OG0000006	ASTMX12191, ASTMX07931	bflo_22526
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	bflo_10066, bflo_10065
OG0000006	ASTMX03256, ASTMX09680	bflo_12576
OG0000006	ASTMX14682, ASTMX19702	bflo_23572
OG0000006	ASTMX21126, ASTMX03352	bflo_06220
OG0000006	ASTMX06644	bflo_08237
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	bflo_06222
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	bflo_08431
OG0000006	ASTMX14827	bflo_22598
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	bflo_15412
OG0000006	ASTMX10604	bflo_10980
OG0000007	ASTMX14980	bflo_13266
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	bflo_05651
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	bflo_16444, bflo_15598
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	bflo_25603
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	bflo_10207
OG0000007	ASTMX21073, ASTMX16179	bflo_23632
OG0000007	ASTMX20070	bflo_13742
OG0000007	ASTMX22376, ASTMX11119	bflo_13892
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	bflo_13084
OG0000007	ASTMX18062, ASTMX21262	bflo_12369
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	bflo_23309
OG0000007	ASTMX04966, ASTMX11650	bflo_23091
OG0000007	ASTMX18779, ASTMX07711	bflo_23283
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	bflo_24497
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	bflo_11392
OG0000008	ASTMX21956, ASTMX05481	bflo_24920
OG0000008	ASTMX13129	bflo_12140
OG0000008	ASTMX09448	bflo_11080
OG0000008	ASTMX05709	bflo_20071
OG0000008	ASTMX03297, ASTMX08955	bflo_17599
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	ASTMX21265	bflo_00973
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555	bflo_25814, bflo_01084
OG0000010	ASTMX05524, ASTMX05737, ASTMX05736, ASTMX06728, ASTMX17688, ASTMX18214, ASTMX16219, ASTMX16220, ASTMX05525, ASTMX21918	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000011	ASTMX21233, ASTMX01926	bflo_20761, bflo_05867
OG0000012	ASTMX22063, ASTMX16492	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	ASTMX06265	bflo_14731, bflo_13607, bflo_24594
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941
OG0000014	ASTMX03213, ASTMX07656	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893
OG0000014	ASTMX01801	bflo_18525, bflo_05141
OG0000014	ASTMX12908, ASTMX11632	bflo_04326, bflo_04339, bflo_04331
OG0000014	ASTMX01423, ASTMX16397	bflo_06816
OG0000015	ASTMX01476, ASTMX13504, ASTMX02112	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473
OG0000015	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	bflo_14872
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	bflo_14874
