Orthogroup	SCHMD	AENJA_ok
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	AENJA_00110
OG0000000	SCHMD09645	AENJA_23461
OG0000000	SCHMD20523, SCHMD24588	AENJA_23544
OG0000000	SCHMD03805	AENJA_09172
OG0000000	SCHMD20256, SCHMD22099	AENJA_06471
OG0000000	SCHMD09133, SCHMD27825	AENJA_01537
OG0000000	SCHMD03766	AENJA_01531
OG0000000	SCHMD28523	AENJA_05531
OG0000000	SCHMD18969	AENJA_15854
OG0000000	SCHMD08046	AENJA_15858, AENJA_15855
OG0000000	SCHMD22390, SCHMD21735	AENJA_05807
OG0000000	SCHMD21303	AENJA_22692
OG0000000	SCHMD11888, SCHMD08259	AENJA_05805
OG0000000	SCHMD24693	AENJA_01755
OG0000000	SCHMD05281, SCHMD04291	AENJA_10279
OG0000000	SCHMD13268	AENJA_05264, AENJA_18954, AENJA_18955
OG0000002	SCHMD15297	AENJA_00531, AENJA_22262, AENJA_16411
OG0000003	SCHMD14034	AENJA_04022
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	AENJA_21338
OG0000003	SCHMD00325	AENJA_03277, AENJA_12218, AENJA_18598, AENJA_15443, AENJA_04134, AENJA_02043
OG0000004	SCHMD20392, SCHMD06188	AENJA_08681, AENJA_23847
OG0000005	SCHMD06848	AENJA_12565
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989
OG0000005	SCHMD15919	AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345
OG0000006	SCHMD07888, SCHMD24507	AENJA_18239
OG0000006	SCHMD09008	AENJA_21365
OG0000006	SCHMD00178	AENJA_13126
OG0000006	SCHMD18704	AENJA_02691
OG0000006	SCHMD09638	AENJA_07226, AENJA_22522, AENJA_09814, AENJA_09813, AENJA_00662
OG0000006	SCHMD23237	AENJA_15373
OG0000006	SCHMD13710	AENJA_18450
OG0000006	SCHMD18814	AENJA_15474
OG0000007	SCHMD12323	AENJA_18325
OG0000007	SCHMD08294	AENJA_00810
OG0000007	SCHMD14635, SCHMD17075	AENJA_25020
OG0000007	SCHMD03666	AENJA_23908
OG0000007	SCHMD12296, SCHMD02893	AENJA_06479, AENJA_16018, AENJA_18328
OG0000007	SCHMD08423	AENJA_07512, AENJA_11851
OG0000007	SCHMD08922, SCHMD00556	AENJA_07359
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	AENJA_09687, AENJA_07358
OG0000007	SCHMD19134	AENJA_11277
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	AENJA_22886
OG0000007	SCHMD02246	AENJA_26507
OG0000008	SCHMD02053	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105
OG0000010	SCHMD14528	AENJA_20491
OG0000010	SCHMD05789, SCHMD04868	AENJA_04234
OG0000011	SCHMD05659	AENJA_10554, AENJA_20178, AENJA_19192, AENJA_02877, AENJA_17352, AENJA_20291, AENJA_06516, AENJA_22650, AENJA_14414
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000014	SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818
OG0000015	SCHMD16725	AENJA_19634
OG0000015	SCHMD16724	AENJA_19636
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	AENJA_18653
OG0000015	SCHMD21895, SCHMD16722	AENJA_02597
OG0000016	SCHMD23829	AENJA_26670
OG0000016	SCHMD16694	AENJA_26671, AENJA_26677
OG0000016	SCHMD02183	AENJA_02781
OG0000017	SCHMD13346	AENJA_25826, AENJA_19043, AENJA_21177, AENJA_06799, AENJA_08416, AENJA_23360, AENJA_14486, AENJA_04643, AENJA_00407, AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492, AENJA_25974, AENJA_24207, AENJA_07794, AENJA_19441, AENJA_07002, AENJA_08981, AENJA_06457, AENJA_13473, AENJA_19348, AENJA_18559, AENJA_24973, AENJA_25595, AENJA_05154, AENJA_12426, AENJA_00338, AENJA_00793, AENJA_19527, AENJA_05284, AENJA_20820, AENJA_23397, AENJA_15074, AENJA_17435, AENJA_05313, AENJA_19028, AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181, AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186, AENJA_00442, AENJA_07451, AENJA_22962, AENJA_21386, AENJA_13274, AENJA_08258, AENJA_22053, AENJA_22436, AENJA_14928, AENJA_06318, AENJA_08674, AENJA_21573, AENJA_22050, AENJA_16553, AENJA_10272, AENJA_25220, AENJA_22019, AENJA_14578, AENJA_25217, AENJA_20264, AENJA_00879, AENJA_13357, AENJA_11406, AENJA_05165, AENJA_06463, AENJA_04888, AENJA_03290, AENJA_05719, AENJA_19475, AENJA_19562, AENJA_23073, AENJA_21676, AENJA_10851, AENJA_14649, AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563, AENJA_17676, AENJA_13476, AENJA_24074, AENJA_10043, AENJA_21704, AENJA_26572, AENJA_20803, AENJA_11168, AENJA_19304, AENJA_07659, AENJA_14471, AENJA_20652, AENJA_24972, AENJA_04067, AENJA_13186, AENJA_06087, AENJA_19243, AENJA_04308, AENJA_04362, AENJA_16450, AENJA_15596
OG0000019	SCHMD12011, SCHMD20948	AENJA_17710
OG0000019	SCHMD23009	AENJA_12747
OG0000019	SCHMD16426, SCHMD08184	AENJA_18371
OG0000019	SCHMD07568	AENJA_16475
OG0000020	SCHMD00005	AENJA_21688, AENJA_05309
OG0000020	SCHMD23721	AENJA_01003, AENJA_08406
OG0000020	SCHMD08736	AENJA_02593, AENJA_02596
OG0000020	SCHMD09886	AENJA_09502
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	AENJA_16929
OG0000021	SCHMD05055, SCHMD22715, SCHMD07894	AENJA_21621, AENJA_21623
OG0000021	SCHMD09794	AENJA_16593
OG0000021	SCHMD23964	AENJA_24943
OG0000021	SCHMD10526, SCHMD19498	AENJA_25124
OG0000021	SCHMD09793, SCHMD07893	AENJA_10523
OG0000023	SCHMD05376	AENJA_03895
OG0000023	SCHMD14075	AENJA_11915
OG0000026	SCHMD22460	AENJA_10129
OG0000028	SCHMD01093	AENJA_04861, AENJA_01184
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	AENJA_02274
OG0000028	SCHMD22912, SCHMD03422	AENJA_15999
OG0000029	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862	AENJA_03155, AENJA_26378, AENJA_10650
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	AENJA_17283
OG0000030	SCHMD20495, SCHMD12490	AENJA_07079
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	AENJA_24351, AENJA_12274
OG0000031	SCHMD16950	AENJA_09856, AENJA_09858
OG0000031	SCHMD11094	AENJA_20966
OG0000031	SCHMD00185	AENJA_10722
OG0000031	SCHMD17865	AENJA_02955, AENJA_05740, AENJA_14258, AENJA_15917, AENJA_14260
OG0000032	SCHMD05706, SCHMD26195, SCHMD24540, SCHMD22975, SCHMD09223	AENJA_15565
OG0000032	SCHMD05709	AENJA_06513
OG0000034	SCHMD15098, SCHMD05313	AENJA_09849
OG0000034	SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000	AENJA_02790
OG0000034	SCHMD13190, SCHMD26745	AENJA_21749
OG0000034	SCHMD14042	AENJA_09845
OG0000034	SCHMD11160, SCHMD18247	AENJA_02791
OG0000034	SCHMD04875	AENJA_23686
OG0000034	SCHMD07081	AENJA_16616
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	AENJA_01174
OG0000035	SCHMD15627, SCHMD19701	AENJA_12364, AENJA_26037
OG0000035	SCHMD23652, SCHMD05993	AENJA_26795, AENJA_18623, AENJA_14012
OG0000035	SCHMD19700, SCHMD08604, SCHMD17446, SCHMD16716	AENJA_02191
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	AENJA_26206, AENJA_19267, AENJA_16633
OG0000036	SCHMD10087, SCHMD20124, SCHMD27854	AENJA_09983
OG0000037	SCHMD19933	AENJA_19141, AENJA_21842, AENJA_00885, AENJA_06908, AENJA_02989, AENJA_17768, AENJA_10696, AENJA_20944, AENJA_05483, AENJA_06274
