Orthogroup	CAEEL	HUMAN
OG0000000	CAEEL18735	HUMAN22097, HUMAN03752
OG0000000	CAEEL01893	HUMAN03687, HUMAN17114, HUMAN03688
OG0000000	CAEEL18754	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	CAEEL06523	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	CAEEL18467, CAEEL18466	HUMAN29337, HUMAN01254
OG0000000	CAEEL04771	HUMAN05644
OG0000000	CAEEL18086	HUMAN03433
OG0000000	CAEEL08092	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096
OG0000000	CAEEL08135, CAEEL08091	HUMAN07512, HUMAN22413, HUMAN12896, HUMAN26097, HUMAN07513, HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515, HUMAN26099, HUMAN06518, HUMAN12899, HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	CAEEL00979	HUMAN27325, HUMAN27326
OG0000000	CAEEL19601	HUMAN22154, HUMAN24253
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	CAEEL07441	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	CAEEL08875	HUMAN26107, HUMAN17898
OG0000000	CAEEL16213	HUMAN27580, HUMAN03523, HUMAN24243, HUMAN18756, HUMAN08319
OG0000001	CAEEL17898, CAEEL19147, CAEEL08601, CAEEL00597, CAEEL06285	HUMAN10622
OG0000003	CAEEL19939	HUMAN02915
OG0000005	CAEEL01924	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813
OG0000006	CAEEL20510	HUMAN20053
OG0000006	CAEEL18976	HUMAN30182, HUMAN30280, HUMAN21060
OG0000006	CAEEL00696	HUMAN22351, HUMAN05133
OG0000006	CAEEL07700	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	CAEEL05532	HUMAN25905
OG0000006	CAEEL01533	HUMAN14338, HUMAN14017
OG0000006	CAEEL12101	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	CAEEL00153	HUMAN08856, HUMAN19716
OG0000006	CAEEL17819	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	CAEEL15182	HUMAN24331
OG0000007	CAEEL04050	HUMAN09570, HUMAN28803
OG0000007	CAEEL17965	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	CAEEL05829	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	CAEEL01108	HUMAN24417, HUMAN11533
OG0000007	CAEEL10238, CAEEL04602	HUMAN13635, HUMAN12258, HUMAN07103, HUMAN07102, HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	CAEEL18586	HUMAN08248
OG0000010	CAEEL04259	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000012	CAEEL20690	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	CAEEL20293	HUMAN28255
OG0000013	CAEEL11942	HUMAN23265
OG0000013	CAEEL19127	HUMAN23266, HUMAN23264, HUMAN23267, HUMAN22810, HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415, HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000015	CAEEL09145	HUMAN25367, HUMAN25365, HUMAN21195
OG0000015	CAEEL15587	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	CAEEL20493	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	HUMAN10581, HUMAN10583, HUMAN12987, HUMAN03528
OG0000016	CAEEL18647	HUMAN07767
OG0000019	CAEEL15403	HUMAN06384
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000020	CAEEL07399	HUMAN22329, HUMAN20815
OG0000020	CAEEL00627	HUMAN02145
OG0000020	CAEEL05927	HUMAN00010, HUMAN23847, HUMAN23024
OG0000020	CAEEL13362	HUMAN22639
OG0000020	CAEEL09273	HUMAN20816
OG0000021	CAEEL15603	HUMAN20500
OG0000021	CAEEL00422	HUMAN12331
OG0000021	CAEEL00784, CAEEL15377	HUMAN04273, HUMAN30251
OG0000023	CAEEL13426	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000023	CAEEL06641	HUMAN11130
OG0000027	CAEEL17825	HUMAN16847
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	HUMAN09193, HUMAN09206
OG0000029	CAEEL20320	HUMAN15611
OG0000029	CAEEL20612	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	HUMAN01740, HUMAN28679
OG0000031	CAEEL17953	HUMAN29956
OG0000031	CAEEL02023	HUMAN17850, HUMAN06489, HUMAN17883, HUMAN26042, HUMAN12874
OG0000031	CAEEL04718	HUMAN09203
OG0000031	CAEEL07076	HUMAN07725
OG0000032	CAEEL19615	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	HUMAN19258, HUMAN23633, HUMAN23632
OG0000034	CAEEL20539	HUMAN07187
OG0000034	CAEEL07900	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	CAEEL13037	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
