Orthogroup	APOSC_ok	NEMVE
OG0000000	APOSC_11837, APOSC_12606	NEMVE15388
OG0000000	APOSC_11472, APOSC_29094	NEMVE09627, NEMVE02365
OG0000000	APOSC_19214	NEMVE09082, NEMVE00451
OG0000000	APOSC_25410	NEMVE05015
OG0000000	APOSC_11604	NEMVE11246
OG0000000	APOSC_28354	NEMVE02875
OG0000000	APOSC_11544	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	APOSC_13522	NEMVE03328, NEMVE00592, NEMVE06804, NEMVE00549
OG0000000	APOSC_04208	NEMVE02364
OG0000000	APOSC_07565	NEMVE04732, NEMVE07124
OG0000000	APOSC_11499	NEMVE03387
OG0000000	APOSC_04964	NEMVE06009
OG0000000	APOSC_22917	NEMVE08994
OG0000000	APOSC_16565	NEMVE05986
OG0000000	APOSC_27318, APOSC_06302, APOSC_14732	NEMVE15281
OG0000000	APOSC_24894	NEMVE07211
OG0000000	APOSC_24788	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	APOSC_28968	NEMVE05017
OG0000000	APOSC_10621	NEMVE15350
OG0000000	APOSC_22429	NEMVE07203
OG0000000	APOSC_04636	NEMVE17362
OG0000000	APOSC_18693	NEMVE17363
OG0000000	APOSC_00117	NEMVE10113
OG0000000	APOSC_08607	NEMVE14999, NEMVE10106
OG0000001	APOSC_22156, APOSC_01815, APOSC_16060	NEMVE09207
OG0000001	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617	NEMVE01893, NEMVE23127
OG0000002	APOSC_17563, APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614, APOSC_00935, APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563, APOSC_04905, APOSC_26642, APOSC_19154, APOSC_21951	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	APOSC_22070, APOSC_13273, APOSC_13272	NEMVE12557
OG0000003	APOSC_21853	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682
OG0000003	APOSC_21855	NEMVE11586, NEMVE03490, NEMVE06078
OG0000003	APOSC_00102	NEMVE08017
OG0000003	APOSC_28638, APOSC_28639	NEMVE10186
OG0000003	APOSC_26010	NEMVE05185, NEMVE05392
OG0000003	APOSC_06907, APOSC_24394	NEMVE09862, NEMVE10187, NEMVE02664
OG0000003	APOSC_22836	NEMVE03052, NEMVE05193
OG0000003	APOSC_22147	NEMVE00533
OG0000003	APOSC_05500	NEMVE03309
OG0000003	APOSC_20479	NEMVE10052, NEMVE09871, NEMVE02981, NEMVE00038
OG0000003	APOSC_07192	NEMVE11168
OG0000003	APOSC_04713	NEMVE03235
OG0000003	APOSC_02027	NEMVE11653
OG0000003	APOSC_28978	NEMVE00097, NEMVE12376
OG0000003	APOSC_06472	NEMVE00057, NEMVE03335, NEMVE03053, NEMVE00079, NEMVE05207, NEMVE13177
OG0000004	APOSC_03634	NEMVE02712, NEMVE03345
OG0000004	APOSC_06431, APOSC_27025	NEMVE08303, NEMVE11650, NEMVE08637, NEMVE08064, NEMVE05806, NEMVE05789, NEMVE05769, NEMVE05772, NEMVE05801
OG0000004	APOSC_28059	NEMVE08317
OG0000004	APOSC_18755	NEMVE19262
OG0000004	APOSC_28260, APOSC_25240	NEMVE10715, NEMVE21151
OG0000004	APOSC_02487, APOSC_00158	NEMVE11454
OG0000004	APOSC_08714, APOSC_11089, APOSC_11090, APOSC_17489, APOSC_17490	NEMVE12065, NEMVE09064, NEMVE03317
OG0000005	APOSC_26754	NEMVE16926, NEMVE07207
OG0000005	APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541	NEMVE05730
OG0000006	APOSC_21099	NEMVE02889
OG0000006	APOSC_10640	NEMVE12700, NEMVE08468, NEMVE01358
OG0000006	APOSC_27173, APOSC_08430, APOSC_08431	NEMVE21901
OG0000006	APOSC_25251, APOSC_25252	NEMVE02590
OG0000006	APOSC_19228	NEMVE03392
OG0000006	APOSC_11581	NEMVE16957
OG0000006	APOSC_02745	NEMVE02351
OG0000006	APOSC_10711	NEMVE14647
OG0000006	APOSC_28483, APOSC_20785, APOSC_25644	NEMVE04712
OG0000006	APOSC_06790, APOSC_06791	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	APOSC_16303	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414
OG0000006	APOSC_23470	NEMVE22273, NEMVE03946
OG0000007	APOSC_04982	NEMVE15003
OG0000007	APOSC_19545	NEMVE14764
OG0000007	APOSC_11262	NEMVE13570
OG0000007	APOSC_11791	NEMVE08145
OG0000007	APOSC_29119	NEMVE06210
OG0000007	APOSC_07509	NEMVE09701, NEMVE03333
OG0000007	APOSC_20868, APOSC_21514, APOSC_25152	NEMVE16064
OG0000007	APOSC_04562	NEMVE09467
OG0000007	APOSC_09541, APOSC_09542	NEMVE03824
OG0000007	APOSC_22651	NEMVE09051
OG0000007	APOSC_10715	NEMVE03714
OG0000007	APOSC_26829	NEMVE10605
OG0000007	APOSC_17950	NEMVE09289
OG0000007	APOSC_07482	NEMVE05677
OG0000008	APOSC_29142	NEMVE08509, NEMVE08519, NEMVE09930
OG0000008	APOSC_21668	NEMVE02162
OG0000008	APOSC_15945, APOSC_29112, APOSC_03545	NEMVE02218, NEMVE02180
OG0000008	APOSC_21976, APOSC_21294, APOSC_21293	NEMVE04749, NEMVE07849
OG0000008	APOSC_03242, APOSC_29070, APOSC_27667, APOSC_17515, APOSC_10880, APOSC_20061, APOSC_27050, APOSC_00282, APOSC_13323, APOSC_01481, APOSC_20641	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319
OG0000008	APOSC_25161	NEMVE07817, NEMVE12766
OG0000009	APOSC_02892, APOSC_21088, APOSC_18646, APOSC_08256, APOSC_25141, APOSC_27880, APOSC_14853, APOSC_18517	NEMVE06521
OG0000009	APOSC_04604	NEMVE06802
OG0000009	APOSC_04254, APOSC_16035, APOSC_11177, APOSC_07331	NEMVE08980
OG0000009	APOSC_09171	NEMVE09215, NEMVE16707, NEMVE02912
OG0000009	APOSC_02463, APOSC_11202, APOSC_23861, APOSC_08876, APOSC_15628	NEMVE09219
OG0000009	APOSC_14640, APOSC_23697, APOSC_22374, APOSC_12078, APOSC_18792, APOSC_21389, APOSC_26160, APOSC_24355, APOSC_01128, APOSC_09422, APOSC_25847, APOSC_18831, APOSC_19501, APOSC_15459, APOSC_11500, APOSC_25661, APOSC_00854, APOSC_26261	NEMVE02901
OG0000009	APOSC_11617	NEMVE03675
OG0000010	APOSC_17642	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	APOSC_12174	NEMVE02447
OG0000011	APOSC_08063, APOSC_04956, APOSC_05740, APOSC_11629, APOSC_21532, APOSC_04285, APOSC_10021, APOSC_20345, APOSC_24075, APOSC_21593, APOSC_00583, APOSC_00879, APOSC_28649, APOSC_24862	NEMVE10152
OG0000011	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118, APOSC_19810, APOSC_13795, APOSC_12778, APOSC_01800, APOSC_24912, APOSC_04733, APOSC_09019, APOSC_09279, APOSC_11006, APOSC_12345, APOSC_11207, APOSC_13969, APOSC_10113, APOSC_25340, APOSC_02325, APOSC_08981, APOSC_17566, APOSC_17899, APOSC_24383, APOSC_27819, APOSC_02640, APOSC_01478, APOSC_01406	NEMVE11104
OG0000012	APOSC_26545	NEMVE09268, NEMVE05547
OG0000013	APOSC_26024, APOSC_17612	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	APOSC_00187	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	APOSC_22269	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	APOSC_08494	NEMVE10119
OG0000015	APOSC_28752	NEMVE05324, NEMVE02429, NEMVE04966, NEMVE18055, NEMVE18768, NEMVE20100, NEMVE21922, NEMVE03454, NEMVE06696, NEMVE01531, NEMVE16715, NEMVE01580, NEMVE06889, NEMVE01713, NEMVE06874, NEMVE07446, NEMVE02999, NEMVE07669, NEMVE00606, NEMVE10760, NEMVE10763, NEMVE03039, NEMVE11855, NEMVE07220
OG0000016	APOSC_05404, APOSC_06852, APOSC_19259	NEMVE10959
OG0000016	APOSC_14883	NEMVE05675
OG0000016	APOSC_28721	NEMVE01836
OG0000017	APOSC_13768, APOSC_04701	NEMVE10140
OG0000017	APOSC_10126	NEMVE12719
OG0000017	APOSC_10874, APOSC_19675, APOSC_17962	NEMVE02741
OG0000017	APOSC_17481, APOSC_14095	NEMVE21656
OG0000017	APOSC_11982	NEMVE11360
OG0000017	APOSC_28296, APOSC_22083, APOSC_26544, APOSC_25070, APOSC_25071, APOSC_24315, APOSC_02943, APOSC_15991, APOSC_14206, APOSC_06737, APOSC_16567, APOSC_27905, APOSC_05780, APOSC_22360, APOSC_27877, APOSC_17687, APOSC_06955, APOSC_23186	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134
OG0000018	APOSC_01143, APOSC_05051, APOSC_27730, APOSC_15473, APOSC_09190, APOSC_02455, APOSC_11910, APOSC_04585, APOSC_04584, APOSC_11347, APOSC_01227, APOSC_12246, APOSC_19597, APOSC_27070, APOSC_18020, APOSC_06513, APOSC_00300, APOSC_01781, APOSC_22775, APOSC_25698, APOSC_09930, APOSC_27069, APOSC_25868, APOSC_03516, APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807	NEMVE07261
OG0000018	APOSC_12393	NEMVE17996
OG0000018	APOSC_01211	NEMVE12742, NEMVE12416
OG0000019	APOSC_15479, APOSC_17249, APOSC_17250, APOSC_21840	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000019	APOSC_11237, APOSC_00757, APOSC_06078, APOSC_12007, APOSC_14511, APOSC_21290, APOSC_03807, APOSC_15494	NEMVE10214
OG0000019	APOSC_14801, APOSC_11507	NEMVE10489
OG0000019	APOSC_10943, APOSC_07328, APOSC_07329, APOSC_13030, APOSC_10924, APOSC_18630, APOSC_20315	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708
OG0000020	APOSC_13376	NEMVE05671
OG0000020	APOSC_27693	NEMVE21971
OG0000020	APOSC_28648	NEMVE18721
OG0000020	APOSC_26550, APOSC_09964	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	APOSC_00691	NEMVE05506
OG0000020	APOSC_03094	NEMVE08770, NEMVE22771
OG0000020	APOSC_05461	NEMVE13307
OG0000020	APOSC_14067	NEMVE21746
OG0000020	APOSC_25230	NEMVE13092
OG0000021	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253	NEMVE01551, NEMVE13918
OG0000021	APOSC_13612	NEMVE25647
OG0000021	APOSC_02202, APOSC_26674	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	APOSC_27384	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	APOSC_09814, APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614, APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	NEMVE04837
OG0000023	APOSC_14757, APOSC_14758	NEMVE01882
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	NEMVE13647
OG0000023	APOSC_15512	NEMVE16721, NEMVE11897
OG0000023	APOSC_29076	NEMVE08792
OG0000024	APOSC_12646, APOSC_04236, APOSC_19476, APOSC_14174, APOSC_24397, APOSC_23909, APOSC_28972, APOSC_07572, APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940, APOSC_15787, APOSC_15998, APOSC_01155, APOSC_26603, APOSC_13066, APOSC_21939, APOSC_21316	NEMVE05736, NEMVE12848
OG0000024	APOSC_20140	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039
OG0000024	APOSC_15738, APOSC_15739, APOSC_26406	NEMVE03198
OG0000024	APOSC_05070	NEMVE14359, NEMVE12911, NEMVE12056
OG0000024	APOSC_19344, APOSC_19343, APOSC_19342, APOSC_21649, APOSC_27461, APOSC_10842, APOSC_04012, APOSC_04013, APOSC_04014, APOSC_08549, APOSC_21398, APOSC_17589	NEMVE19722
OG0000025	APOSC_17955, APOSC_21691	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751
OG0000025	APOSC_04292	NEMVE18322
OG0000025	APOSC_02742	NEMVE00738
OG0000025	APOSC_10546, APOSC_03176	NEMVE02929
OG0000025	APOSC_26832, APOSC_25716, APOSC_04817, APOSC_15835, APOSC_10002, APOSC_03320, APOSC_08050, APOSC_11235, APOSC_13630, APOSC_13492, APOSC_02242	NEMVE03316
OG0000026	APOSC_25312	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	APOSC_13965	NEMVE24164, NEMVE07469
OG0000026	APOSC_17220	NEMVE15646
OG0000027	APOSC_00367, APOSC_04798, APOSC_15438, APOSC_25751, APOSC_07487, APOSC_07887, APOSC_13318, APOSC_08776, APOSC_13270, APOSC_23292, APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	APOSC_22919, APOSC_22920	NEMVE06026, NEMVE05984
OG0000028	APOSC_04255, APOSC_27024, APOSC_04522	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426
OG0000029	APOSC_07574, APOSC_20436	NEMVE03602, NEMVE01722, NEMVE08343
OG0000029	APOSC_04700	NEMVE10355, NEMVE09829, NEMVE10357
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	NEMVE20373, NEMVE19035
OG0000030	APOSC_18052, APOSC_19478, APOSC_12431, APOSC_12430	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	APOSC_25084, APOSC_18736, APOSC_12149	NEMVE02213, NEMVE02794
OG0000030	APOSC_27610	NEMVE06265
OG0000031	APOSC_14603	NEMVE00311, NEMVE00632, NEMVE02249
OG0000031	APOSC_14687	NEMVE01854
OG0000031	APOSC_14535	NEMVE06981
OG0000031	APOSC_00328	NEMVE01412
OG0000031	APOSC_01319	NEMVE02343
OG0000031	APOSC_17680	NEMVE07820
OG0000031	APOSC_02579	NEMVE12067
OG0000031	APOSC_22997	NEMVE22486
OG0000032	APOSC_11250, APOSC_11249, APOSC_24933	NEMVE03085
OG0000034	APOSC_28767, APOSC_28766	NEMVE07311, NEMVE07285
OG0000034	APOSC_00389	NEMVE10927
OG0000034	APOSC_10138	NEMVE10961, NEMVE24294
OG0000034	APOSC_10830	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	APOSC_23397	NEMVE05344
OG0000034	APOSC_00072	NEMVE06831
OG0000034	APOSC_15909	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	APOSC_27035	NEMVE23841
OG0000035	APOSC_25872	NEMVE22676
OG0000035	APOSC_04998	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	APOSC_25573	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	APOSC_05772, APOSC_15090, APOSC_26588	NEMVE07419, NEMVE07417
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	APOSC_17096, APOSC_16399, APOSC_03749, APOSC_00065, APOSC_01516, APOSC_24133, APOSC_09300	NEMVE00865, NEMVE01113
OG0000037	APOSC_28740	NEMVE10401
OG0000038	APOSC_26556, APOSC_03113	NEMVE16337
OG0000038	APOSC_10359, APOSC_20091	NEMVE02186
OG0000038	APOSC_22530	NEMVE17895
OG0000038	APOSC_08888	NEMVE15968
OG0000039	APOSC_12842, APOSC_27514	NEMVE01371, NEMVE05995
OG0000039	APOSC_00666	NEMVE06934, NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	APOSC_17065	NEMVE15743
OG0000039	APOSC_17567, APOSC_27255	NEMVE18297, NEMVE18296
OG0000040	APOSC_11722	NEMVE11519
OG0000041	APOSC_19034	NEMVE05205, NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792, NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	APOSC_26184	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	APOSC_00445	NEMVE05295
OG0000043	APOSC_07558	NEMVE14296
OG0000044	APOSC_03195, APOSC_22317, APOSC_27143	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	APOSC_11406	NEMVE09195, NEMVE09209
OG0000045	APOSC_22122, APOSC_09364, APOSC_16917	NEMVE24106
OG0000045	APOSC_22210, APOSC_25137, APOSC_21940	NEMVE08202, NEMVE03249, NEMVE10335, NEMVE12603
OG0000046	APOSC_27956	NEMVE08905, NEMVE15252
OG0000046	APOSC_17204, APOSC_26711	NEMVE03331, NEMVE03272, NEMVE16637, NEMVE05961
OG0000047	APOSC_28415, APOSC_07412, APOSC_09840, APOSC_21281, APOSC_04373, APOSC_04376, APOSC_09412, APOSC_18193, APOSC_21050	NEMVE12741, NEMVE05419
OG0000047	APOSC_11509, APOSC_01752	NEMVE12937
OG0000047	APOSC_11734	NEMVE04832
OG0000048	APOSC_03154, APOSC_05588	NEMVE14912
OG0000048	APOSC_11695	NEMVE14024
OG0000048	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656, APOSC_11343, APOSC_03220	NEMVE15061
OG0000049	APOSC_16875, APOSC_03799, APOSC_21344, APOSC_10378, APOSC_00932	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	APOSC_12037, APOSC_12038	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041
OG0000050	APOSC_10217, APOSC_23849, APOSC_23848, APOSC_00680, APOSC_13214, APOSC_23760, APOSC_25497, APOSC_25946, APOSC_16367, APOSC_02924, APOSC_04909	NEMVE20299
OG0000050	APOSC_21186	NEMVE02458
OG0000050	APOSC_20758, APOSC_27570	NEMVE01136
